"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"hedi_b",NA,NA,NA
"pw","163","flache",NA,"hedi_b",NA,NA,NA
"pw","164","noveau",NA,"hedi_b",NA,NA,NA
"pw","165","pocile",NA,"hedi_b",NA,NA,NA
"pw","166","trapide",NA,"hedi_b",NA,NA,NA
"pw","167","lagne",NA,"hedi_b",NA,NA,NA
"pw","168","géont",NA,"hedi_b",NA,NA,NA
"pw","169","klapin",NA,"hedi_b",NA,NA,NA
"pw","170","pourte",NA,"hedi_b",NA,NA,NA
"pw","171","blacon","plak§","hedi_b",NA,"sim/cvoice/cad",0
"pw","172","hatiberai",NA,"hedi_b",NA,NA,NA
"pw","173","voclan",NA,"hedi_b",NA,NA,NA
"pw","174","pormis",NA,"hedi_b",NA,NA,NA
"pw","175","anical",NA,"hedi_b",NA,NA,NA
"pw","176","spil",NA,"hedi_b",NA,NA,NA
"pw","177","catron",NA,"hedi_b",NA,NA,NA
"pw","178","gruse","grys","hedi_b",NA,"sml",1
"pw","179","matreau",NA,"hedi_b",NA,NA,NA
"pw","180","corque",NA,"hedi_b",NA,NA,NA
"pw","181","dummage",NA,"hedi_b",NA,NA,NA
"pw","182","éballon",NA,"hedi_b",NA,NA,NA
"pw","183","troche",NA,"hedi_b",NA,NA,NA
"pw","184","glabe",NA,"hedi_b",NA,NA,NA
"pw","185","batiller","batile","hedi_b",NA,"gemom",0
"pw","186","truche",NA,"hedi_b",NA,NA,NA
"pw","187","ovile",NA,"hedi_b",NA,NA,NA
"pw","188","proc",NA,"hedi_b",NA,NA,NA
"pw","189","scolle","sol","hedi_b",NA,"gr",1
"pw","190","fotre",NA,"hedi_b",NA,NA,NA
"pw","191","pulbic",NA,"hedi_b",NA,NA,NA
"pw","192","gaise",NA,"hedi_b",NA,NA,NA
"pw","193","reprati",NA,"hedi_b",NA,NA,NA
"pw","194","mantou",NA,"hedi_b",NA,NA,NA
"pw","195","quafilie",NA,"hedi_b",NA,NA,NA
"pw","196","socrier",NA,"hedi_b",NA,NA,NA
"pw","197","moigre","mwangr","hedi_b",NA,"cod",0
"pw","198","ibole",NA,"hedi_b",NA,NA,NA
"pw","199","virtail",NA,"hedi_b",NA,NA,NA
"pw","200","miatre",NA,"hedi_b",NA,NA,NA
"pw","201","rabio",NA,"hedi_b",NA,NA,NA
