"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"lorna-jire_m",NA,NA,NA
"pw","163","flache",NA,"lorna-jire_m",NA,NA,NA
"pw","164","noveau",NA,"lorna-jire_m",NA,NA,NA
"pw","165","pocile",NA,"lorna-jire_m",NA,NA,NA
"pw","166","trapide",NA,"lorna-jire_m",NA,NA,NA
"pw","167","lagne",NA,"lorna-jire_m",NA,NA,NA
"pw","168","géont",NA,"lorna-jire_m",NA,NA,NA
"pw","169","klapin","kalp5","lorna-jire_m",NA,"vlp",1
"pw","170","pourte",NA,"lorna-jire_m",NA,NA,NA
"pw","171","blacon","balk§","lorna-jire_m",NA,"vlp",1
"pw","172","hatiberai","adib*rE","lorna-jire_m",NA,"cvoice",0
"pw","173","voclan","volk@","lorna-jire_m",NA,"clp",1
"pw","174","pormis",NA,"lorna-jire_m",NA,NA,NA
"pw","175","anical",NA,"lorna-jire_m",NA,NA,NA
"pw","176","spil",NA,"lorna-jire_m",NA,NA,NA
"pw","177","catron","kart§","lorna-jire_m",NA,"clp",1
"pw","178","gruse",NA,"lorna-jire_m",NA,NA,NA
"pw","179","matreau",NA,"lorna-jire_m",NA,NA,NA
"pw","180","corque","krok","lorna-jire_m",NA,"vlp",1
"pw","181","dummage",NA,"lorna-jire_m",NA,NA,NA
"pw","182","éballon",NA,"lorna-jire_m",NA,NA,NA
"pw","183","troche","torS","lorna-jire_m",NA,"vlp",1
"pw","184","glabe",NA,"lorna-jire_m",NA,NA,NA
"pw","185","batiller","batile","lorna-jire_m",NA,"gemom",0
"pw","186","truche",NA,"lorna-jire_m",NA,NA,NA
"pw","187","ovile",NA,"lorna-jire_m",NA,NA,NA
"pw","188","proc",NA,"lorna-jire_m",NA,NA,NA
"pw","189","scolle",NA,"lorna-jire_m",NA,NA,NA
"pw","190","fotre","frot","lorna-jire_m",NA,"vlp",1
"pw","191","pulbic","pylblik","lorna-jire_m",NA,"bod",0
"pw","192","gaise",NA,"lorna-jire_m",NA,NA,NA
"pw","193","reprati","r*parti","lorna-jire_m",NA,"vlp",1
"pw","194","mantou","m@t§","lorna-jire_m",NA,"sim_bod",1
"pw","195","quafilie",NA,"lorna-jire_m",NA,NA,NA
"pw","196","socrier",NA,"lorna-jire_m",NA,NA,NA
"pw","197","moigre","mogr","lorna-jire_m",NA,"vom",0
"pw","198","ibole",NA,"lorna-jire_m",NA,NA,NA
"pw","199","virtail","vital","lorna-jire_m",NA,"clom_vom",1
"pw","200","miatre","matr","lorna-jire_m",NA,"vom",0
"pw","201","rabio",NA,"lorna-jire_m",NA,NA,NA
