"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"lucas_c",NA,NA,NA
"pw","163","flache",NA,"lucas_c",NA,NA,NA
"pw","164","noveau",NA,"lucas_c",NA,NA,NA
"pw","165","pocile",NA,"lucas_c",NA,NA,NA
"pw","166","trapide",NA,"lucas_c",NA,NA,NA
"pw","167","lagne",NA,"lucas_c",NA,NA,NA
"pw","168","géont",NA,"lucas_c",NA,NA,NA
"pw","169","klapin",NA,"lucas_c",NA,NA,NA
"pw","170","pourte",NA,"lucas_c",NA,NA,NA
"pw","171","blacon",NA,"lucas_c",NA,NA,NA
"pw","172","hatiberai",NA,"lucas_c",NA,NA,NA
"pw","173","voclan","volk@","lucas_c",NA,"clp",1
"pw","174","pormis",NA,"lucas_c",NA,NA,NA
"pw","175","anical",NA,"lucas_c",NA,NA,NA
"pw","176","spil",NA,"lucas_c",NA,NA,NA
"pw","177","catron",NA,"lucas_c",NA,NA,NA
"pw","178","gruse",NA,"lucas_c",NA,NA,NA
"pw","179","matreau",NA,"lucas_c",NA,NA,NA
"pw","180","corque",NA,"lucas_c",NA,NA,NA
"pw","181","dummage",NA,"lucas_c",NA,NA,NA
"pw","182","éballon",NA,"lucas_c",NA,NA,NA
"pw","183","troche",NA,"lucas_c",NA,NA,NA
"pw","184","glabe",NA,"lucas_c",NA,NA,NA
"pw","185","batiller",NA,"lucas_c",NA,NA,NA
"pw","186","truche",NA,"lucas_c",NA,NA,NA
"pw","187","ovile","oliv","lucas_c",NA,"clp",1
"pw","188","proc",NA,"lucas_c",NA,NA,NA
"pw","189","scolle",NA,"lucas_c",NA,NA,NA
"pw","190","fotre","fort","lucas_c",NA,"clp",1
"pw","191","pulbic",NA,"lucas_c",NA,NA,NA
"pw","192","gaise",NA,"lucas_c",NA,NA,NA
"pw","193","reprati",NA,"lucas_c",NA,NA,NA
"pw","194","mantou",NA,"lucas_c",NA,NA,NA
"pw","195","quafilie",NA,"lucas_c",NA,NA,NA
"pw","196","socrier",NA,"lucas_c",NA,NA,NA
"pw","197","moigre",NA,"lucas_c",NA,NA,NA
"pw","198","ibole",NA,"lucas_c",NA,NA,NA
"pw","199","virtail","vitraj","lucas_c",NA,"clp",0
"pw","200","miatre",NA,"lucas_c",NA,NA,NA
"pw","201","rabio",NA,"lucas_c",NA,NA,NA
