"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"mayouba_m",NA,NA,NA
"pw","163","flache",NA,"mayouba_m",NA,NA,NA
"pw","164","noveau","nuvo","mayouba_m",NA,"bvod",1
"pw","165","pocile",NA,"mayouba_m",NA,NA,NA
"pw","166","trapide",NA,"mayouba_m",NA,NA,NA
"pw","167","lagne",NA,"mayouba_m",NA,NA,NA
"pw","168","géont",NA,"mayouba_m",NA,NA,NA
"pw","169","klapin",NA,"mayouba_m",NA,NA,NA
"pw","170","pourte",NA,"mayouba_m",NA,NA,NA
"pw","171","blacon",NA,"mayouba_m",NA,NA,NA
"pw","172","hatiberai",NA,"mayouba_m",NA,NA,NA
"pw","173","voclan","volk@","mayouba_m",NA,"clp",1
"pw","174","pormis",NA,"mayouba_m",NA,NA,NA
"pw","175","anical",NA,"mayouba_m",NA,NA,NA
"pw","176","spil",NA,"mayouba_m",NA,NA,NA
"pw","177","catron",NA,"mayouba_m",NA,NA,NA
"pw","178","gruse","kryz","mayouba_m",NA,"cvoice/cad",0
"pw","179","matreau",NA,"mayouba_m",NA,NA,NA
"pw","180","corque",NA,"mayouba_m",NA,NA,NA
"pw","181","dummage",NA,"mayouba_m",NA,NA,NA
"pw","182","éballon",NA,"mayouba_m",NA,NA,NA
"pw","183","troche",NA,"mayouba_m",NA,NA,NA
"pw","184","glabe",NA,"mayouba_m",NA,NA,NA
"pw","185","batiller","batile","mayouba_m",NA,"gemom",0
"pw","186","truche",NA,"mayouba_m",NA,NA,NA
"pw","187","ovile","oliv","mayouba_m",NA,"clp",1
"pw","188","proc",NA,"mayouba_m",NA,NA,NA
"pw","189","scolle",NA,"mayouba_m",NA,NA,NA
"pw","190","fotre","fort","mayouba_m",NA,"clp",1
"pw","191","pulbic","pyblik","mayouba_m",NA,"clp",1
"pw","192","gaise","ZEz","mayouba_m",NA,"sml",0
"pw","193","reprati","r*parti","mayouba_m",NA,"vlp",1
"pw","194","mantou",NA,"mayouba_m",NA,NA,NA
"pw","195","quafilie",NA,"mayouba_m",NA,NA,NA
"pw","196","socrier","sorsje","mayouba_m",NA,"clp",1
"pw","197","moigre",NA,"mayouba_m",NA,NA,NA
"pw","198","ibole",NA,"mayouba_m",NA,NA,NA
"pw","199","virtail","virtE","mayouba_m",NA,"sml_grv/com/rneg",0
"pw","200","miatre",NA,"mayouba_m",NA,NA,NA
"pw","201","rabio",NA,"mayouba_m",NA,NA,NA
