"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"paul-henri_yb",NA,NA,NA
"pw","163","flache",NA,"paul-henri_yb",NA,NA,NA
"pw","164","noveau",NA,"paul-henri_yb",NA,NA,NA
"pw","165","pocile",NA,"paul-henri_yb",NA,NA,NA
"pw","166","trapide",NA,"paul-henri_yb",NA,NA,NA
"pw","167","lagne",NA,"paul-henri_yb",NA,NA,NA
"pw","168","géont",NA,"paul-henri_yb",NA,NA,NA
"pw","169","klapin",NA,"paul-henri_yb",NA,NA,NA
"pw","170","pourte",NA,"paul-henri_yb",NA,NA,NA
"pw","171","blacon",NA,"paul-henri_yb",NA,NA,NA
"pw","172","hatiberai",NA,"paul-henri_yb",NA,NA,NA
"pw","173","voclan",NA,"paul-henri_yb",NA,NA,NA
"pw","174","pormis",NA,"paul-henri_yb",NA,NA,NA
"pw","175","anical",NA,"paul-henri_yb",NA,NA,NA
"pw","176","spil",NA,"paul-henri_yb",NA,NA,NA
"pw","177","catron",NA,"paul-henri_yb",NA,NA,NA
"pw","178","gruse","grys","paul-henri_yb",NA,"sml",1
"pw","179","matreau",NA,"paul-henri_yb",NA,NA,NA
"pw","180","corque",NA,"paul-henri_yb",NA,NA,NA
"pw","181","dummage",NA,"paul-henri_yb",NA,NA,NA
"pw","182","éballon",NA,"paul-henri_yb",NA,NA,NA
"pw","183","troche",NA,"paul-henri_yb",NA,NA,NA
"pw","184","glabe",NA,"paul-henri_yb",NA,NA,NA
"pw","185","batiller",NA,"paul-henri_yb",NA,NA,NA
"pw","186","truche",NA,"paul-henri_yb",NA,NA,NA
"pw","187","ovile",NA,"paul-henri_yb",NA,NA,NA
"pw","188","proc",NA,"paul-henri_yb",NA,NA,NA
"pw","189","scolle",NA,"paul-henri_yb",NA,NA,NA
"pw","190","fotre",NA,"paul-henri_yb",NA,NA,NA
"pw","191","pulbic",NA,"paul-henri_yb",NA,NA,NA
"pw","192","gaise","gEs","paul-henri_yb",NA,"sml",0
"pw","193","reprati",NA,"paul-henri_yb",NA,NA,NA
"pw","194","mantou",NA,"paul-henri_yb",NA,NA,NA
"pw","195","quafilie","gafili","paul-henri_yb",NA,"cvoice/sim",0
"pw","196","socrier",NA,"paul-henri_yb",NA,NA,NA
"pw","197","moigre",NA,"paul-henri_yb",NA,NA,NA
"pw","198","ibole",NA,"paul-henri_yb",NA,NA,NA
"pw","199","virtail",NA,"paul-henri_yb",NA,NA,NA
"pw","200","miatre",NA,"paul-henri_yb",NA,NA,NA
"pw","201","rabio",NA,"paul-henri_yb",NA,NA,NA
