"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi","abri","reda_c",NA,"clp",1
"pw","163","flache",NA,"reda_c",NA,NA,NA
"pw","164","noveau",NA,"reda_c",NA,NA,NA
"pw","165","pocile",NA,"reda_c",NA,NA,NA
"pw","166","trapide",NA,"reda_c",NA,NA,NA
"pw","167","lagne",NA,"reda_c",NA,NA,NA
"pw","168","géont",NA,"reda_c",NA,NA,NA
"pw","169","klapin",NA,"reda_c",NA,NA,NA
"pw","170","pourte",NA,"reda_c",NA,NA,NA
"pw","171","blacon",NA,"reda_c",NA,NA,NA
"pw","172","hatiberai","abit*b*re","reda_c",NA,"clp_bod_bvod",0
"pw","173","voclan","volk@","reda_c",NA,"clp",1
"pw","174","pormis",NA,"reda_c",NA,NA,NA
"pw","175","anical",NA,"reda_c",NA,NA,NA
"pw","176","spil",NA,"reda_c",NA,NA,NA
"pw","177","catron",NA,"reda_c",NA,NA,NA
"pw","178","gruse",NA,"reda_c",NA,NA,NA
"pw","179","matreau",NA,"reda_c",NA,NA,NA
"pw","180","corque",NA,"reda_c",NA,NA,NA
"pw","181","dummage",NA,"reda_c",NA,NA,NA
"pw","182","éballon",NA,"reda_c",NA,NA,NA
"pw","183","troche",NA,"reda_c",NA,NA,NA
"pw","184","glabe",NA,"reda_c",NA,NA,NA
"pw","185","batiller",NA,"reda_c",NA,NA,NA
"pw","186","truche",NA,"reda_c",NA,NA,NA
"pw","187","ovile",NA,"reda_c",NA,NA,NA
"pw","188","proc",NA,"reda_c",NA,NA,NA
"pw","189","scolle",NA,"reda_c",NA,NA,NA
"pw","190","fotre",NA,"reda_c",NA,NA,NA
"pw","191","pulbic","pyblik","reda_c",NA,"clp",1
"pw","192","gaise",NA,"reda_c",NA,NA,NA
"pw","193","reprati",NA,"reda_c",NA,NA,NA
"pw","194","mantou",NA,"reda_c",NA,NA,NA
"pw","195","quafilie",NA,"reda_c",NA,NA,NA
"pw","196","socrier","sorsie","reda_c",NA,"clp",1
"pw","197","moigre",NA,"reda_c",NA,NA,NA
"pw","198","ibole",NA,"reda_c",NA,NA,NA
"pw","199","virtail","vitiral","reda_c",NA,"clp_vlp",0
"pw","200","miatre",NA,"reda_c",NA,NA,NA
"pw","201","rabio",NA,"reda_c",NA,NA,NA
