"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi",NA,"solkem_n",NA,NA,NA
"pw","163","flache",NA,"solkem_n",NA,NA,NA
"pw","164","noveau",NA,"solkem_n",NA,NA,NA
"pw","165","pocile",NA,"solkem_n",NA,NA,NA
"pw","166","trapide",NA,"solkem_n",NA,NA,NA
"pw","167","lagne","l5N","solkem_n",NA,"vsub_clp",1
"pw","168","géont",NA,"solkem_n",NA,NA,NA
"pw","169","klapin",NA,"solkem_n",NA,NA,NA
"pw","170","pourte","prut","solkem_n",NA,"vlp",1
"pw","171","blacon","balk§","solkem_n",NA,"vlp",1
"pw","172","hatiberai","atibrE","solkem_n",NA,"CR",NA
"pw","173","voclan","volk@","solkem_n",NA,"clp",1
"pw","174","pormis","promi","solkem_n",NA,"vlp",1
"pw","175","anical",NA,"solkem_n",NA,NA,NA
"pw","176","spil",NA,"solkem_n",NA,NA,NA
"pw","177","catron","kartr§","solkem_n",NA,"bod",0
"pw","178","gruse",NA,"solkem_n",NA,NA,NA
"pw","179","matreau",NA,"solkem_n",NA,NA,NA
"pw","180","corque","krok","solkem_n",NA,"vlp",1
"pw","181","dummage",NA,"solkem_n",NA,NA,NA
"pw","182","éballon","ebl§","solkem_n",NA,"vom",0
"pw","183","troche",NA,"solkem_n",NA,NA,NA
"pw","184","glabe","glob","solkem_n",NA,"vad",0
"pw","185","batiller","pasjale","solkem_n",NA,"cvoice/sim_sml_bvod_gemom",0
"pw","186","truche",NA,"solkem_n",NA,NA,NA
"pw","187","ovile",NA,"solkem_n",NA,NA,NA
"pw","188","proc","por","solkem_n",NA,"vlp",1
"pw","189","scolle",NA,"solkem_n",NA,NA,NA
"pw","190","fotre","fort","solkem_n",NA,"clp",1
"pw","191","pulbic","pybik","solkem_n",NA,"clom",0
"pw","192","gaise","gEs","solkem_n",NA,"sml",0
"pw","193","reprati",NA,"solkem_n",NA,NA,NA
"pw","194","mantou",NA,"solkem_n",NA,NA,NA
"pw","195","quafilie",NA,"solkem_n",NA,NA,NA
"pw","196","socrier","sorkrje","solkem_n",NA,"bod",0
"pw","197","moigre","mw5gr","solkem_n",NA,"cod",0
"pw","198","ibole",NA,"solkem_n",NA,NA,NA
"pw","199","virtail","vitrEj","solkem_n",NA,"clp_sml",0
"pw","200","miatre",NA,"solkem_n",NA,NA,NA
"pw","201","rabio",NA,"solkem_n",NA,NA,NA
