"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi","abri","theo_r",NA,"clp",1
"pw","163","flache",NA,"theo_r",NA,NA,NA
"pw","164","noveau",NA,"theo_r",NA,NA,NA
"pw","165","pocile","polil","theo_r",NA,"bod",0
"pw","166","trapide",NA,"theo_r",NA,NA,NA
"pw","167","lagne",NA,"theo_r",NA,NA,NA
"pw","168","géont",NA,"theo_r",NA,NA,NA
"pw","169","klapin",NA,"theo_r",NA,NA,NA
"pw","170","pourte",NA,"theo_r",NA,NA,NA
"pw","171","blacon","balk§","theo_r",NA,"vlp",1
"pw","172","hatiberai",NA,"theo_r",NA,NA,NA
"pw","173","voclan","volkl@","theo_r",NA,"bod",0
"pw","174","pormis",NA,"theo_r",NA,NA,NA
"pw","175","anical",NA,"theo_r",NA,NA,NA
"pw","176","spil",NA,"theo_r",NA,NA,NA
"pw","177","catron",NA,"theo_r",NA,NA,NA
"pw","178","gruse","kryz","theo_r",NA,"cvoice/cad",0
"pw","179","matreau","martro","theo_r",NA,"bod",0
"pw","180","corque",NA,"theo_r",NA,NA,NA
"pw","181","dummage",NA,"theo_r",NA,NA,NA
"pw","182","éballon",NA,"theo_r",NA,NA,NA
"pw","183","troche","torS","theo_r",NA,"vlp",1
"pw","184","glabe",NA,"theo_r",NA,NA,NA
"pw","185","batiller",NA,"theo_r",NA,NA,NA
"pw","186","truche",NA,"theo_r",NA,NA,NA
"pw","187","ovile",NA,"theo_r",NA,NA,NA
"pw","188","proc","por","theo_r",NA,"vlp",1
"pw","189","scolle",NA,"theo_r",NA,NA,NA
"pw","190","fotre",NA,"theo_r",NA,NA,NA
"pw","191","pulbic","pyblik","theo_r",NA,"clp",1
"pw","192","gaise",NA,"theo_r",NA,NA,NA
"pw","193","reprati","r*patri","theo_r",NA,"clp",0
"pw","194","mantou",NA,"theo_r",NA,NA,NA
"pw","195","quafilie","kalifi","theo_r",NA,"clp",1
"pw","196","socrier","sorkri","theo_r",NA,"bod_com",0
"pw","197","moigre","mw5gr*","theo_r",NA,"cod",0
"pw","198","ibole",NA,"theo_r",NA,NA,NA
"pw","199","virtail","vartaj","theo_r",NA,"bsub",0
"pw","200","miatre",NA,"theo_r",NA,NA,NA
"pw","201","rabio",NA,"theo_r",NA,NA,NA
