"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"pw","162","arbi","abri","youssef_a",NA,"clp",1
"pw","163","flache",NA,"youssef_a",NA,NA,NA
"pw","164","noveau","nuvo","youssef_a",NA,"bvod",1
"pw","165","pocile",NA,"youssef_a",NA,NA,NA
"pw","166","trapide",NA,"youssef_a",NA,NA,NA
"pw","167","lagne",NA,"youssef_a",NA,NA,NA
"pw","168","géont",NA,"youssef_a",NA,NA,NA
"pw","169","klapin",NA,"youssef_a",NA,NA,NA
"pw","170","pourte",NA,"youssef_a",NA,NA,NA
"pw","171","blacon","balk§","youssef_a",NA,"vlp",1
"pw","172","hatiberai","atibrE","youssef_a",NA,"CR",NA
"pw","173","voclan","volk@","youssef_a",NA,"clp",1
"pw","174","pormis","promi","youssef_a",NA,"vlp",1
"pw","175","anical",NA,"youssef_a",NA,NA,NA
"pw","176","spil",NA,"youssef_a",NA,NA,NA
"pw","177","catron","kart§","youssef_a",NA,"clp",1
"pw","178","gruse",NA,"youssef_a",NA,NA,NA
"pw","179","matreau",NA,"youssef_a",NA,NA,NA
"pw","180","corque","krok","youssef_a",NA,"vlp",1
"pw","181","dummage",NA,"youssef_a",NA,NA,NA
"pw","182","éballon",NA,"youssef_a",NA,NA,NA
"pw","183","troche","torS","youssef_a",NA,"vlp",1
"pw","184","glabe",NA,"youssef_a",NA,NA,NA
"pw","185","batiller",NA,"youssef_a",NA,NA,NA
"pw","186","truche",NA,"youssef_a",NA,NA,NA
"pw","187","ovile",NA,"youssef_a",NA,NA,NA
"pw","188","proc","por","youssef_a",NA,"vlp",1
"pw","189","scolle",NA,"youssef_a",NA,NA,NA
"pw","190","fotre",NA,"youssef_a",NA,NA,NA
"pw","191","pulbic",NA,"youssef_a",NA,NA,NA
"pw","192","gaise",NA,"youssef_a",NA,NA,NA
"pw","193","reprati","r*parti","youssef_a",NA,"vlp",1
"pw","194","mantou",NA,"youssef_a",NA,NA,NA
"pw","195","quafilie","kalifi","youssef_a",NA,"clp",1
"pw","196","socrier","sokri","youssef_a",NA,"sylom",0
"pw","197","moigre","megr*","youssef_a",NA,"vsub",1
"pw","198","ibole",NA,"youssef_a",NA,NA,NA
"pw","199","virtail","virtE","youssef_a",NA,"sml_grv/com/rneg",0
"pw","200","miatre",NA,"youssef_a",NA,NA,NA
"pw","201","rabio",NA,"youssef_a",NA,NA,NA
