"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"david_h",NA,NA,NA
"sw",2,"onze",NA,"david_h",NA,NA,NA
"sw",3,"grand",NA,"david_h",NA,NA,NA
"sw",4,"race",NA,"david_h",NA,NA,NA
"sw",5,"rose",NA,"david_h",NA,NA,NA
"sw",6,"scie",NA,"david_h",NA,NA,NA
"sw",7,"base",NA,"david_h",NA,NA,NA
"sw",8,"orge","org","david_h",NA,"sml",1
"sw",9,"enfer",NA,"david_h",NA,NA,NA
"sw",10,"maire",NA,"david_h",NA,NA,NA
"sw",11,"chacun",NA,"david_h",NA,NA,NA
"sw",12,"signe",NA,"david_h",NA,NA,NA
"sw",13,"brun",NA,"david_h",NA,NA,NA
"sw",14,"congé",NA,"david_h",NA,NA,NA
"sw",15,"patient",NA,"david_h",NA,NA,NA
"sw",16,"payé",NA,"david_h",NA,NA,NA
"sw",17,"pantin",NA,"david_h",NA,NA,NA
"sw",18,"compte",NA,"david_h",NA,NA,NA
"sw",19,"cesse",NA,"david_h",NA,NA,NA
"sw",20,"bille",NA,"david_h",NA,NA,NA
"sw",21,"maîtresse",NA,"david_h",NA,NA,NA
"sw",22,"piler","pije","david_h",NA,"gmod",1
"sw",23,"femme",NA,"david_h",NA,NA,NA
"sw",24,"parfum",NA,"david_h",NA,NA,NA
"sw",25,"doigt",NA,"david_h",NA,NA,NA
"sw",26,"lapin",NA,"david_h",NA,NA,NA
"sw",27,"linge",NA,"david_h",NA,NA,NA
"sw",28,"coup",NA,"david_h",NA,NA,NA
"sw",29,"vers",NA,"david_h",NA,NA,NA
"sw",30,"volé",NA,"david_h",NA,NA,NA
"sw",31,"mars",NA,"david_h",NA,NA,NA
"sw",32,"frime",NA,"david_h",NA,NA,NA
"sw",33,"monsieur",NA,"david_h",NA,NA,NA
"sw",34,"jeunesse",NA,"david_h",NA,NA,NA
"sw",35,"marcherions","marSir§","david_h",NA,"vlp",0
"sw",36,"canton",NA,"david_h",NA,NA,NA
"sw",37,"tentait",NA,"david_h",NA,NA,NA
"sw",38,"cracher",NA,"david_h",NA,NA,NA
"sw",39,"crique",NA,"david_h",NA,NA,NA
"sw",40,"retrouverez",NA,"david_h",NA,NA,NA
"sw",41,"suave",NA,"david_h",NA,NA,NA
"sw",42,"près",NA,"david_h",NA,NA,NA
"sw",43,"automne",NA,"david_h",NA,NA,NA
"sw",44,"client",NA,"david_h",NA,NA,NA
"sw",45,"soixante-dix",NA,"david_h",NA,NA,NA
"sw",46,"sien",NA,"david_h",NA,NA,NA
"sw",47,"rond",NA,"david_h",NA,NA,NA
"sw",48,"deux",NA,"david_h",NA,NA,NA
"sw",49,"pire",NA,"david_h",NA,NA,NA
"sw",50,"sens",NA,"david_h",NA,NA,NA
"sw",51,"rien",NA,"david_h",NA,NA,NA
"sw",52,"gare",NA,"david_h",NA,NA,NA
"sw",53,"chez",NA,"david_h",NA,NA,NA
"sw",54,"directeur",NA,"david_h",NA,NA,NA
"sw",55,"douzième",NA,"david_h",NA,NA,NA
"sw",56,"slave",NA,"david_h",NA,NA,NA
"sw",57,"pincera","pr5s*ra","david_h",NA,"bod",0
"sw",58,"montagne",NA,"david_h",NA,NA,NA
"sw",59,"igloo",NA,"david_h",NA,NA,NA
"sw",60,"rogner","roNEr","david_h",NA,"grv/sml",0
"sw",61,"fille",NA,"david_h",NA,NA,NA
"sw",62,"morte",NA,"david_h",NA,NA,NA
"sw",63,"paire",NA,"david_h",NA,NA,NA
"sw",64,"varie",NA,"david_h",NA,NA,NA
"sw",65,"cœur",NA,"david_h",NA,NA,NA
"sw",66,"chandail","S@dEl","david_h",NA,"grv",1
"sw",67,"magner",NA,"david_h",NA,NA,NA
"sw",68,"mais",NA,"david_h",NA,NA,NA
"sw",69,"ruse",NA,"david_h",NA,NA,NA
"sw",70,"rasé",NA,"david_h",NA,NA,NA
"sw",71,"album",NA,"david_h",NA,NA,NA
"sw",72,"glisserai",NA,"david_h",NA,NA,NA
"sw",73,"qui",NA,"david_h",NA,NA,NA
"sw",74,"partons",NA,"david_h",NA,NA,NA
"sw",75,"rebondirons",NA,"david_h",NA,NA,NA
"sw",76,"librairie",NA,"david_h",NA,NA,NA
"sw",77,"voilent",NA,"david_h",NA,NA,NA
"sw",78,"roue",NA,"david_h",NA,NA,NA
"sw",79,"case",NA,"david_h",NA,NA,NA
"sw",80,"prie",NA,"david_h",NA,NA,NA
"sw",81,"mois",NA,"david_h",NA,NA,NA
"sw",82,"dans",NA,"david_h",NA,NA,NA
"sw",83,"coule",NA,"david_h",NA,NA,NA
"sw",84,"poêle",NA,"david_h",NA,NA,NA
"sw",85,"saule",NA,"david_h",NA,NA,NA
"sw",86,"œil",NA,"david_h",NA,NA,NA
"sw",87,"tant",NA,"david_h",NA,NA,NA
"sw",88,"clamer",NA,"david_h",NA,NA,NA
"sw",89,"pensant",NA,"david_h",NA,NA,NA
"sw",90,"finie",NA,"david_h",NA,NA,NA
"sw",91,"poison",NA,"david_h",NA,NA,NA
"sw",92,"mairie","mEr","david_h",NA,"bvom/rneg/sem",1
"sw",93,"boulangerie",NA,"david_h",NA,NA,NA
"sw",94,"cousin",NA,"david_h",NA,NA,NA
"sw",95,"boulette",NA,"david_h",NA,NA,NA
"sw",96,"revolver",NA,"david_h",NA,NA,NA
"sw",97,"grade",NA,"david_h",NA,NA,NA
"sw",98,"gens",NA,"david_h",NA,NA,NA
"sw",99,"porche",NA,"david_h",NA,NA,NA
"sw",100,"encore",NA,"david_h",NA,NA,NA
"sw",101,"les",NA,"david_h",NA,NA,NA
"sw",102,"sept",NA,"david_h",NA,NA,NA
"sw",103,"patrie",NA,"david_h",NA,NA,NA
"sw",104,"présent",NA,"david_h",NA,NA,NA
"sw",105,"six",NA,"david_h",NA,NA,NA
"sw",106,"teint",NA,"david_h",NA,NA,NA
"sw",107,"cirer",NA,"david_h",NA,NA,NA
"sw",108,"trier",NA,"david_h",NA,NA,NA
"sw",109,"asie",NA,"david_h",NA,NA,NA
"sw",110,"cale",NA,"david_h",NA,NA,NA
"sw",111,"pipe",NA,"david_h",NA,NA,NA
"sw",112,"cinquante",NA,"david_h",NA,NA,NA
"sw",113,"ose",NA,"david_h",NA,NA,NA
"sw",114,"emmener","am*ne","david_h",NA,"vsub",0
"sw",115,"écrire",NA,"david_h",NA,NA,NA
"sw",116,"portrait",NA,"david_h",NA,NA,NA
"sw",117,"ration",NA,"david_h",NA,NA,NA
"sw",118,"savant",NA,"david_h",NA,NA,NA
"sw",119,"écho",NA,"david_h",NA,NA,NA
"sw",120,"aisance",NA,"david_h",NA,NA,NA
"sw",121,"crie",NA,"david_h",NA,NA,NA
"sw",122,"brise",NA,"david_h",NA,NA,NA
"sw",123,"trois",NA,"david_h",NA,NA,NA
"sw",124,"repartira",NA,"david_h",NA,NA,NA
"sw",125,"bon",NA,"david_h",NA,NA,NA
"sw",126,"ces",NA,"david_h",NA,NA,NA
"sw",127,"ail","El","david_h",NA,"grv",1
"sw",128,"délivrer",NA,"david_h",NA,NA,NA
"sw",129,"édition",NA,"david_h",NA,NA,NA
"sw",130,"larguer",NA,"david_h",NA,NA,NA
"sw",131,"caillou",NA,"david_h",NA,NA,NA
"sw",132,"pari",NA,"david_h",NA,NA,NA
"sw",133,"raie",NA,"david_h",NA,NA,NA
"sw",134,"loin",NA,"david_h",NA,NA,NA
"sw",135,"pale",NA,"david_h",NA,NA,NA
"sw",136,"poli",NA,"david_h",NA,NA,NA
"sw",137,"bain",NA,"david_h",NA,NA,NA
"sw",138,"lange",NA,"david_h",NA,NA,NA
"sw",139,"gars",NA,"david_h",NA,NA,NA
"sw",140,"long",NA,"david_h",NA,NA,NA
"sw",141,"renifle",NA,"david_h",NA,NA,NA
"sw",142,"chien",NA,"david_h",NA,NA,NA
"sw",143,"criant",NA,"david_h",NA,NA,NA
"sw",144,"agile",NA,"david_h",NA,NA,NA
"sw",145,"lueur",NA,"david_h",NA,NA,NA
"sw",146,"baiser",NA,"david_h",NA,NA,NA
"sw",147,"galet",NA,"david_h",NA,NA,NA
"sw",148,"placer",NA,"david_h",NA,NA,NA
"sw",149,"fiable",NA,"david_h",NA,NA,NA
"sw",150,"désert",NA,"david_h",NA,NA,NA
"sw",151,"aspect",NA,"david_h",NA,NA,NA
"sw",152,"étiole",NA,"david_h",NA,NA,NA
"sw",153,"accident",NA,"david_h",NA,NA,NA
"sw",154,"quatorze",NA,"david_h",NA,NA,NA
"sw",155,"oignon",NA,"david_h",NA,NA,NA
"sw",156,"trot",NA,"david_h",NA,NA,NA
"sw",157,"pourquoi",NA,"david_h",NA,NA,NA
"sw",158,"dix",NA,"david_h",NA,NA,NA
"sw",159,"geler",NA,"david_h",NA,NA,NA
"sw",160,"pelure",NA,"david_h",NA,NA,NA
"sw",161,"calque",NA,"david_h",NA,NA,NA
