"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"elinathan_mk",NA,NA,NA
"sw",2,"onze",NA,"elinathan_mk",NA,NA,NA
"sw",3,"grand",NA,"elinathan_mk",NA,NA,NA
"sw",4,"race",NA,"elinathan_mk",NA,NA,NA
"sw",5,"rose",NA,"elinathan_mk",NA,NA,NA
"sw",6,"scie",NA,"elinathan_mk",NA,NA,NA
"sw",7,"base",NA,"elinathan_mk",NA,NA,NA
"sw",8,"orge","or","elinathan_mk",NA,"com/rneg",1
"sw",9,"enfer",NA,"elinathan_mk",NA,NA,NA
"sw",10,"maire",NA,"elinathan_mk",NA,NA,NA
"sw",11,"chacun",NA,"elinathan_mk",NA,NA,NA
"sw",12,"signe",NA,"elinathan_mk",NA,NA,NA
"sw",13,"brun",NA,"elinathan_mk",NA,NA,NA
"sw",14,"congé",NA,"elinathan_mk",NA,NA,NA
"sw",15,"patient",NA,"elinathan_mk",NA,NA,NA
"sw",16,"payé",NA,"elinathan_mk",NA,NA,NA
"sw",17,"pantin",NA,"elinathan_mk",NA,NA,NA
"sw",18,"compte",NA,"elinathan_mk",NA,NA,NA
"sw",19,"cesse",NA,"elinathan_mk",NA,NA,NA
"sw",20,"bille",NA,"elinathan_mk",NA,NA,NA
"sw",21,"maîtresse",NA,"elinathan_mk",NA,NA,NA
"sw",22,"piler",NA,"elinathan_mk",NA,NA,NA
"sw",23,"femme",NA,"elinathan_mk",NA,NA,NA
"sw",24,"parfum",NA,"elinathan_mk",NA,NA,NA
"sw",25,"doigt",NA,"elinathan_mk",NA,NA,NA
"sw",26,"lapin",NA,"elinathan_mk",NA,NA,NA
"sw",27,"linge","liN","elinathan_mk",NA,"clp",1
"sw",28,"coup",NA,"elinathan_mk",NA,NA,NA
"sw",29,"vers",NA,"elinathan_mk",NA,NA,NA
"sw",30,"volé",NA,"elinathan_mk",NA,NA,NA
"sw",31,"mars",NA,"elinathan_mk",NA,NA,NA
"sw",32,"frime",NA,"elinathan_mk",NA,NA,NA
"sw",33,"monsieur",NA,"elinathan_mk",NA,NA,NA
"sw",34,"jeunesse",NA,"elinathan_mk",NA,NA,NA
"sw",35,"marcherions",NA,"elinathan_mk",NA,NA,NA
"sw",36,"canton","kat§","elinathan_mk",NA,"bom",0
"sw",37,"tentait",NA,"elinathan_mk",NA,NA,NA
"sw",38,"cracher",NA,"elinathan_mk",NA,NA,NA
"sw",39,"crique",NA,"elinathan_mk",NA,NA,NA
"sw",40,"retrouverez",NA,"elinathan_mk",NA,NA,NA
"sw",41,"suave",NA,"elinathan_mk",NA,NA,NA
"sw",42,"près",NA,"elinathan_mk",NA,NA,NA
"sw",43,"automne",NA,"elinathan_mk",NA,NA,NA
"sw",44,"client",NA,"elinathan_mk",NA,NA,NA
"sw",45,"soixante-dix",NA,"elinathan_mk",NA,NA,NA
"sw",46,"sien","s5","elinathan_mk",NA,"grv/vlp/vom",1
"sw",47,"rond",NA,"elinathan_mk",NA,NA,NA
"sw",48,"deux",NA,"elinathan_mk",NA,NA,NA
"sw",49,"pire",NA,"elinathan_mk",NA,NA,NA
"sw",50,"sens",NA,"elinathan_mk",NA,NA,NA
"sw",51,"rien",NA,"elinathan_mk",NA,NA,NA
"sw",52,"gare",NA,"elinathan_mk",NA,NA,NA
"sw",53,"chez",NA,"elinathan_mk",NA,NA,NA
"sw",54,"directeur",NA,"elinathan_mk",NA,NA,NA
"sw",55,"douzième",NA,"elinathan_mk",NA,NA,NA
"sw",56,"slave",NA,"elinathan_mk",NA,NA,NA
"sw",57,"pincera",NA,"elinathan_mk",NA,NA,NA
"sw",58,"montagne",NA,"elinathan_mk",NA,NA,NA
"sw",59,"igloo",NA,"elinathan_mk",NA,NA,NA
"sw",60,"rogner","r§Ze","elinathan_mk",NA,"clp/gr",1
"sw",61,"fille",NA,"elinathan_mk",NA,NA,NA
"sw",62,"morte",NA,"elinathan_mk",NA,NA,NA
"sw",63,"paire",NA,"elinathan_mk",NA,NA,NA
"sw",64,"varie",NA,"elinathan_mk",NA,NA,NA
"sw",65,"cœur",NA,"elinathan_mk",NA,NA,NA
"sw",66,"chandail","S@dEl","elinathan_mk",NA,"grv",1
"sw",67,"magner",NA,"elinathan_mk",NA,NA,NA
"sw",68,"mais",NA,"elinathan_mk",NA,NA,NA
"sw",69,"ruse",NA,"elinathan_mk",NA,NA,NA
"sw",70,"rasé",NA,"elinathan_mk",NA,NA,NA
"sw",71,"album",NA,"elinathan_mk",NA,NA,NA
"sw",72,"glisserai",NA,"elinathan_mk",NA,NA,NA
"sw",73,"qui",NA,"elinathan_mk",NA,NA,NA
"sw",74,"partons",NA,"elinathan_mk",NA,NA,NA
"sw",75,"rebondirons",NA,"elinathan_mk",NA,NA,NA
"sw",76,"librairie",NA,"elinathan_mk",NA,NA,NA
"sw",77,"voilent","vwaj","elinathan_mk",NA,"sml",0
"sw",78,"roue",NA,"elinathan_mk",NA,NA,NA
"sw",79,"case","kas","elinathan_mk",NA,"sml",1
"sw",80,"prie",NA,"elinathan_mk",NA,NA,NA
"sw",81,"mois",NA,"elinathan_mk",NA,NA,NA
"sw",82,"dans",NA,"elinathan_mk",NA,NA,NA
"sw",83,"coule",NA,"elinathan_mk",NA,NA,NA
"sw",84,"poêle","poEl","elinathan_mk",NA,"sml",0
"sw",85,"saule",NA,"elinathan_mk",NA,NA,NA
"sw",86,"œil",NA,"elinathan_mk",NA,NA,NA
"sw",87,"tant",NA,"elinathan_mk",NA,NA,NA
"sw",88,"clamer",NA,"elinathan_mk",NA,NA,NA
"sw",89,"pensant",NA,"elinathan_mk",NA,NA,NA
"sw",90,"finie",NA,"elinathan_mk",NA,NA,NA
"sw",91,"poison","pwas§","elinathan_mk",NA,"sml",1
"sw",92,"mairie",NA,"elinathan_mk",NA,NA,NA
"sw",93,"boulangerie",NA,"elinathan_mk",NA,NA,NA
"sw",94,"cousin",NA,"elinathan_mk",NA,NA,NA
"sw",95,"boulette",NA,"elinathan_mk",NA,NA,NA
"sw",96,"revolver",NA,"elinathan_mk",NA,NA,NA
"sw",97,"grade","gard","elinathan_mk",NA,"vlp",1
"sw",98,"gens",NA,"elinathan_mk",NA,NA,NA
"sw",99,"porche",NA,"elinathan_mk",NA,NA,NA
"sw",100,"encore",NA,"elinathan_mk",NA,NA,NA
"sw",101,"les",NA,"elinathan_mk",NA,NA,NA
"sw",102,"sept",NA,"elinathan_mk",NA,NA,NA
"sw",103,"patrie",NA,"elinathan_mk",NA,NA,NA
"sw",104,"présent",NA,"elinathan_mk",NA,NA,NA
"sw",105,"six",NA,"elinathan_mk",NA,NA,NA
"sw",106,"teint",NA,"elinathan_mk",NA,NA,NA
"sw",107,"cirer",NA,"elinathan_mk",NA,NA,NA
"sw",108,"trier",NA,"elinathan_mk",NA,NA,NA
