"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"felicien_c",NA,NA,NA
"sw",2,"onze","zon","felicien_c",NA,"vlp",1
"sw",3,"grand",NA,"felicien_c",NA,NA,NA
"sw",4,"race",NA,"felicien_c",NA,NA,NA
"sw",5,"rose",NA,"felicien_c",NA,NA,NA
"sw",6,"scie","ski","felicien_c",NA,"sml",1
"sw",7,"base",NA,"felicien_c",NA,NA,NA
"sw",8,"orge",NA,"felicien_c",NA,NA,NA
"sw",9,"enfer",NA,"felicien_c",NA,NA,NA
"sw",10,"maire",NA,"felicien_c",NA,NA,NA
"sw",11,"chacun",NA,"felicien_c",NA,NA,NA
"sw",12,"signe",NA,"felicien_c",NA,NA,NA
"sw",13,"brun",NA,"felicien_c",NA,NA,NA
"sw",14,"congé",NA,"felicien_c",NA,NA,NA
"sw",15,"patient","patj@","felicien_c",NA,"sml",0
"sw",16,"payé",NA,"felicien_c",NA,NA,NA
"sw",17,"pantin","pat5","felicien_c",NA,"bom",1
"sw",18,"compte","k§pt","felicien_c",NA,"sml",0
"sw",19,"cesse",NA,"felicien_c",NA,NA,NA
"sw",20,"bille",NA,"felicien_c",NA,NA,NA
"sw",21,"maîtresse",NA,"felicien_c",NA,NA,NA
"sw",22,"piler","pilje","felicien_c",NA,"bvod",1
"sw",23,"femme",NA,"felicien_c",NA,NA,NA
"sw",24,"parfum",NA,"felicien_c",NA,NA,NA
"sw",25,"doigt","drwa","felicien_c",NA,"cad",1
"sw",26,"lapin",NA,"felicien_c",NA,NA,NA
"sw",27,"linge","liN","felicien_c",NA,"clp",1
"sw",28,"coup",NA,"felicien_c",NA,NA,NA
"sw",29,"vers",NA,"felicien_c",NA,NA,NA
"sw",30,"volé",NA,"felicien_c",NA,NA,NA
"sw",31,"mars",NA,"felicien_c",NA,NA,NA
"sw",32,"frime",NA,"felicien_c",NA,NA,NA
"sw",33,"monsieur","monis*r","felicien_c",NA,"vlp",0
"sw",34,"jeunesse",NA,"felicien_c",NA,NA,NA
"sw",35,"marcherions","marS*rw5","felicien_c",NA,"vlp",0
"sw",36,"canton","k@t§","felicien_c",NA,"CR",NA
"sw",37,"tentait",NA,"felicien_c",NA,NA,NA
"sw",38,"cracher",NA,"felicien_c",NA,NA,NA
"sw",39,"crique",NA,"felicien_c",NA,NA,NA
"sw",40,"retrouverez","r*truve","felicien_c",NA,"mor/sylom/rneg",1
"sw",41,"suave",NA,"felicien_c",NA,NA,NA
"sw",42,"près",NA,"felicien_c",NA,NA,NA
"sw",43,"automne","otonom","felicien_c",NA,"clp_bvod",1
"sw",44,"client",NA,"felicien_c",NA,NA,NA
"sw",45,"soixante-dix",NA,"felicien_c",NA,NA,NA
"sw",46,"sien","sj@","felicien_c",NA,"grv",0
"sw",47,"rond",NA,"felicien_c",NA,NA,NA
"sw",48,"deux",NA,"felicien_c",NA,NA,NA
"sw",49,"pire","pri","felicien_c",NA,"vlp",1
"sw",50,"sens",NA,"felicien_c",NA,NA,NA
"sw",51,"rien",NA,"felicien_c",NA,NA,NA
"sw",52,"gare",NA,"felicien_c",NA,NA,NA
"sw",53,"chez",NA,"felicien_c",NA,NA,NA
"sw",54,"directeur",NA,"felicien_c",NA,NA,NA
"sw",55,"douzième",NA,"felicien_c",NA,NA,NA
"sw",56,"slave",NA,"felicien_c",NA,NA,NA
"sw",57,"pincera",NA,"felicien_c",NA,NA,NA
"sw",58,"montagne","m§taZ","felicien_c",NA,"bom_gr",1
"sw",59,"igloo",NA,"felicien_c",NA,NA,NA
"sw",60,"rogner",NA,"felicien_c",NA,NA,NA
"sw",61,"fille",NA,"felicien_c",NA,NA,NA
"sw",62,"morte",NA,"felicien_c",NA,NA,NA
"sw",63,"paire",NA,"felicien_c",NA,NA,NA
"sw",64,"varie",NA,"felicien_c",NA,NA,NA
"sw",65,"cœur",NA,"felicien_c",NA,NA,NA
"sw",66,"chandail",NA,"felicien_c",NA,NA,NA
"sw",67,"magner","m@Ze","felicien_c",NA,"clp/gr",1
"sw",68,"mais","m5","felicien_c",NA,"cad",1
"sw",69,"ruse","rys","felicien_c",NA,"sml",1
"sw",70,"rasé",NA,"felicien_c",NA,NA,NA
"sw",71,"album",NA,"felicien_c",NA,NA,NA
"sw",72,"glisserai","glizrE","felicien_c",NA,"gemom",0
"sw",73,"qui",NA,"felicien_c",NA,NA,NA
"sw",74,"partons",NA,"felicien_c",NA,NA,NA
"sw",75,"rebondirons",NA,"felicien_c",NA,NA,NA
"sw",76,"librairie","l5brEri","felicien_c",NA,"cod",0
"sw",77,"voilent","vwalj@","felicien_c",NA,"bvod_sml",0
"sw",78,"roue",NA,"felicien_c",NA,NA,NA
"sw",79,"case","koz","felicien_c",NA,"vad/vsub",1
"sw",80,"prie",NA,"felicien_c",NA,NA,NA
"sw",81,"mois",NA,"felicien_c",NA,NA,NA
"sw",82,"dans",NA,"felicien_c",NA,NA,NA
"sw",83,"coule",NA,"felicien_c",NA,NA,NA
"sw",84,"poêle",NA,"felicien_c",NA,NA,NA
"sw",85,"saule",NA,"felicien_c",NA,NA,NA
"sw",86,"œil",NA,"felicien_c",NA,NA,NA
"sw",87,"tant",NA,"felicien_c",NA,NA,NA
"sw",88,"clamer","klane","felicien_c",NA,"csub/cad",0
"sw",89,"pensant",NA,"felicien_c",NA,NA,NA
"sw",90,"finie",NA,"felicien_c",NA,NA,NA
"sw",91,"poison",NA,"felicien_c",NA,NA,NA
"sw",92,"mairie",NA,"felicien_c",NA,NA,NA
"sw",93,"boulangerie",NA,"felicien_c",NA,NA,NA
"sw",94,"cousin","kus5","felicien_c",NA,"sml",1
"sw",95,"boulette",NA,"felicien_c",NA,NA,NA
"sw",96,"revolver","r*vole","felicien_c",NA,"sml_bom/com",0
"sw",97,"grade",NA,"felicien_c",NA,NA,NA
"sw",98,"gens","s@","felicien_c",NA,"csub",1
"sw",99,"porche","proS","felicien_c",NA,"vlp",1
"sw",100,"encore",NA,"felicien_c",NA,NA,NA
"sw",101,"les",NA,"felicien_c",NA,NA,NA
"sw",102,"sept",NA,"felicien_c",NA,NA,NA
"sw",103,"patrie",NA,"felicien_c",NA,NA,NA
"sw",104,"présent",NA,"felicien_c",NA,NA,NA
"sw",105,"six",NA,"felicien_c",NA,NA,NA
"sw",106,"teint","t*ni","felicien_c",NA,"vlp",0
"sw",107,"cirer",NA,"felicien_c",NA,NA,NA
"sw",108,"trier","tise","felicien_c",NA,"com_cod",1
"sw",109,"asie","asi","felicien_c",NA,"sml",1
"sw",110,"cale",NA,"felicien_c",NA,NA,NA
"sw",111,"pipe",NA,"felicien_c",NA,NA,NA
"sw",112,"cinquante","s5k@t","felicien_c",NA,"CR",NA
"sw",113,"ose","os","felicien_c",NA,"sml",1
"sw",114,"emmener","*m@se","felicien_c",NA,"grv_cad",0
"sw",115,"écrire",NA,"felicien_c",NA,NA,NA
"sw",116,"portrait",NA,"felicien_c",NA,NA,NA
"sw",117,"ration","ratj§","felicien_c",NA,"sml",0
"sw",118,"savant",NA,"felicien_c",NA,NA,NA
