"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"kaditjanis_eo",NA,NA,NA
"sw",2,"onze",NA,"kaditjanis_eo",NA,NA,NA
"sw",3,"grand",NA,"kaditjanis_eo",NA,NA,NA
"sw",4,"race",NA,"kaditjanis_eo",NA,NA,NA
"sw",5,"rose",NA,"kaditjanis_eo",NA,NA,NA
"sw",6,"scie",NA,"kaditjanis_eo",NA,NA,NA
"sw",7,"base",NA,"kaditjanis_eo",NA,NA,NA
"sw",8,"orge","org","kaditjanis_eo",NA,"sml",1
"sw",9,"enfer",NA,"kaditjanis_eo",NA,NA,NA
"sw",10,"maire",NA,"kaditjanis_eo",NA,NA,NA
"sw",11,"chacun",NA,"kaditjanis_eo",NA,NA,NA
"sw",12,"signe",NA,"kaditjanis_eo",NA,NA,NA
"sw",13,"brun",NA,"kaditjanis_eo",NA,NA,NA
"sw",14,"congé","konge","kaditjanis_eo",NA,"sml",0
"sw",15,"patient",NA,"kaditjanis_eo",NA,NA,NA
"sw",16,"payé",NA,"kaditjanis_eo",NA,NA,NA
"sw",17,"pantin",NA,"kaditjanis_eo",NA,NA,NA
"sw",18,"compte",NA,"kaditjanis_eo",NA,NA,NA
"sw",19,"cesse",NA,"kaditjanis_eo",NA,NA,NA
"sw",20,"bille",NA,"kaditjanis_eo",NA,NA,NA
"sw",21,"maîtresse",NA,"kaditjanis_eo",NA,NA,NA
"sw",22,"piler",NA,"kaditjanis_eo",NA,NA,NA
"sw",23,"femme","fEm","kaditjanis_eo",NA,"sml",0
"sw",24,"parfum",NA,"kaditjanis_eo",NA,NA,NA
"sw",25,"doigt",NA,"kaditjanis_eo",NA,NA,NA
"sw",26,"lapin",NA,"kaditjanis_eo",NA,NA,NA
"sw",27,"linge","liN","kaditjanis_eo",NA,"clp",1
"sw",28,"coup",NA,"kaditjanis_eo",NA,NA,NA
"sw",29,"vers",NA,"kaditjanis_eo",NA,NA,NA
"sw",30,"volé",NA,"kaditjanis_eo",NA,NA,NA
"sw",31,"mars",NA,"kaditjanis_eo",NA,NA,NA
"sw",32,"frime",NA,"kaditjanis_eo",NA,NA,NA
"sw",33,"monsieur",NA,"kaditjanis_eo",NA,NA,NA
"sw",34,"jeunesse",NA,"kaditjanis_eo",NA,NA,NA
"sw",35,"marcherions",NA,"kaditjanis_eo",NA,NA,NA
"sw",36,"canton",NA,"kaditjanis_eo",NA,NA,NA
"sw",37,"tentait",NA,"kaditjanis_eo",NA,NA,NA
"sw",38,"cracher",NA,"kaditjanis_eo",NA,NA,NA
"sw",39,"crique",NA,"kaditjanis_eo",NA,NA,NA
"sw",40,"retrouverez","r*truve","kaditjanis_eo",NA,"mor/sylom/rneg",1
"sw",41,"suave",NA,"kaditjanis_eo",NA,NA,NA
"sw",42,"près",NA,"kaditjanis_eo",NA,NA,NA
"sw",43,"automne","otonom","kaditjanis_eo",NA,"clp_bvod",1
"sw",44,"client",NA,"kaditjanis_eo",NA,NA,NA
"sw",45,"soixante-dix",NA,"kaditjanis_eo",NA,NA,NA
"sw",46,"sien",NA,"kaditjanis_eo",NA,NA,NA
"sw",47,"rond",NA,"kaditjanis_eo",NA,NA,NA
"sw",48,"deux",NA,"kaditjanis_eo",NA,NA,NA
"sw",49,"pire",NA,"kaditjanis_eo",NA,NA,NA
"sw",50,"sens",NA,"kaditjanis_eo",NA,NA,NA
