"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"lorna-jire_m",NA,NA,NA
"sw",2,"onze",NA,"lorna-jire_m",NA,NA,NA
"sw",3,"grand",NA,"lorna-jire_m",NA,NA,NA
"sw",4,"race",NA,"lorna-jire_m",NA,NA,NA
"sw",5,"rose",NA,"lorna-jire_m",NA,NA,NA
"sw",6,"scie",NA,"lorna-jire_m",NA,NA,NA
"sw",7,"base",NA,"lorna-jire_m",NA,NA,NA
"sw",8,"orge","ogr","lorna-jire_m",NA,"clp",1
"sw",9,"enfer",NA,"lorna-jire_m",NA,NA,NA
"sw",10,"maire",NA,"lorna-jire_m",NA,NA,NA
"sw",11,"chacun",NA,"lorna-jire_m",NA,NA,NA
"sw",12,"signe",NA,"lorna-jire_m",NA,NA,NA
"sw",13,"brun",NA,"lorna-jire_m",NA,NA,NA
"sw",14,"congé",NA,"lorna-jire_m",NA,NA,NA
"sw",15,"patient",NA,"lorna-jire_m",NA,NA,NA
"sw",16,"payé",NA,"lorna-jire_m",NA,NA,NA
"sw",17,"pantin",NA,"lorna-jire_m",NA,NA,NA
"sw",18,"compte",NA,"lorna-jire_m",NA,NA,NA
"sw",19,"cesse",NA,"lorna-jire_m",NA,NA,NA
"sw",20,"bille",NA,"lorna-jire_m",NA,NA,NA
"sw",21,"maîtresse",NA,"lorna-jire_m",NA,NA,NA
"sw",22,"piler","plije","lorna-jire_m",NA,"vlp",1
"sw",23,"femme",NA,"lorna-jire_m",NA,NA,NA
"sw",24,"parfum",NA,"lorna-jire_m",NA,NA,NA
"sw",25,"doigt",NA,"lorna-jire_m",NA,NA,NA
"sw",26,"lapin",NA,"lorna-jire_m",NA,NA,NA
"sw",27,"linge","s5Z","lorna-jire_m",NA,"csub",1
"sw",28,"coup",NA,"lorna-jire_m",NA,NA,NA
"sw",29,"vers",NA,"lorna-jire_m",NA,NA,NA
"sw",30,"volé",NA,"lorna-jire_m",NA,NA,NA
"sw",31,"mars",NA,"lorna-jire_m",NA,NA,NA
"sw",32,"frime","firm","lorna-jire_m",NA,"vlp",1
"sw",33,"monsieur",NA,"lorna-jire_m",NA,NA,NA
"sw",34,"jeunesse",NA,"lorna-jire_m",NA,NA,NA
"sw",35,"marcherions","marS*r§","lorna-jire_m",NA,"mor/vom",1
"sw",36,"canton","kat§","lorna-jire_m",NA,"bom",0
"sw",37,"tentait",NA,"lorna-jire_m",NA,NA,NA
"sw",38,"cracher",NA,"lorna-jire_m",NA,NA,NA
"sw",39,"crique","krike","lorna-jire_m",NA,"vsub",1
"sw",40,"retrouverez","r*truve","lorna-jire_m",NA,"mor/sylom/rneg",1
"sw",41,"suave","suave","lorna-jire_m",NA,"vad_cad",0
"sw",42,"près",NA,"lorna-jire_m",NA,NA,NA
"sw",43,"automne",NA,"lorna-jire_m",NA,NA,NA
"sw",44,"client",NA,"lorna-jire_m",NA,NA,NA
"sw",45,"soixante-dix",NA,"lorna-jire_m",NA,NA,NA
