"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"lou-ann_d",NA,NA,NA
"sw",2,"onze",NA,"lou-ann_d",NA,NA,NA
"sw",3,"grand",NA,"lou-ann_d",NA,NA,NA
"sw",4,"race",NA,"lou-ann_d",NA,NA,NA
"sw",5,"rose",NA,"lou-ann_d",NA,NA,NA
"sw",6,"scie",NA,"lou-ann_d",NA,NA,NA
"sw",7,"base",NA,"lou-ann_d",NA,NA,NA
"sw",8,"orge","org","lou-ann_d",NA,"sml",1
"sw",9,"enfer",NA,"lou-ann_d",NA,NA,NA
"sw",10,"maire",NA,"lou-ann_d",NA,NA,NA
"sw",11,"chacun",NA,"lou-ann_d",NA,NA,NA
"sw",12,"signe",NA,"lou-ann_d",NA,NA,NA
"sw",13,"brun",NA,"lou-ann_d",NA,NA,NA
"sw",14,"congé",NA,"lou-ann_d",NA,NA,NA
"sw",15,"patient",NA,"lou-ann_d",NA,NA,NA
"sw",16,"payé",NA,"lou-ann_d",NA,NA,NA
"sw",17,"pantin","pat5","lou-ann_d",NA,"bom",1
"sw",18,"compte",NA,"lou-ann_d",NA,NA,NA
"sw",19,"cesse",NA,"lou-ann_d",NA,NA,NA
"sw",20,"bille",NA,"lou-ann_d",NA,NA,NA
"sw",21,"maîtresse",NA,"lou-ann_d",NA,NA,NA
"sw",22,"piler","pije","lou-ann_d",NA,"gmod",1
"sw",23,"femme",NA,"lou-ann_d",NA,NA,NA
"sw",24,"parfum",NA,"lou-ann_d",NA,NA,NA
"sw",25,"doigt",NA,"lou-ann_d",NA,NA,NA
"sw",26,"lapin",NA,"lou-ann_d",NA,NA,NA
"sw",27,"linge",NA,"lou-ann_d",NA,NA,NA
"sw",28,"coup",NA,"lou-ann_d",NA,NA,NA
"sw",29,"vers",NA,"lou-ann_d",NA,NA,NA
"sw",30,"volé",NA,"lou-ann_d",NA,NA,NA
"sw",31,"mars",NA,"lou-ann_d",NA,NA,NA
"sw",32,"frime",NA,"lou-ann_d",NA,NA,NA
"sw",33,"monsieur",NA,"lou-ann_d",NA,NA,NA
"sw",34,"jeunesse",NA,"lou-ann_d",NA,NA,NA
"sw",35,"marcherions",NA,"lou-ann_d",NA,NA,NA
"sw",36,"canton",NA,"lou-ann_d",NA,NA,NA
"sw",37,"tentait",NA,"lou-ann_d",NA,NA,NA
"sw",38,"cracher",NA,"lou-ann_d",NA,NA,NA
"sw",39,"crique","krije","lou-ann_d",NA,"com_vsub",1
"sw",40,"retrouverez",NA,"lou-ann_d",NA,NA,NA
"sw",41,"suave","suave","lou-ann_d",NA,"vad_cad",0
"sw",42,"près",NA,"lou-ann_d",NA,NA,NA
"sw",43,"automne",NA,"lou-ann_d",NA,NA,NA
"sw",44,"client",NA,"lou-ann_d",NA,NA,NA
"sw",45,"soixante-dix",NA,"lou-ann_d",NA,NA,NA
"sw",46,"sien",NA,"lou-ann_d",NA,NA,NA
"sw",47,"rond",NA,"lou-ann_d",NA,NA,NA
"sw",48,"deux",NA,"lou-ann_d",NA,NA,NA
"sw",49,"pire",NA,"lou-ann_d",NA,NA,NA
"sw",50,"sens",NA,"lou-ann_d",NA,NA,NA
"sw",51,"rien",NA,"lou-ann_d",NA,NA,NA
"sw",52,"gare",NA,"lou-ann_d",NA,NA,NA
"sw",53,"chez",NA,"lou-ann_d",NA,NA,NA
"sw",54,"directeur",NA,"lou-ann_d",NA,NA,NA
