"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"pierre-alexandre_o",NA,NA,NA
"sw",2,"onze",NA,"pierre-alexandre_o",NA,NA,NA
"sw",3,"grand",NA,"pierre-alexandre_o",NA,NA,NA
"sw",4,"race",NA,"pierre-alexandre_o",NA,NA,NA
"sw",5,"rose",NA,"pierre-alexandre_o",NA,NA,NA
"sw",6,"scie",NA,"pierre-alexandre_o",NA,NA,NA
"sw",7,"base",NA,"pierre-alexandre_o",NA,NA,NA
"sw",8,"orge","org","pierre-alexandre_o",NA,"sml",1
"sw",9,"enfer",NA,"pierre-alexandre_o",NA,NA,NA
"sw",10,"maire",NA,"pierre-alexandre_o",NA,NA,NA
"sw",11,"chacun",NA,"pierre-alexandre_o",NA,NA,NA
"sw",12,"signe",NA,"pierre-alexandre_o",NA,NA,NA
"sw",13,"brun",NA,"pierre-alexandre_o",NA,NA,NA
"sw",14,"congé",NA,"pierre-alexandre_o",NA,NA,NA
"sw",15,"patient",NA,"pierre-alexandre_o",NA,NA,NA
"sw",16,"payé",NA,"pierre-alexandre_o",NA,NA,NA
"sw",17,"pantin",NA,"pierre-alexandre_o",NA,NA,NA
"sw",18,"compte",NA,"pierre-alexandre_o",NA,NA,NA
"sw",19,"cesse",NA,"pierre-alexandre_o",NA,NA,NA
"sw",20,"bille",NA,"pierre-alexandre_o",NA,NA,NA
"sw",21,"maîtresse",NA,"pierre-alexandre_o",NA,NA,NA
"sw",22,"piler",NA,"pierre-alexandre_o",NA,NA,NA
"sw",23,"femme",NA,"pierre-alexandre_o",NA,NA,NA
"sw",24,"parfum",NA,"pierre-alexandre_o",NA,NA,NA
"sw",25,"doigt",NA,"pierre-alexandre_o",NA,NA,NA
"sw",26,"lapin",NA,"pierre-alexandre_o",NA,NA,NA
"sw",27,"linge",NA,"pierre-alexandre_o",NA,NA,NA
"sw",28,"coup",NA,"pierre-alexandre_o",NA,NA,NA
"sw",29,"vers",NA,"pierre-alexandre_o",NA,NA,NA
"sw",30,"volé",NA,"pierre-alexandre_o",NA,NA,NA
"sw",31,"mars",NA,"pierre-alexandre_o",NA,NA,NA
"sw",32,"frime",NA,"pierre-alexandre_o",NA,NA,NA
"sw",33,"monsieur",NA,"pierre-alexandre_o",NA,NA,NA
"sw",34,"jeunesse",NA,"pierre-alexandre_o",NA,NA,NA
"sw",35,"marcherions",NA,"pierre-alexandre_o",NA,NA,NA
"sw",36,"canton",NA,"pierre-alexandre_o",NA,NA,NA
"sw",37,"tentait",NA,"pierre-alexandre_o",NA,NA,NA
"sw",38,"cracher",NA,"pierre-alexandre_o",NA,NA,NA
"sw",39,"crique","krike","pierre-alexandre_o",NA,"vsub",1
"sw",40,"retrouverez",NA,"pierre-alexandre_o",NA,NA,NA
"sw",41,"suave","suave","pierre-alexandre_o",NA,"vad_cad",0
"sw",42,"près",NA,"pierre-alexandre_o",NA,NA,NA
"sw",43,"automne","otom","pierre-alexandre_o",NA,"sml_com",0
"sw",44,"client",NA,"pierre-alexandre_o",NA,NA,NA
"sw",45,"soixante-dix",NA,"pierre-alexandre_o",NA,NA,NA
"sw",46,"sien",NA,"pierre-alexandre_o",NA,NA,NA
"sw",47,"rond",NA,"pierre-alexandre_o",NA,NA,NA
"sw",48,"deux",NA,"pierre-alexandre_o",NA,NA,NA
"sw",49,"pire",NA,"pierre-alexandre_o",NA,NA,NA
"sw",50,"sens",NA,"pierre-alexandre_o",NA,NA,NA
"sw",51,"rien",NA,"pierre-alexandre_o",NA,NA,NA
"sw",52,"gare",NA,"pierre-alexandre_o",NA,NA,NA
"sw",53,"chez",NA,"pierre-alexandre_o",NA,NA,NA
"sw",54,"directeur",NA,"pierre-alexandre_o",NA,NA,NA
"sw",55,"douzième",NA,"pierre-alexandre_o",NA,NA,NA
"sw",56,"slave",NA,"pierre-alexandre_o",NA,NA,NA
"sw",57,"pincera",NA,"pierre-alexandre_o",NA,NA,NA
"sw",58,"montagne",NA,"pierre-alexandre_o",NA,NA,NA
"sw",59,"igloo",NA,"pierre-alexandre_o",NA,NA,NA
"sw",60,"rogner",NA,"pierre-alexandre_o",NA,NA,NA
"sw",61,"fille","fil","pierre-alexandre_o",NA,"sml",1
"sw",62,"morte",NA,"pierre-alexandre_o",NA,NA,NA
