"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"sw",1,"fin",NA,"yacine_m",NA,NA,NA
"sw",2,"onze",NA,"yacine_m",NA,NA,NA
"sw",3,"grand",NA,"yacine_m",NA,NA,NA
"sw",4,"race",NA,"yacine_m",NA,NA,NA
"sw",5,"rose",NA,"yacine_m",NA,NA,NA
"sw",6,"scie",NA,"yacine_m",NA,NA,NA
"sw",7,"base",NA,"yacine_m",NA,NA,NA
"sw",8,"orge",NA,"yacine_m",NA,NA,NA
"sw",9,"enfer",NA,"yacine_m",NA,NA,NA
"sw",10,"maire",NA,"yacine_m",NA,NA,NA
"sw",11,"chacun",NA,"yacine_m",NA,NA,NA
"sw",12,"signe",NA,"yacine_m",NA,NA,NA
"sw",13,"brun",NA,"yacine_m",NA,NA,NA
"sw",14,"congé",NA,"yacine_m",NA,NA,NA
"sw",15,"patient",NA,"yacine_m",NA,NA,NA
"sw",16,"payé",NA,"yacine_m",NA,NA,NA
"sw",17,"pantin",NA,"yacine_m",NA,NA,NA
"sw",18,"compte",NA,"yacine_m",NA,NA,NA
"sw",19,"cesse",NA,"yacine_m",NA,NA,NA
"sw",20,"bille",NA,"yacine_m",NA,NA,NA
"sw",21,"maîtresse",NA,"yacine_m",NA,NA,NA
"sw",22,"piler",NA,"yacine_m",NA,NA,NA
"sw",23,"femme",NA,"yacine_m",NA,NA,NA
"sw",24,"parfum",NA,"yacine_m",NA,NA,NA
"sw",25,"doigt",NA,"yacine_m",NA,NA,NA
"sw",26,"lapin",NA,"yacine_m",NA,NA,NA
"sw",27,"linge",NA,"yacine_m",NA,NA,NA
"sw",28,"coup",NA,"yacine_m",NA,NA,NA
"sw",29,"vers",NA,"yacine_m",NA,NA,NA
"sw",30,"volé",NA,"yacine_m",NA,NA,NA
"sw",31,"mars",NA,"yacine_m",NA,NA,NA
"sw",32,"frime",NA,"yacine_m",NA,NA,NA
"sw",33,"monsieur",NA,"yacine_m",NA,NA,NA
"sw",34,"jeunesse",NA,"yacine_m",NA,NA,NA
"sw",35,"marcherions",NA,"yacine_m",NA,NA,NA
"sw",36,"canton",NA,"yacine_m",NA,NA,NA
"sw",37,"tentait",NA,"yacine_m",NA,NA,NA
"sw",38,"cracher",NA,"yacine_m",NA,NA,NA
"sw",39,"crique",NA,"yacine_m",NA,NA,NA
"sw",40,"retrouverez",NA,"yacine_m",NA,NA,NA
"sw",41,"suave",NA,"yacine_m",NA,NA,NA
"sw",42,"près",NA,"yacine_m",NA,NA,NA
