"test_id","order","word","response","subj_id","wp_location","error_code","potentiophone"
"wp",202,"balle",NA,"olivier_o",NA,NA,NA
"wp",203,"selle",NA,"olivier_o",NA,NA,NA
"wp",204,"bise",NA,"olivier_o",NA,NA,NA
"wp",205,"vase","val","olivier_o",1,"cad",1
"wp",206,"murs",NA,"olivier_o",NA,NA,NA
"wp",207,"sers",NA,"olivier_o",NA,NA,NA
"wp",208,"dira",NA,"olivier_o",NA,NA,NA
"wp",209,"dure",NA,"olivier_o",NA,NA,NA
"wp",210,"serra",NA,"olivier_o",NA,NA,NA
"wp",211,"verre",NA,"olivier_o",NA,NA,NA
"wp",212,"malle",NA,"olivier_o",NA,NA,NA
"wp",213,"bille",NA,"olivier_o",NA,NA,NA
"wp",214,"cape",NA,"olivier_o",NA,NA,NA
"wp",215,"page",NA,"olivier_o",NA,NA,NA
"wp",216,"peur","pl*r","olivier_o",0,"cod",1
"wp",217,"poux",NA,"olivier_o",NA,NA,NA
"wp",218,"mots",NA,"olivier_o",NA,NA,NA
"wp",219,"pois",NA,"olivier_o",NA,NA,NA
"wp",220,"liège","lEZ","olivier_o",0,"vom",0
"wp",221,"singe",NA,"olivier_o",NA,NA,NA
"wp",222,"doux",NA,"olivier_o",NA,NA,NA
"wp",223,"peux","p*r","olivier_o",1,"cad",1
"wp",224,"litre",NA,"olivier_o",NA,NA,NA
"wp",225,"vivre",NA,"olivier_o",NA,NA,NA
"wp",226,"puis",NA,"olivier_o",NA,NA,NA
"wp",227,"sois",NA,"olivier_o",NA,NA,NA
"wp",228,"mille",NA,"olivier_o",NA,NA,NA
"wp",229,"folle","fwa","olivier_o",1,"vad",1
"wp",230,"peine","plEn","olivier_o",0,"cod",1
"wp",231,"reins","rEn","olivier_o",1,"sml",1
"wp",232,"mont",NA,"olivier_o",NA,NA,NA
"wp",233,"sent","sEt","olivier_o",1,"adom",1
"wp",234,"aire",NA,"olivier_o",NA,NA,NA
"wp",235,"pile",NA,"olivier_o",NA,NA,NA
"wp",236,"aime",NA,"olivier_o",NA,NA,NA
"wp",237,"armé",NA,"olivier_o",NA,NA,NA
"wp",238,"bout",NA,"olivier_o",NA,NA,NA
"wp",239,"toit",NA,"olivier_o",NA,NA,NA
"wp",240,"lame",NA,"olivier_o",NA,NA,NA
"wp",241,"rime",NA,"olivier_o",NA,NA,NA
"wp",242,"soin",NA,"olivier_o",NA,NA,NA
"wp",243,"sais",NA,"olivier_o",NA,NA,NA
"wp",244,"note",NA,"olivier_o",NA,NA,NA
"wp",245,"voie",NA,"olivier_o",NA,NA,NA
"wp",246,"gris",NA,"olivier_o",NA,NA,NA
"wp",247,"iras",NA,"olivier_o",NA,NA,NA
"wp",248,"ferai","f*ra","olivier_o",0,"vad/mor",1
"wp",249,"seras",NA,"olivier_o",NA,NA,NA
"wp",250,"colle",NA,"olivier_o",NA,NA,NA
"wp",251,"foule",NA,"olivier_o",NA,NA,NA
"wp",252,"grave",NA,"olivier_o",NA,NA,NA
"wp",253,"brève","br*ve","olivier_o",1,"vsub",1
"wp",254,"fous",NA,"olivier_o",NA,NA,NA
"wp",255,"tour",NA,"olivier_o",NA,NA,NA
"wp",256,"masse",NA,"olivier_o",NA,NA,NA
"wp",257,"cesse",NA,"olivier_o",NA,NA,NA
"wp",258,"fixa",NA,"olivier_o",NA,NA,NA
"wp",259,"file",NA,"olivier_o",NA,NA,NA
"wp",260,"manie",NA,"olivier_o",NA,NA,NA
"wp",261,"marge","maZ","olivier_o",1,"com",0
"wp",262,"dont",NA,"olivier_o",NA,NA,NA
"wp",263,"vent",NA,"olivier_o",NA,NA,NA
"wp",264,"fois",NA,"olivier_o",NA,NA,NA
"wp",265,"mais",NA,"olivier_o",NA,NA,NA
"wp",266,"verra","s*ra","olivier_o",0,"csub_sml",1
"wp",267,"verse",NA,"olivier_o",NA,NA,NA
"wp",268,"faute",NA,"olivier_o",NA,NA,NA
"wp",269,"sauve",NA,"olivier_o",NA,NA,NA
"wp",270,"fini",NA,"olivier_o",NA,NA,NA
"wp",271,"mine",NA,"olivier_o",NA,NA,NA
"wp",272,"dure","dyra","olivier_o",0,"vsub/mor",1
"wp",273,"pire","pil","olivier_o",1,"cad",1
"wp",274,"fasse",NA,"olivier_o",NA,NA,NA
"wp",275,"bosse",NA,"olivier_o",NA,NA,NA
"wp",276,"boude","bot","olivier_o",0,"vom_csub/cvoice",1
"wp",277,"coule",NA,"olivier_o",NA,NA,NA
"wp",278,"fend","s@","olivier_o",0,"csub",1
"wp",279,"rond","k§","olivier_o",1,"cad",1
"wp",280,"rends",NA,"olivier_o",NA,NA,NA
"wp",281,"vendu","r@dy","olivier_o",1,"cad",1
"wp",282,"vente","v@","olivier_o",0,"adom/rneg",1
"wp",283,"perte",NA,"olivier_o",NA,NA,NA
"wp",284,"aide",NA,"olivier_o",NA,NA,NA
"wp",285,"vise","vis","olivier_o",1,"sml",1
"wp",286,"paire","pari","olivier_o",0,"vlp",1
"wp",287,"foire","fwa","olivier_o",1,"adom",1
"wp",288,"fait",NA,"olivier_o",NA,NA,NA
"wp",289,"luit",NA,"olivier_o",NA,NA,NA
