grade,N,Mean,SD,error_type,test_id,CRAW
6,74,0.77,1.28,Attention,sw,3
7,60,0.67,0.88,Attention,sw,3
6,74,0.43,0.86,Attention_C,sw,2
7,60,0.33,0.54,Attention_C,sw,2
6,75,0.28,0.58,Attention_V,sw,2
7,61,0.44,0.65,Attention_V,sw,2
6,74,1.78,2.66,LetterPosition,sw,7
7,60,1.27,2.11,LetterPosition,sw,5
6,75,0.64,1.01,LetterPosition_C,sw,3
7,60,0.27,0.55,LetterPosition_C,sw,2
6,74,1.16,1.83,LetterPosition_V,sw,5
7,59,0.85,1.46,LetterPosition_V,sw,4
6,75,1.29,1.50,LetterDoubling,sw,4
7,59,0.61,0.89,LetterDoubling,sw,3
6,75,4.12,4.43,Vowel,sw,12
7,60,3.07,3.01,Vowel,sw,9
6,75,4.07,4.27,Visual,sw,12
7,60,2.42,2.71,Visual,sw,7
6,76,7.24,4.82,Surface,sw,16
7,61,5.05,3.70,Surface,sw,12
6,75,1.33,1.68,Deep,sw,5
7,59,0.86,1.38,Deep,sw,4
6,76,0.79,1.15,"Neglect","sw",3
7,60,0.6,0.94,"Neglect","sw",3
