WORD,FREQ
frime,37.63
marcherions,60.40
pincera,45.58
voilent,58.78
fiable,21.63
glisserai,56.16
rebondirons,25.79
lange,18.70
rogner,19.77
clamer,35.58
a,78.16
à,82.00
à cloche-pied,40.98
à contrecœur,38.87
à croupetons,22.65
à jeun,41.49
à la saint-glinglin,39.65
à l'aveuglette,33.10
à l'improviste,18.18
à mi-course,33.11
à rebrousse-poil,26.82
à tâtons,45.45
à tire-d'aile,43.91
à tue-tête,48.48
à vau-l'eau,24.17
aardvark,26.89
abaissa,43.96
abaissai,22.65
abaissait,34.82
abaisse,21.57
abaissé,23.76
abaissée,23.33
abaissées,21.91
abaissent,32.99
abaisser,38.89
abaissés,21.65
abajoues,20.93
abandon,41.60
abandonna,44.37
abandonnai,24.26
abandonnaient,36.69
abandonnais,33.03
abandonnait,40.47
abandonnant,45.50
abandonne,49.52
abandonné,48.85
abandonné,52.23
abandonnée,42.18
abandonnée,43.49
abandonnées,40.47
abandonnées,33.07
abandonnent,44.63
abandonner,51.47
abandonnera,36.69
abandonnerai,33.06
abandonnerais,20.82
abandonnèrent,43.13
abandonnerons,23.81
abandonnes,36.00
abandonnés,36.26
abandonnés,38.85
abandonnez,32.99
abandonnons,19.77
abasourdi,42.24
abasourdi,19.29
abasourdie,32.98
abasourdie,17.62
abasourdis,21.91
abat,45.25
abat-jour,47.28
abats,21.63
abattait,21.91
abattant,21.63
abattement,22.78
abattent,41.63
abattirent,36.63
abattis,25.79
abattit,49.80
abattoir,33.11
abattoirs,22.65
abattrai,21.91
abattre,48.89
abattu,46.83
abattu,45.33
abattue,15.06
abattue,40.47
abattues,19.94
abattues,20.82
abattus,42.64
abattus,42.26
abbaye,24.54
abbé,33.09
abbey,23.81
abcès,32.95
abd el-kader,24.18
abdallah,28.72
abdavulocat,27.40
abdelassem,22.40
abderrahman,21.65
abdomen,39.67
abdominaux,17.92
abdou,17.62
abécédaire,39.67
abeille,56.16
abeilles,54.50
abel,35.44
abidjan,21.63
abîma,24.66
abîmait,32.97
abîme,39.56
abîme,41.07
abîmé,44.88
abîmée,41.07
abîmées,22.65
abîment,33.01
abîmer,45.45
abîmerait,23.76
abîmes,38.88
abîmes,16.38
abîmés,42.60
abîmez,36.66
abîmons,23.33
ablette,33.30
ablettes,33.09
aboie,53.93
aboiement,45.01
aboiements,45.58
aboient,40.93
aboiera,33.20
aboies,22.78
abois,40.47
abolition,24.18
abominable,44.36
abominablement,21.65
abominables,27.27
abominaffreux,29.67
abomination,33.22
abondaient,19.40
abondamment,41.68
abondance,45.71
abondant,37.83
abondant,19.71
abondante,45.59
abondantes,41.03
abondants,34.48
abondent,34.50
abonne,20.93
abonné,13.91
abonné,38.84
abonnement,35.05
abonnements,23.33
abonner,32.77
abonnés,21.16
abonnés,35.62
abonnés,19.71
abord,22.65
aborda,41.77
abordage,39.62
abordai,22.65
abordait,36.72
abordâmes,33.22
abordant,33.26
aborde,39.65
aborder,46.44
abordèrent,38.84
abordés,17.92
abordés,23.33
abordions,22.65
abords,42.62
aborigènes,23.76
abouché,20.94
abouti,21.65
aboutir,36.77
aboutira,21.63
aboutissaient,23.76
aboutissait,37.75
aboutissement,21.63
aboutissent,24.26
aboutit,37.85
aboville,25.32
aboya,46.15
aboyaient,33.23
aboyait,46.02
aboyant,45.14
aboyé,41.48
