"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"anas_a"
163,"pw","flache","faS","anas_a"
164,"pw","noveau",NA,"anas_a"
165,"pw","pocile",NA,"anas_a"
166,"pw","trapide",NA,"anas_a"
167,"pw","lagne",NA,"anas_a"
168,"pw","géont",NA,"anas_a"
169,"pw","klapin",NA,"anas_a"
170,"pw","pourte",NA,"anas_a"
171,"pw","blacon","balk§","anas_a"
172,"pw","hatiberai",NA,"anas_a"
173,"pw","voclan","volk@","anas_a"
174,"pw","pormis",NA,"anas_a"
175,"pw","anical",NA,"anas_a"
176,"pw","spil","spi","anas_a"
177,"pw","catron",NA,"anas_a"
178,"pw","gruse",NA,"anas_a"
179,"pw","matreau",NA,"anas_a"
180,"pw","corque",NA,"anas_a"
181,"pw","dummage",NA,"anas_a"
182,"pw","éballon",NA,"anas_a"
183,"pw","troche",NA,"anas_a"
184,"pw","glabe",NA,"anas_a"
185,"pw","batiller",NA,"anas_a"
186,"pw","truche",NA,"anas_a"
187,"pw","ovile",NA,"anas_a"
188,"pw","proc",NA,"anas_a"
189,"pw","scolle",NA,"anas_a"
190,"pw","fotre",NA,"anas_a"
191,"pw","pulbic","pyblik","anas_a"
192,"pw","gaise",NA,"anas_a"
193,"pw","reprati",NA,"anas_a"
194,"pw","mantou",NA,"anas_a"
195,"pw","quafilie","kalifi","anas_a"
196,"pw","socrier","sorkrije","anas_a"
197,"pw","moigre",NA,"anas_a"
198,"pw","ibole",NA,"anas_a"
199,"pw","virtail",NA,"anas_a"
200,"pw","miatre",NA,"anas_a"
201,"pw","rabio",NA,"anas_a"
