"order","test_id","word","response","subj_id"
162,"pw","arbi","abri","assaba_k"
163,"pw","flache",NA,"assaba_k"
164,"pw","noveau","n*vo","assaba_k"
165,"pw","pocile","polis","assaba_k"
166,"pw","trapide",NA,"assaba_k"
167,"pw","lagne","lagl","assaba_k"
168,"pw","géont",NA,"assaba_k"
169,"pw","klapin",NA,"assaba_k"
170,"pw","pourte",NA,"assaba_k"
171,"pw","blacon",NA,"assaba_k"
172,"pw","hatiberai",NA,"assaba_k"
173,"pw","voclan","volk@","assaba_k"
174,"pw","pormis",NA,"assaba_k"
175,"pw","anical",NA,"assaba_k"
176,"pw","spil",NA,"assaba_k"
177,"pw","catron","kart§","assaba_k"
178,"pw","gruse",NA,"assaba_k"
179,"pw","matreau","marto","assaba_k"
180,"pw","corque","krok","assaba_k"
181,"pw","dummage",NA,"assaba_k"
182,"pw","éballon",NA,"assaba_k"
183,"pw","troche",NA,"assaba_k"
184,"pw","glabe","blab","assaba_k"
185,"pw","batiller","batiji","assaba_k"
186,"pw","truche",NA,"assaba_k"
187,"pw","ovile",NA,"assaba_k"
188,"pw","proc","por","assaba_k"
189,"pw","scolle",NA,"assaba_k"
190,"pw","fotre","fort","assaba_k"
191,"pw","pulbic",NA,"assaba_k"
192,"pw","gaise",NA,"assaba_k"
193,"pw","reprati","repartir","assaba_k"
194,"pw","mantou",NA,"assaba_k"
195,"pw","quafilie",NA,"assaba_k"
196,"pw","socrier","sorsrie","assaba_k"
197,"pw","moigre",NA,"assaba_k"
198,"pw","ibole",NA,"assaba_k"
199,"pw","virtail",NA,"assaba_k"
200,"pw","miatre",NA,"assaba_k"
201,"pw","rabio",NA,"assaba_k"
