"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"crystele_p"
163,"pw","flache",NA,"crystele_p"
164,"pw","noveau",NA,"crystele_p"
165,"pw","pocile",NA,"crystele_p"
166,"pw","trapide",NA,"crystele_p"
167,"pw","lagne",NA,"crystele_p"
168,"pw","géont",NA,"crystele_p"
169,"pw","klapin",NA,"crystele_p"
170,"pw","pourte","putr","crystele_p"
171,"pw","blacon",NA,"crystele_p"
172,"pw","hatiberai",NA,"crystele_p"
173,"pw","voclan","volk@","crystele_p"
174,"pw","pormis",NA,"crystele_p"
175,"pw","anical",NA,"crystele_p"
176,"pw","spil",NA,"crystele_p"
177,"pw","catron",NA,"crystele_p"
178,"pw","gruse","grys","crystele_p"
179,"pw","matreau",NA,"crystele_p"
180,"pw","corque",NA,"crystele_p"
181,"pw","dummage",NA,"crystele_p"
182,"pw","éballon",NA,"crystele_p"
183,"pw","troche",NA,"crystele_p"
184,"pw","glabe",NA,"crystele_p"
185,"pw","batiller",NA,"crystele_p"
186,"pw","truche",NA,"crystele_p"
187,"pw","ovile",NA,"crystele_p"
188,"pw","proc",NA,"crystele_p"
189,"pw","scolle",NA,"crystele_p"
190,"pw","fotre",NA,"crystele_p"
191,"pw","pulbic",NA,"crystele_p"
192,"pw","gaise","gEs","crystele_p"
193,"pw","reprati",NA,"crystele_p"
194,"pw","mantou",NA,"crystele_p"
195,"pw","quafilie",NA,"crystele_p"
196,"pw","socrier",NA,"crystele_p"
197,"pw","moigre",NA,"crystele_p"
198,"pw","ibole",NA,"crystele_p"
199,"pw","virtail","vitraj","crystele_p"
200,"pw","miatre",NA,"crystele_p"
201,"pw","rabio",NA,"crystele_p"
