"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"ester_a"
163,"pw","flache",NA,"ester_a"
164,"pw","noveau",NA,"ester_a"
165,"pw","pocile",NA,"ester_a"
166,"pw","trapide",NA,"ester_a"
167,"pw","lagne",NA,"ester_a"
168,"pw","géont",NA,"ester_a"
169,"pw","klapin",NA,"ester_a"
170,"pw","pourte",NA,"ester_a"
171,"pw","blacon","plak§","ester_a"
172,"pw","hatiberai","atib*rE","ester_a"
173,"pw","voclan","volk@","ester_a"
174,"pw","pormis",NA,"ester_a"
175,"pw","anical",NA,"ester_a"
176,"pw","spil",NA,"ester_a"
177,"pw","catron",NA,"ester_a"
178,"pw","gruse",NA,"ester_a"
179,"pw","matreau",NA,"ester_a"
180,"pw","corque",NA,"ester_a"
181,"pw","dummage",NA,"ester_a"
182,"pw","éballon",NA,"ester_a"
183,"pw","troche",NA,"ester_a"
184,"pw","glabe","glad","ester_a"
185,"pw","batiller",NA,"ester_a"
186,"pw","truche",NA,"ester_a"
187,"pw","ovile",NA,"ester_a"
188,"pw","proc",NA,"ester_a"
189,"pw","scolle",NA,"ester_a"
190,"pw","fotre",NA,"ester_a"
191,"pw","pulbic",NA,"ester_a"
192,"pw","gaise",NA,"ester_a"
193,"pw","reprati",NA,"ester_a"
194,"pw","mantou",NA,"ester_a"
195,"pw","quafilie",NA,"ester_a"
196,"pw","socrier",NA,"ester_a"
197,"pw","moigre",NA,"ester_a"
198,"pw","ibole",NA,"ester_a"
199,"pw","virtail",NA,"ester_a"
200,"pw","miatre",NA,"ester_a"
201,"pw","rabio","radjo","ester_a"
