"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"fahed_k"
163,"pw","flache",NA,"fahed_k"
164,"pw","noveau","nuvo","fahed_k"
165,"pw","pocile",NA,"fahed_k"
166,"pw","trapide",NA,"fahed_k"
167,"pw","lagne",NA,"fahed_k"
168,"pw","géont",NA,"fahed_k"
169,"pw","klapin",NA,"fahed_k"
170,"pw","pourte",NA,"fahed_k"
171,"pw","blacon",NA,"fahed_k"
172,"pw","hatiberai",NA,"fahed_k"
173,"pw","voclan",NA,"fahed_k"
174,"pw","pormis",NA,"fahed_k"
175,"pw","anical",NA,"fahed_k"
176,"pw","spil",NA,"fahed_k"
177,"pw","catron","kart§","fahed_k"
178,"pw","gruse",NA,"fahed_k"
179,"pw","matreau",NA,"fahed_k"
180,"pw","corque",NA,"fahed_k"
181,"pw","dummage",NA,"fahed_k"
182,"pw","éballon",NA,"fahed_k"
183,"pw","troche",NA,"fahed_k"
184,"pw","glabe",NA,"fahed_k"
185,"pw","batiller",NA,"fahed_k"
186,"pw","truche",NA,"fahed_k"
187,"pw","ovile",NA,"fahed_k"
188,"pw","proc",NA,"fahed_k"
189,"pw","scolle",NA,"fahed_k"
190,"pw","fotre",NA,"fahed_k"
191,"pw","pulbic",NA,"fahed_k"
192,"pw","gaise","gEs","fahed_k"
193,"pw","reprati",NA,"fahed_k"
194,"pw","mantou",NA,"fahed_k"
195,"pw","quafilie",NA,"fahed_k"
196,"pw","socrier","sokre","fahed_k"
197,"pw","moigre",NA,"fahed_k"
198,"pw","ibole",NA,"fahed_k"
199,"pw","virtail",NA,"fahed_k"
200,"pw","miatre",NA,"fahed_k"
201,"pw","rabio",NA,"fahed_k"
