"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"hedi_b"
163,"pw","flache",NA,"hedi_b"
164,"pw","noveau",NA,"hedi_b"
165,"pw","pocile",NA,"hedi_b"
166,"pw","trapide",NA,"hedi_b"
167,"pw","lagne",NA,"hedi_b"
168,"pw","géont",NA,"hedi_b"
169,"pw","klapin",NA,"hedi_b"
170,"pw","pourte",NA,"hedi_b"
171,"pw","blacon","plak§","hedi_b"
172,"pw","hatiberai",NA,"hedi_b"
173,"pw","voclan",NA,"hedi_b"
174,"pw","pormis",NA,"hedi_b"
175,"pw","anical",NA,"hedi_b"
176,"pw","spil",NA,"hedi_b"
177,"pw","catron",NA,"hedi_b"
178,"pw","gruse","grys","hedi_b"
179,"pw","matreau",NA,"hedi_b"
180,"pw","corque",NA,"hedi_b"
181,"pw","dummage",NA,"hedi_b"
182,"pw","éballon",NA,"hedi_b"
183,"pw","troche",NA,"hedi_b"
184,"pw","glabe",NA,"hedi_b"
185,"pw","batiller","batile","hedi_b"
186,"pw","truche",NA,"hedi_b"
187,"pw","ovile",NA,"hedi_b"
188,"pw","proc",NA,"hedi_b"
189,"pw","scolle","sol","hedi_b"
190,"pw","fotre",NA,"hedi_b"
191,"pw","pulbic",NA,"hedi_b"
192,"pw","gaise",NA,"hedi_b"
193,"pw","reprati",NA,"hedi_b"
194,"pw","mantou",NA,"hedi_b"
195,"pw","quafilie",NA,"hedi_b"
196,"pw","socrier",NA,"hedi_b"
197,"pw","moigre","mwangr","hedi_b"
198,"pw","ibole",NA,"hedi_b"
199,"pw","virtail",NA,"hedi_b"
200,"pw","miatre",NA,"hedi_b"
201,"pw","rabio",NA,"hedi_b"
