"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"hermelie_n"
163,"pw","flache",NA,"hermelie_n"
164,"pw","noveau",NA,"hermelie_n"
165,"pw","pocile",NA,"hermelie_n"
166,"pw","trapide",NA,"hermelie_n"
167,"pw","lagne",NA,"hermelie_n"
168,"pw","géont",NA,"hermelie_n"
169,"pw","klapin",NA,"hermelie_n"
170,"pw","pourte",NA,"hermelie_n"
171,"pw","blacon",NA,"hermelie_n"
172,"pw","hatiberai",NA,"hermelie_n"
173,"pw","voclan",NA,"hermelie_n"
174,"pw","pormis",NA,"hermelie_n"
175,"pw","anical",NA,"hermelie_n"
176,"pw","spil",NA,"hermelie_n"
177,"pw","catron",NA,"hermelie_n"
178,"pw","gruse",NA,"hermelie_n"
179,"pw","matreau",NA,"hermelie_n"
180,"pw","corque",NA,"hermelie_n"
181,"pw","dummage",NA,"hermelie_n"
182,"pw","éballon",NA,"hermelie_n"
183,"pw","troche",NA,"hermelie_n"
184,"pw","glabe",NA,"hermelie_n"
185,"pw","batiller",NA,"hermelie_n"
186,"pw","truche",NA,"hermelie_n"
187,"pw","ovile",NA,"hermelie_n"
188,"pw","proc",NA,"hermelie_n"
189,"pw","scolle",NA,"hermelie_n"
190,"pw","fotre",NA,"hermelie_n"
191,"pw","pulbic",NA,"hermelie_n"
192,"pw","gaise",NA,"hermelie_n"
193,"pw","reprati",NA,"hermelie_n"
194,"pw","mantou",NA,"hermelie_n"
195,"pw","quafilie",NA,"hermelie_n"
196,"pw","socrier",NA,"hermelie_n"
197,"pw","moigre",NA,"hermelie_n"
198,"pw","ibole",NA,"hermelie_n"
199,"pw","virtail",NA,"hermelie_n"
200,"pw","miatre",NA,"hermelie_n"
201,"pw","rabio",NA,"hermelie_n"
