"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"hugo_w"
163,"pw","flache",NA,"hugo_w"
164,"pw","noveau",NA,"hugo_w"
165,"pw","pocile","polis","hugo_w"
166,"pw","trapide",NA,"hugo_w"
167,"pw","lagne",NA,"hugo_w"
168,"pw","géont",NA,"hugo_w"
169,"pw","klapin",NA,"hugo_w"
170,"pw","pourte","putr*","hugo_w"
171,"pw","blacon","balk§","hugo_w"
172,"pw","hatiberai",NA,"hugo_w"
173,"pw","voclan","volk@","hugo_w"
174,"pw","pormis",NA,"hugo_w"
175,"pw","anical",NA,"hugo_w"
176,"pw","spil",NA,"hugo_w"
177,"pw","catron",NA,"hugo_w"
178,"pw","gruse","grys","hugo_w"
179,"pw","matreau",NA,"hugo_w"
180,"pw","corque",NA,"hugo_w"
181,"pw","dummage",NA,"hugo_w"
182,"pw","éballon",NA,"hugo_w"
183,"pw","troche","torS","hugo_w"
184,"pw","glabe",NA,"hugo_w"
185,"pw","batiller","batile","hugo_w"
186,"pw","truche",NA,"hugo_w"
187,"pw","ovile",NA,"hugo_w"
188,"pw","proc",NA,"hugo_w"
189,"pw","scolle",NA,"hugo_w"
190,"pw","fotre",NA,"hugo_w"
191,"pw","pulbic","pyblik","hugo_w"
192,"pw","gaise","gEs","hugo_w"
193,"pw","reprati","r*patri","hugo_w"
194,"pw","mantou",NA,"hugo_w"
195,"pw","quafilie","kalifili","hugo_w"
196,"pw","socrier",NA,"hugo_w"
197,"pw","moigre",NA,"hugo_w"
198,"pw","ibole",NA,"hugo_w"
199,"pw","virtail",NA,"hugo_w"
200,"pw","miatre",NA,"hugo_w"
201,"pw","rabio",NA,"hugo_w"
