"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"lucas_c"
163,"pw","flache",NA,"lucas_c"
164,"pw","noveau",NA,"lucas_c"
165,"pw","pocile",NA,"lucas_c"
166,"pw","trapide",NA,"lucas_c"
167,"pw","lagne",NA,"lucas_c"
168,"pw","géont",NA,"lucas_c"
169,"pw","klapin",NA,"lucas_c"
170,"pw","pourte",NA,"lucas_c"
171,"pw","blacon",NA,"lucas_c"
172,"pw","hatiberai",NA,"lucas_c"
173,"pw","voclan","volk@","lucas_c"
174,"pw","pormis",NA,"lucas_c"
175,"pw","anical",NA,"lucas_c"
176,"pw","spil",NA,"lucas_c"
177,"pw","catron",NA,"lucas_c"
178,"pw","gruse",NA,"lucas_c"
179,"pw","matreau",NA,"lucas_c"
180,"pw","corque",NA,"lucas_c"
181,"pw","dummage",NA,"lucas_c"
182,"pw","éballon",NA,"lucas_c"
183,"pw","troche",NA,"lucas_c"
184,"pw","glabe",NA,"lucas_c"
185,"pw","batiller",NA,"lucas_c"
186,"pw","truche",NA,"lucas_c"
187,"pw","ovile","oliv","lucas_c"
188,"pw","proc",NA,"lucas_c"
189,"pw","scolle",NA,"lucas_c"
190,"pw","fotre","fort","lucas_c"
191,"pw","pulbic",NA,"lucas_c"
192,"pw","gaise",NA,"lucas_c"
193,"pw","reprati",NA,"lucas_c"
194,"pw","mantou",NA,"lucas_c"
195,"pw","quafilie",NA,"lucas_c"
196,"pw","socrier",NA,"lucas_c"
197,"pw","moigre",NA,"lucas_c"
198,"pw","ibole",NA,"lucas_c"
199,"pw","virtail","vitraj","lucas_c"
200,"pw","miatre",NA,"lucas_c"
201,"pw","rabio",NA,"lucas_c"
