"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"mathias_b"
163,"pw","flache",NA,"mathias_b"
164,"pw","noveau",NA,"mathias_b"
165,"pw","pocile",NA,"mathias_b"
166,"pw","trapide",NA,"mathias_b"
167,"pw","lagne",NA,"mathias_b"
168,"pw","géont",NA,"mathias_b"
169,"pw","klapin",NA,"mathias_b"
170,"pw","pourte",NA,"mathias_b"
171,"pw","blacon",NA,"mathias_b"
172,"pw","hatiberai","kabib*re","mathias_b"
173,"pw","voclan",NA,"mathias_b"
174,"pw","pormis",NA,"mathias_b"
175,"pw","anical",NA,"mathias_b"
176,"pw","spil",NA,"mathias_b"
177,"pw","catron",NA,"mathias_b"
178,"pw","gruse",NA,"mathias_b"
179,"pw","matreau",NA,"mathias_b"
180,"pw","corque",NA,"mathias_b"
181,"pw","dummage",NA,"mathias_b"
182,"pw","éballon",NA,"mathias_b"
183,"pw","troche",NA,"mathias_b"
184,"pw","glabe",NA,"mathias_b"
185,"pw","batiller",NA,"mathias_b"
186,"pw","truche",NA,"mathias_b"
187,"pw","ovile",NA,"mathias_b"
188,"pw","proc",NA,"mathias_b"
189,"pw","scolle",NA,"mathias_b"
190,"pw","fotre","fort","mathias_b"
191,"pw","pulbic",NA,"mathias_b"
192,"pw","gaise","gEs","mathias_b"
193,"pw","reprati",NA,"mathias_b"
194,"pw","mantou",NA,"mathias_b"
195,"pw","quafilie","kalifi","mathias_b"
196,"pw","socrier",NA,"mathias_b"
197,"pw","moigre","mogr","mathias_b"
198,"pw","ibole",NA,"mathias_b"
199,"pw","virtail",NA,"mathias_b"
200,"pw","miatre",NA,"mathias_b"
201,"pw","rabio",NA,"mathias_b"
