"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"mickael_a"
163,"pw","flache",NA,"mickael_a"
164,"pw","noveau",NA,"mickael_a"
165,"pw","pocile",NA,"mickael_a"
166,"pw","trapide",NA,"mickael_a"
167,"pw","lagne",NA,"mickael_a"
168,"pw","géont",NA,"mickael_a"
169,"pw","klapin",NA,"mickael_a"
170,"pw","pourte",NA,"mickael_a"
171,"pw","blacon",NA,"mickael_a"
172,"pw","hatiberai",NA,"mickael_a"
173,"pw","voclan","volk@","mickael_a"
174,"pw","pormis",NA,"mickael_a"
175,"pw","anical",NA,"mickael_a"
176,"pw","spil",NA,"mickael_a"
177,"pw","catron",NA,"mickael_a"
178,"pw","gruse",NA,"mickael_a"
179,"pw","matreau",NA,"mickael_a"
180,"pw","corque",NA,"mickael_a"
181,"pw","dummage",NA,"mickael_a"
182,"pw","éballon",NA,"mickael_a"
183,"pw","troche",NA,"mickael_a"
184,"pw","glabe",NA,"mickael_a"
185,"pw","batiller",NA,"mickael_a"
186,"pw","truche",NA,"mickael_a"
187,"pw","ovile",NA,"mickael_a"
188,"pw","proc",NA,"mickael_a"
189,"pw","scolle",NA,"mickael_a"
190,"pw","fotre",NA,"mickael_a"
191,"pw","pulbic",NA,"mickael_a"
192,"pw","gaise","gEs","mickael_a"
193,"pw","reprati",NA,"mickael_a"
194,"pw","mantou",NA,"mickael_a"
195,"pw","quafilie",NA,"mickael_a"
196,"pw","socrier",NA,"mickael_a"
197,"pw","moigre",NA,"mickael_a"
198,"pw","ibole",NA,"mickael_a"
199,"pw","virtail",NA,"mickael_a"
200,"pw","miatre",NA,"mickael_a"
201,"pw","rabio",NA,"mickael_a"
