"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"mory_d"
163,"pw","flache",NA,"mory_d"
164,"pw","noveau",NA,"mory_d"
165,"pw","pocile",NA,"mory_d"
166,"pw","trapide",NA,"mory_d"
167,"pw","lagne","l@Z","mory_d"
168,"pw","géont","Z@","mory_d"
169,"pw","klapin",NA,"mory_d"
170,"pw","pourte","port","mory_d"
171,"pw","blacon","balk§","mory_d"
172,"pw","hatiberai",NA,"mory_d"
173,"pw","voclan",NA,"mory_d"
174,"pw","pormis",NA,"mory_d"
175,"pw","anical",NA,"mory_d"
176,"pw","spil","pil","mory_d"
177,"pw","catron",NA,"mory_d"
178,"pw","gruse",NA,"mory_d"
179,"pw","matreau",NA,"mory_d"
180,"pw","corque",NA,"mory_d"
181,"pw","dummage",NA,"mory_d"
182,"pw","éballon",NA,"mory_d"
183,"pw","troche",NA,"mory_d"
184,"pw","glabe",NA,"mory_d"
185,"pw","batiller","batile","mory_d"
186,"pw","truche",NA,"mory_d"
187,"pw","ovile",NA,"mory_d"
188,"pw","proc",NA,"mory_d"
189,"pw","scolle",NA,"mory_d"
190,"pw","fotre",NA,"mory_d"
191,"pw","pulbic","pyblik","mory_d"
192,"pw","gaise","gEs","mory_d"
193,"pw","reprati",NA,"mory_d"
194,"pw","mantou",NA,"mory_d"
195,"pw","quafilie",NA,"mory_d"
196,"pw","socrier","sorjEr","mory_d"
197,"pw","moigre",NA,"mory_d"
198,"pw","ibole",NA,"mory_d"
199,"pw","virtail","virtEl","mory_d"
200,"pw","miatre",NA,"mory_d"
201,"pw","rabio",NA,"mory_d"
