"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"noam_r"
163,"pw","flache",NA,"noam_r"
164,"pw","noveau",NA,"noam_r"
165,"pw","pocile",NA,"noam_r"
166,"pw","trapide",NA,"noam_r"
167,"pw","lagne",NA,"noam_r"
168,"pw","géont",NA,"noam_r"
169,"pw","klapin",NA,"noam_r"
170,"pw","pourte",NA,"noam_r"
171,"pw","blacon",NA,"noam_r"
172,"pw","hatiberai","atib*ri","noam_r"
173,"pw","voclan",NA,"noam_r"
174,"pw","pormis",NA,"noam_r"
175,"pw","anical",NA,"noam_r"
176,"pw","spil",NA,"noam_r"
177,"pw","catron",NA,"noam_r"
178,"pw","gruse","grys","noam_r"
179,"pw","matreau",NA,"noam_r"
180,"pw","corque",NA,"noam_r"
181,"pw","dummage",NA,"noam_r"
182,"pw","éballon",NA,"noam_r"
183,"pw","troche",NA,"noam_r"
184,"pw","glabe",NA,"noam_r"
185,"pw","batiller",NA,"noam_r"
186,"pw","truche",NA,"noam_r"
187,"pw","ovile",NA,"noam_r"
188,"pw","proc",NA,"noam_r"
189,"pw","scolle",NA,"noam_r"
190,"pw","fotre",NA,"noam_r"
191,"pw","pulbic",NA,"noam_r"
192,"pw","gaise",NA,"noam_r"
193,"pw","reprati",NA,"noam_r"
194,"pw","mantou",NA,"noam_r"
195,"pw","quafilie",NA,"noam_r"
196,"pw","socrier",NA,"noam_r"
197,"pw","moigre",NA,"noam_r"
198,"pw","ibole",NA,"noam_r"
199,"pw","virtail","virtEl","noam_r"
200,"pw","miatre",NA,"noam_r"
201,"pw","rabio",NA,"noam_r"
