"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"pierre_o"
163,"pw","flache",NA,"pierre_o"
164,"pw","noveau","nuvo","pierre_o"
165,"pw","pocile",NA,"pierre_o"
166,"pw","trapide",NA,"pierre_o"
167,"pw","lagne",NA,"pierre_o"
168,"pw","géont",NA,"pierre_o"
169,"pw","klapin",NA,"pierre_o"
170,"pw","pourte",NA,"pierre_o"
171,"pw","blacon",NA,"pierre_o"
172,"pw","hatiberai",NA,"pierre_o"
173,"pw","voclan","volk@","pierre_o"
174,"pw","pormis","promi","pierre_o"
175,"pw","anical",NA,"pierre_o"
176,"pw","spil","spli","pierre_o"
177,"pw","catron","kart§","pierre_o"
178,"pw","gruse",NA,"pierre_o"
179,"pw","matreau","marto","pierre_o"
180,"pw","corque","krok","pierre_o"
181,"pw","dummage",NA,"pierre_o"
182,"pw","éballon",NA,"pierre_o"
183,"pw","troche",NA,"pierre_o"
184,"pw","glabe",NA,"pierre_o"
185,"pw","batiller",NA,"pierre_o"
186,"pw","truche",NA,"pierre_o"
187,"pw","ovile",NA,"pierre_o"
188,"pw","proc",NA,"pierre_o"
189,"pw","scolle",NA,"pierre_o"
190,"pw","fotre","fort","pierre_o"
191,"pw","pulbic",NA,"pierre_o"
192,"pw","gaise","gEs","pierre_o"
193,"pw","reprati","reparti","pierre_o"
194,"pw","mantou",NA,"pierre_o"
195,"pw","quafilie",NA,"pierre_o"
196,"pw","socrier","skrorjEr","pierre_o"
197,"pw","moigre",NA,"pierre_o"
198,"pw","ibole",NA,"pierre_o"
199,"pw","virtail","vitraj","pierre_o"
200,"pw","miatre",NA,"pierre_o"
201,"pw","rabio",NA,"pierre_o"
