"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"sofiane_a"
163,"pw","flache",NA,"sofiane_a"
164,"pw","noveau",NA,"sofiane_a"
165,"pw","pocile",NA,"sofiane_a"
166,"pw","trapide",NA,"sofiane_a"
167,"pw","lagne",NA,"sofiane_a"
168,"pw","géont",NA,"sofiane_a"
169,"pw","klapin",NA,"sofiane_a"
170,"pw","pourte",NA,"sofiane_a"
171,"pw","blacon",NA,"sofiane_a"
172,"pw","hatiberai",NA,"sofiane_a"
173,"pw","voclan",NA,"sofiane_a"
174,"pw","pormis",NA,"sofiane_a"
175,"pw","anical",NA,"sofiane_a"
176,"pw","spil",NA,"sofiane_a"
177,"pw","catron",NA,"sofiane_a"
178,"pw","gruse","grys","sofiane_a"
179,"pw","matreau",NA,"sofiane_a"
180,"pw","corque",NA,"sofiane_a"
181,"pw","dummage",NA,"sofiane_a"
182,"pw","éballon",NA,"sofiane_a"
183,"pw","troche",NA,"sofiane_a"
184,"pw","glabe",NA,"sofiane_a"
185,"pw","batiller",NA,"sofiane_a"
186,"pw","truche",NA,"sofiane_a"
187,"pw","ovile",NA,"sofiane_a"
188,"pw","proc",NA,"sofiane_a"
189,"pw","scolle",NA,"sofiane_a"
190,"pw","fotre","frot","sofiane_a"
191,"pw","pulbic",NA,"sofiane_a"
192,"pw","gaise","gEs","sofiane_a"
193,"pw","reprati",NA,"sofiane_a"
194,"pw","mantou",NA,"sofiane_a"
195,"pw","quafilie",NA,"sofiane_a"
196,"pw","socrier",NA,"sofiane_a"
197,"pw","moigre",NA,"sofiane_a"
198,"pw","ibole",NA,"sofiane_a"
199,"pw","virtail",NA,"sofiane_a"
200,"pw","miatre",NA,"sofiane_a"
201,"pw","rabio",NA,"sofiane_a"
