"order","test_id","word","response","subj_id"
162,"pw","arbi",abri,"theo_r"
163,"pw","flache",NA,"theo_r"
164,"pw","noveau",NA,"theo_r"
165,"pw","pocile",polil,"theo_r"
166,"pw","trapide",NA,"theo_r"
167,"pw","lagne",NA,"theo_r"
168,"pw","géont",NA,"theo_r"
169,"pw","klapin",NA,"theo_r"
170,"pw","pourte",NA,"theo_r"
171,"pw","blacon",balk§,"theo_r"
172,"pw","hatiberai",NA,"theo_r"
173,"pw","voclan",volkl@,"theo_r"
174,"pw","pormis",NA,"theo_r"
175,"pw","anical",NA,"theo_r"
176,"pw","spil",NA,"theo_r"
177,"pw","catron",NA,"theo_r"
178,"pw","gruse",kryz,"theo_r"
179,"pw","matreau",martro,"theo_r"
180,"pw","corque",NA,"theo_r"
181,"pw","dummage",NA,"theo_r"
182,"pw","éballon",NA,"theo_r"
183,"pw","troche",torS,"theo_r"
184,"pw","glabe",NA,"theo_r"
185,"pw","batiller",NA,"theo_r"
186,"pw","truche",NA,"theo_r"
187,"pw","ovile",NA,"theo_r"
188,"pw","proc",por,"theo_r"
189,"pw","scolle",NA,"theo_r"
190,"pw","fotre",NA,"theo_r"
191,"pw","pulbic",pyblik,"theo_r"
192,"pw","gaise",NA,"theo_r"
193,"pw","reprati",r*patri,"theo_r"
194,"pw","mantou",NA,"theo_r"
195,"pw","quafilie",kalifi,"theo_r"
196,"pw","socrier",sorkri,"theo_r"
197,"pw","moigre",mw5gr*,"theo_r"
198,"pw","ibole",NA,"theo_r"
199,"pw","virtail",vartaj,"theo_r"
200,"pw","miatre",NA,"theo_r"
201,"pw","rabio",NA,"theo_r"
