"order","test_id","word","response","subj_id"
162,"pw","arbi",NA,"victor_z"
163,"pw","flache","vlaS","victor_z"
164,"pw","noveau",NA,"victor_z"
165,"pw","pocile",NA,"victor_z"
166,"pw","trapide",NA,"victor_z"
167,"pw","lagne",NA,"victor_z"
168,"pw","géont",NA,"victor_z"
169,"pw","klapin",NA,"victor_z"
170,"pw","pourte",NA,"victor_z"
171,"pw","blacon",NA,"victor_z"
172,"pw","hatiberai",NA,"victor_z"
173,"pw","voclan","volk@","victor_z"
174,"pw","pormis",NA,"victor_z"
175,"pw","anical",NA,"victor_z"
176,"pw","spil",NA,"victor_z"
177,"pw","catron",NA,"victor_z"
178,"pw","gruse",NA,"victor_z"
179,"pw","matreau",NA,"victor_z"
180,"pw","corque",NA,"victor_z"
181,"pw","dummage",NA,"victor_z"
182,"pw","éballon","ebalj§","victor_z"
183,"pw","troche",NA,"victor_z"
184,"pw","glabe",NA,"victor_z"
185,"pw","batiller",NA,"victor_z"
186,"pw","truche",NA,"victor_z"
187,"pw","ovile",NA,"victor_z"
188,"pw","proc",NA,"victor_z"
189,"pw","scolle","sol","victor_z"
190,"pw","fotre",NA,"victor_z"
191,"pw","pulbic",NA,"victor_z"
192,"pw","gaise","ZEz","victor_z"
193,"pw","reprati","r*pratri","victor_z"
194,"pw","mantou",NA,"victor_z"
195,"pw","quafilie",NA,"victor_z"
196,"pw","socrier",NA,"victor_z"
197,"pw","moigre",NA,"victor_z"
198,"pw","ibole",NA,"victor_z"
199,"pw","virtail",NA,"victor_z"
200,"pw","miatre",NA,"victor_z"
201,"pw","rabio",NA,"victor_z"
