"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"abdourrahmane_a"
2,"sw","onze",NA,"abdourrahmane_a"
3,"sw","grand",NA,"abdourrahmane_a"
4,"sw","race",NA,"abdourrahmane_a"
5,"sw","rose",NA,"abdourrahmane_a"
6,"sw","scie",NA,"abdourrahmane_a"
7,"sw","base",NA,"abdourrahmane_a"
8,"sw","orge","org","abdourrahmane_a"
9,"sw","enfer",NA,"abdourrahmane_a"
10,"sw","maire",NA,"abdourrahmane_a"
11,"sw","chacun",NA,"abdourrahmane_a"
12,"sw","signe",NA,"abdourrahmane_a"
13,"sw","brun","bryn","abdourrahmane_a"
14,"sw","congé","k§ge","abdourrahmane_a"
15,"sw","patient",NA,"abdourrahmane_a"
16,"sw","payé",NA,"abdourrahmane_a"
17,"sw","pantin",NA,"abdourrahmane_a"
18,"sw","compte",NA,"abdourrahmane_a"
19,"sw","cesse",NA,"abdourrahmane_a"
20,"sw","bille",NA,"abdourrahmane_a"
21,"sw","maîtresse",NA,"abdourrahmane_a"
22,"sw","piler","bile","abdourrahmane_a"
23,"sw","femme",NA,"abdourrahmane_a"
24,"sw","parfum",NA,"abdourrahmane_a"
25,"sw","doigt",NA,"abdourrahmane_a"
26,"sw","lapin",NA,"abdourrahmane_a"
27,"sw","linge","l5N","abdourrahmane_a"
28,"sw","coup",NA,"abdourrahmane_a"
29,"sw","vers",NA,"abdourrahmane_a"
30,"sw","volé",NA,"abdourrahmane_a"
31,"sw","mars",NA,"abdourrahmane_a"
32,"sw","frime",NA,"abdourrahmane_a"
33,"sw","monsieur",NA,"abdourrahmane_a"
34,"sw","jeunesse",NA,"abdourrahmane_a"
35,"sw","marcherions",NA,"abdourrahmane_a"
36,"sw","canton","kat§","abdourrahmane_a"
37,"sw","tentait",NA,"abdourrahmane_a"
38,"sw","cracher",NA,"abdourrahmane_a"
39,"sw","crique",NA,"abdourrahmane_a"
40,"sw","retrouverez",NA,"abdourrahmane_a"
41,"sw","suave",NA,"abdourrahmane_a"
42,"sw","près",NA,"abdourrahmane_a"
43,"sw","automne",NA,"abdourrahmane_a"
44,"sw","client",NA,"abdourrahmane_a"
45,"sw","soixante-dix",NA,"abdourrahmane_a"
46,"sw","sien",NA,"abdourrahmane_a"
47,"sw","rond",NA,"abdourrahmane_a"
48,"sw","deux",NA,"abdourrahmane_a"
49,"sw","pire",NA,"abdourrahmane_a"
50,"sw","sens",NA,"abdourrahmane_a"
51,"sw","rien",NA,"abdourrahmane_a"
52,"sw","gare",NA,"abdourrahmane_a"
53,"sw","chez",NA,"abdourrahmane_a"
54,"sw","directeur",NA,"abdourrahmane_a"
55,"sw","douzième",NA,"abdourrahmane_a"
56,"sw","slave",NA,"abdourrahmane_a"
57,"sw","pincera",NA,"abdourrahmane_a"
58,"sw","montagne",NA,"abdourrahmane_a"
59,"sw","igloo",NA,"abdourrahmane_a"
60,"sw","rogner",NA,"abdourrahmane_a"
61,"sw","fille",NA,"abdourrahmane_a"
62,"sw","morte",NA,"abdourrahmane_a"
63,"sw","paire",NA,"abdourrahmane_a"
64,"sw","varie",NA,"abdourrahmane_a"
65,"sw","cœur",NA,"abdourrahmane_a"
66,"sw","chandail","S@dEl","abdourrahmane_a"
67,"sw","magner",NA,"abdourrahmane_a"
68,"sw","mais",NA,"abdourrahmane_a"
69,"sw","ruse",NA,"abdourrahmane_a"
70,"sw","rasé",NA,"abdourrahmane_a"
71,"sw","album",NA,"abdourrahmane_a"
72,"sw","glisserai",NA,"abdourrahmane_a"
73,"sw","qui",NA,"abdourrahmane_a"
74,"sw","partons",NA,"abdourrahmane_a"
75,"sw","rebondirons",NA,"abdourrahmane_a"
76,"sw","librairie",NA,"abdourrahmane_a"
77,"sw","voilent",NA,"abdourrahmane_a"
78,"sw","roue",NA,"abdourrahmane_a"
79,"sw","case","kas","abdourrahmane_a"
80,"sw","prie",NA,"abdourrahmane_a"
81,"sw","mois",NA,"abdourrahmane_a"
82,"sw","dans",NA,"abdourrahmane_a"
83,"sw","coule",NA,"abdourrahmane_a"
84,"sw","poêle","pwEl","abdourrahmane_a"
85,"sw","saule",NA,"abdourrahmane_a"
