"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"adame_p"
2,"sw","onze",NA,"adame_p"
3,"sw","grand",NA,"adame_p"
4,"sw","race",NA,"adame_p"
5,"sw","rose",NA,"adame_p"
6,"sw","scie",NA,"adame_p"
7,"sw","base","bas","adame_p"
8,"sw","orge","org","adame_p"
9,"sw","enfer",NA,"adame_p"
10,"sw","maire",NA,"adame_p"
11,"sw","chacun",NA,"adame_p"
12,"sw","signe",NA,"adame_p"
13,"sw","brun",NA,"adame_p"
14,"sw","congé",NA,"adame_p"
15,"sw","patient",NA,"adame_p"
16,"sw","payé",NA,"adame_p"
17,"sw","pantin",NA,"adame_p"
18,"sw","compte",NA,"adame_p"
19,"sw","cesse",NA,"adame_p"
20,"sw","bille",NA,"adame_p"
21,"sw","maîtresse",NA,"adame_p"
22,"sw","piler","pilje","adame_p"
23,"sw","femme",NA,"adame_p"
24,"sw","parfum",NA,"adame_p"
25,"sw","doigt",NA,"adame_p"
26,"sw","lapin",NA,"adame_p"
27,"sw","linge",NA,"adame_p"
28,"sw","coup",NA,"adame_p"
29,"sw","vers",NA,"adame_p"
30,"sw","volé",NA,"adame_p"
31,"sw","mars",NA,"adame_p"
32,"sw","frime",NA,"adame_p"
33,"sw","monsieur",NA,"adame_p"
34,"sw","jeunesse",NA,"adame_p"
35,"sw","marcherions","maS*r§","adame_p"
36,"sw","canton","k§t§","adame_p"
37,"sw","tentait",NA,"adame_p"
38,"sw","cracher",NA,"adame_p"
39,"sw","crique",NA,"adame_p"
40,"sw","retrouverez",NA,"adame_p"
41,"sw","suave",NA,"adame_p"
42,"sw","près",NA,"adame_p"
43,"sw","automne",NA,"adame_p"
44,"sw","client",NA,"adame_p"
45,"sw","soixante-dix",NA,"adame_p"
46,"sw","sien","sj@","adame_p"
47,"sw","rond",NA,"adame_p"
48,"sw","deux",NA,"adame_p"
49,"sw","pire",NA,"adame_p"
50,"sw","sens",NA,"adame_p"
51,"sw","rien",NA,"adame_p"
