"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"aicha_d"
2,"sw","onze",NA,"aicha_d"
3,"sw","grand",NA,"aicha_d"
4,"sw","race",NA,"aicha_d"
5,"sw","rose",NA,"aicha_d"
6,"sw","scie",NA,"aicha_d"
7,"sw","base",NA,"aicha_d"
8,"sw","orge",NA,"aicha_d"
9,"sw","enfer",NA,"aicha_d"
10,"sw","maire",NA,"aicha_d"
11,"sw","chacun",NA,"aicha_d"
12,"sw","signe",NA,"aicha_d"
13,"sw","brun",NA,"aicha_d"
14,"sw","congé",NA,"aicha_d"
15,"sw","patient",NA,"aicha_d"
16,"sw","payé",NA,"aicha_d"
17,"sw","pantin",NA,"aicha_d"
18,"sw","compte",NA,"aicha_d"
19,"sw","cesse",NA,"aicha_d"
20,"sw","bille",NA,"aicha_d"
21,"sw","maîtresse",NA,"aicha_d"
22,"sw","piler",NA,"aicha_d"
23,"sw","femme",NA,"aicha_d"
24,"sw","parfum",NA,"aicha_d"
25,"sw","doigt",NA,"aicha_d"
26,"sw","lapin",NA,"aicha_d"
27,"sw","linge",NA,"aicha_d"
28,"sw","coup",NA,"aicha_d"
29,"sw","vers",NA,"aicha_d"
30,"sw","volé",NA,"aicha_d"
31,"sw","mars",NA,"aicha_d"
32,"sw","frime",NA,"aicha_d"
33,"sw","monsieur",NA,"aicha_d"
34,"sw","jeunesse",NA,"aicha_d"
35,"sw","marcherions",NA,"aicha_d"
36,"sw","canton",NA,"aicha_d"
37,"sw","tentait",NA,"aicha_d"
38,"sw","cracher",NA,"aicha_d"
39,"sw","crique",NA,"aicha_d"
40,"sw","retrouverez",NA,"aicha_d"
41,"sw","suave",NA,"aicha_d"
42,"sw","près",NA,"aicha_d"
43,"sw","automne",NA,"aicha_d"
44,"sw","client",NA,"aicha_d"
45,"sw","soixante-dix",NA,"aicha_d"
46,"sw","sien",NA,"aicha_d"
47,"sw","rond",NA,"aicha_d"
48,"sw","deux",NA,"aicha_d"
49,"sw","pire",NA,"aicha_d"
50,"sw","sens",NA,"aicha_d"
51,"sw","rien",NA,"aicha_d"
52,"sw","gare",NA,"aicha_d"
53,"sw","chez",NA,"aicha_d"
54,"sw","directeur",NA,"aicha_d"
55,"sw","douzième",NA,"aicha_d"
56,"sw","slave",NA,"aicha_d"
57,"sw","pincera",NA,"aicha_d"
58,"sw","montagne",NA,"aicha_d"
59,"sw","igloo",NA,"aicha_d"
60,"sw","rogner",NA,"aicha_d"
61,"sw","fille",NA,"aicha_d"
62,"sw","morte",NA,"aicha_d"
63,"sw","paire",NA,"aicha_d"
64,"sw","varie",NA,"aicha_d"
65,"sw","cœur",NA,"aicha_d"
66,"sw","chandail","S@dEl","aicha_d"
67,"sw","magner",NA,"aicha_d"
68,"sw","mais",NA,"aicha_d"
69,"sw","ruse",NA,"aicha_d"
70,"sw","rasé",NA,"aicha_d"
71,"sw","album",NA,"aicha_d"
72,"sw","glisserai",NA,"aicha_d"
73,"sw","qui",NA,"aicha_d"
74,"sw","partons",NA,"aicha_d"
75,"sw","rebondirons",NA,"aicha_d"
76,"sw","librairie",NA,"aicha_d"
77,"sw","voilent",NA,"aicha_d"
78,"sw","roue",NA,"aicha_d"
79,"sw","case",NA,"aicha_d"
80,"sw","prie",NA,"aicha_d"
81,"sw","mois",NA,"aicha_d"
82,"sw","dans",NA,"aicha_d"
83,"sw","coule",NA,"aicha_d"
84,"sw","poêle",NA,"aicha_d"
85,"sw","saule",NA,"aicha_d"
86,"sw","œil",NA,"aicha_d"
87,"sw","tant",NA,"aicha_d"
88,"sw","clamer",NA,"aicha_d"
89,"sw","pensant",NA,"aicha_d"
90,"sw","finie",NA,"aicha_d"
91,"sw","poison",NA,"aicha_d"
92,"sw","mairie",NA,"aicha_d"
93,"sw","boulangerie",NA,"aicha_d"
94,"sw","cousin",NA,"aicha_d"
95,"sw","boulette",NA,"aicha_d"
96,"sw","revolver",NA,"aicha_d"
97,"sw","grade",NA,"aicha_d"
98,"sw","gens",NA,"aicha_d"
99,"sw","porche",NA,"aicha_d"
100,"sw","encore",NA,"aicha_d"
101,"sw","les",NA,"aicha_d"
102,"sw","sept",NA,"aicha_d"
103,"sw","patrie",NA,"aicha_d"
104,"sw","présent",NA,"aicha_d"
105,"sw","six",NA,"aicha_d"
106,"sw","teint",NA,"aicha_d"
107,"sw","cirer",NA,"aicha_d"
108,"sw","trier",NA,"aicha_d"
109,"sw","asie",NA,"aicha_d"
110,"sw","cale",NA,"aicha_d"
111,"sw","pipe",NA,"aicha_d"
112,"sw","cinquante",NA,"aicha_d"
113,"sw","ose",NA,"aicha_d"
114,"sw","emmener",NA,"aicha_d"
115,"sw","écrire",NA,"aicha_d"
116,"sw","portrait",NA,"aicha_d"
117,"sw","ration",NA,"aicha_d"
118,"sw","savant",NA,"aicha_d"
119,"sw","écho",NA,"aicha_d"
120,"sw","aisance",NA,"aicha_d"
121,"sw","crie",NA,"aicha_d"
122,"sw","brise",NA,"aicha_d"
123,"sw","trois",NA,"aicha_d"
124,"sw","repartira",NA,"aicha_d"
125,"sw","bon",NA,"aicha_d"
126,"sw","ces",NA,"aicha_d"
127,"sw","ail",NA,"aicha_d"
128,"sw","délivrer",NA,"aicha_d"
129,"sw","édition",NA,"aicha_d"
130,"sw","larguer",NA,"aicha_d"
131,"sw","caillou",NA,"aicha_d"
132,"sw","pari",NA,"aicha_d"
133,"sw","raie",NA,"aicha_d"
134,"sw","loin",NA,"aicha_d"
135,"sw","pale",NA,"aicha_d"
136,"sw","poli",NA,"aicha_d"
137,"sw","bain",NA,"aicha_d"
138,"sw","lange",NA,"aicha_d"
139,"sw","gars",NA,"aicha_d"
140,"sw","long",NA,"aicha_d"
141,"sw","renifle",NA,"aicha_d"
142,"sw","chien",NA,"aicha_d"
143,"sw","criant",NA,"aicha_d"
144,"sw","agile",NA,"aicha_d"
145,"sw","lueur",NA,"aicha_d"
146,"sw","baiser",NA,"aicha_d"
147,"sw","galet",NA,"aicha_d"
148,"sw","placer",NA,"aicha_d"
149,"sw","fiable",NA,"aicha_d"
150,"sw","désert",NA,"aicha_d"
151,"sw","aspect",NA,"aicha_d"
152,"sw","étiole",NA,"aicha_d"
153,"sw","accident",NA,"aicha_d"
154,"sw","quatorze",NA,"aicha_d"
155,"sw","oignon",NA,"aicha_d"
156,"sw","trot",NA,"aicha_d"
157,"sw","pourquoi",NA,"aicha_d"
158,"sw","dix",NA,"aicha_d"
159,"sw","geler",NA,"aicha_d"
160,"sw","pelure",NA,"aicha_d"
161,"sw","calque",NA,"aicha_d"
