"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"amadou_c"
2,"sw","onze",NA,"amadou_c"
3,"sw","grand",NA,"amadou_c"
4,"sw","race",NA,"amadou_c"
5,"sw","rose",NA,"amadou_c"
6,"sw","scie",NA,"amadou_c"
7,"sw","base",NA,"amadou_c"
8,"sw","orge","org","amadou_c"
9,"sw","enfer",NA,"amadou_c"
10,"sw","maire",NA,"amadou_c"
11,"sw","chacun",NA,"amadou_c"
12,"sw","signe",NA,"amadou_c"
13,"sw","brun",NA,"amadou_c"
14,"sw","congé",NA,"amadou_c"
15,"sw","patient",NA,"amadou_c"
16,"sw","payé",NA,"amadou_c"
17,"sw","pantin",NA,"amadou_c"
18,"sw","compte",NA,"amadou_c"
19,"sw","cesse",NA,"amadou_c"
20,"sw","bille",NA,"amadou_c"
21,"sw","maîtresse",NA,"amadou_c"
22,"sw","piler",NA,"amadou_c"
23,"sw","femme",NA,"amadou_c"
24,"sw","parfum",NA,"amadou_c"
25,"sw","doigt",NA,"amadou_c"
26,"sw","lapin",NA,"amadou_c"
27,"sw","linge",NA,"amadou_c"
28,"sw","coup",NA,"amadou_c"
29,"sw","vers",NA,"amadou_c"
30,"sw","volé",NA,"amadou_c"
31,"sw","mars",NA,"amadou_c"
32,"sw","frime",NA,"amadou_c"
33,"sw","monsieur",NA,"amadou_c"
34,"sw","jeunesse",NA,"amadou_c"
35,"sw","marcherions",NA,"amadou_c"
36,"sw","canton",NA,"amadou_c"
37,"sw","tentait",NA,"amadou_c"
38,"sw","cracher",NA,"amadou_c"
39,"sw","crique",NA,"amadou_c"
40,"sw","retrouverez",NA,"amadou_c"
41,"sw","suave","suav","amadou_c"
42,"sw","près",NA,"amadou_c"
43,"sw","automne",NA,"amadou_c"
44,"sw","client",NA,"amadou_c"
45,"sw","soixante-dix",NA,"amadou_c"
46,"sw","sien",NA,"amadou_c"
47,"sw","rond",NA,"amadou_c"
48,"sw","deux",NA,"amadou_c"
49,"sw","pire",NA,"amadou_c"
50,"sw","sens",NA,"amadou_c"
51,"sw","rien",NA,"amadou_c"
52,"sw","gare",NA,"amadou_c"
53,"sw","chez",NA,"amadou_c"
54,"sw","directeur",NA,"amadou_c"
55,"sw","douzième",NA,"amadou_c"
56,"sw","slave",NA,"amadou_c"
57,"sw","pincera",NA,"amadou_c"
58,"sw","montagne",NA,"amadou_c"
59,"sw","igloo",NA,"amadou_c"
60,"sw","rogner",NA,"amadou_c"
61,"sw","fille",NA,"amadou_c"
62,"sw","morte",NA,"amadou_c"
63,"sw","paire",NA,"amadou_c"
64,"sw","varie",NA,"amadou_c"
65,"sw","cœur",NA,"amadou_c"
66,"sw","chandail",NA,"amadou_c"
67,"sw","magner",NA,"amadou_c"
68,"sw","mais",NA,"amadou_c"
69,"sw","ruse",NA,"amadou_c"
70,"sw","rasé",NA,"amadou_c"
71,"sw","album",NA,"amadou_c"
72,"sw","glisserai",NA,"amadou_c"
73,"sw","qui",NA,"amadou_c"
74,"sw","partons",NA,"amadou_c"
75,"sw","rebondirons",NA,"amadou_c"
76,"sw","librairie",NA,"amadou_c"
77,"sw","voilent",NA,"amadou_c"
78,"sw","roue",NA,"amadou_c"
79,"sw","case","kas","amadou_c"
80,"sw","prie",NA,"amadou_c"
81,"sw","mois",NA,"amadou_c"
82,"sw","dans",NA,"amadou_c"
83,"sw","coule",NA,"amadou_c"
84,"sw","poêle",NA,"amadou_c"
85,"sw","saule",NA,"amadou_c"
86,"sw","œil",NA,"amadou_c"
87,"sw","tant",NA,"amadou_c"
88,"sw","clamer",NA,"amadou_c"
89,"sw","pensant",NA,"amadou_c"
90,"sw","finie",NA,"amadou_c"
