"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"basem_d"
2,"sw","onze",NA,"basem_d"
3,"sw","grand",NA,"basem_d"
4,"sw","race",NA,"basem_d"
5,"sw","rose",NA,"basem_d"
6,"sw","scie",NA,"basem_d"
7,"sw","base",NA,"basem_d"
8,"sw","orge","org","basem_d"
9,"sw","enfer",NA,"basem_d"
10,"sw","maire",NA,"basem_d"
11,"sw","chacun",NA,"basem_d"
12,"sw","signe",NA,"basem_d"
13,"sw","brun","bryn","basem_d"
14,"sw","congé",NA,"basem_d"
15,"sw","patient",NA,"basem_d"
16,"sw","payé",NA,"basem_d"
17,"sw","pantin",NA,"basem_d"
18,"sw","compte",NA,"basem_d"
19,"sw","cesse",NA,"basem_d"
20,"sw","bille",NA,"basem_d"
21,"sw","maîtresse",NA,"basem_d"
22,"sw","piler",NA,"basem_d"
23,"sw","femme",NA,"basem_d"
24,"sw","parfum",NA,"basem_d"
25,"sw","doigt",NA,"basem_d"
26,"sw","lapin",NA,"basem_d"
27,"sw","linge",NA,"basem_d"
28,"sw","coup",NA,"basem_d"
29,"sw","vers",NA,"basem_d"
30,"sw","volé",NA,"basem_d"
31,"sw","mars",NA,"basem_d"
32,"sw","frime",NA,"basem_d"
33,"sw","monsieur",NA,"basem_d"
34,"sw","jeunesse",NA,"basem_d"
35,"sw","marcherions",NA,"basem_d"
36,"sw","canton",NA,"basem_d"
37,"sw","tentait",NA,"basem_d"
38,"sw","cracher",NA,"basem_d"
39,"sw","crique",NA,"basem_d"
40,"sw","retrouverez","r*truve","basem_d"
41,"sw","suave",NA,"basem_d"
42,"sw","près",NA,"basem_d"
43,"sw","automne",NA,"basem_d"
44,"sw","client",NA,"basem_d"
45,"sw","soixante-dix",NA,"basem_d"
46,"sw","sien",NA,"basem_d"
47,"sw","rond",NA,"basem_d"
48,"sw","deux",NA,"basem_d"
49,"sw","pire",NA,"basem_d"
50,"sw","sens",NA,"basem_d"
51,"sw","rien",NA,"basem_d"
52,"sw","gare",NA,"basem_d"
53,"sw","chez",NA,"basem_d"
54,"sw","directeur",NA,"basem_d"
55,"sw","douzième",NA,"basem_d"
56,"sw","slave",NA,"basem_d"
57,"sw","pincera",NA,"basem_d"
58,"sw","montagne",NA,"basem_d"
59,"sw","igloo",NA,"basem_d"
60,"sw","rogner",NA,"basem_d"
61,"sw","fille",NA,"basem_d"
62,"sw","morte",NA,"basem_d"
63,"sw","paire",NA,"basem_d"
64,"sw","varie",NA,"basem_d"
65,"sw","cœur",NA,"basem_d"
66,"sw","chandail",NA,"basem_d"
67,"sw","magner",NA,"basem_d"
68,"sw","mais",NA,"basem_d"
69,"sw","ruse",NA,"basem_d"
70,"sw","rasé",NA,"basem_d"
71,"sw","album",NA,"basem_d"
72,"sw","glisserai",NA,"basem_d"
73,"sw","qui",NA,"basem_d"
74,"sw","partons",NA,"basem_d"
75,"sw","rebondirons",NA,"basem_d"
76,"sw","librairie",NA,"basem_d"
77,"sw","voilent","vwal@","basem_d"
78,"sw","roue",NA,"basem_d"
79,"sw","case","kas","basem_d"
80,"sw","prie",NA,"basem_d"
81,"sw","mois",NA,"basem_d"
82,"sw","dans",NA,"basem_d"
83,"sw","coule",NA,"basem_d"
84,"sw","poêle",NA,"basem_d"
85,"sw","saule",NA,"basem_d"
86,"sw","œil",NA,"basem_d"
87,"sw","tant",NA,"basem_d"
88,"sw","clamer",NA,"basem_d"
89,"sw","pensant",NA,"basem_d"
90,"sw","finie",NA,"basem_d"
91,"sw","poison","pwas§","basem_d"
92,"sw","mairie",NA,"basem_d"
93,"sw","boulangerie",NA,"basem_d"
94,"sw","cousin","kus5","basem_d"
95,"sw","boulette",NA,"basem_d"
96,"sw","revolver",NA,"basem_d"
97,"sw","grade",NA,"basem_d"
98,"sw","gens",NA,"basem_d"
99,"sw","porche",NA,"basem_d"
100,"sw","encore",NA,"basem_d"
101,"sw","les",NA,"basem_d"
102,"sw","sept",NA,"basem_d"
103,"sw","patrie",NA,"basem_d"
104,"sw","présent",NA,"basem_d"
105,"sw","six",NA,"basem_d"
106,"sw","teint",NA,"basem_d"
107,"sw","cirer",NA,"basem_d"
108,"sw","trier",NA,"basem_d"
109,"sw","asie",NA,"basem_d"
110,"sw","cale",NA,"basem_d"
111,"sw","pipe",NA,"basem_d"
112,"sw","cinquante",NA,"basem_d"
113,"sw","ose","os","basem_d"
114,"sw","emmener",NA,"basem_d"
115,"sw","écrire",NA,"basem_d"
116,"sw","portrait",NA,"basem_d"
117,"sw","ration",NA,"basem_d"
118,"sw","savant",NA,"basem_d"
119,"sw","écho",NA,"basem_d"
120,"sw","aisance",NA,"basem_d"
121,"sw","crie",NA,"basem_d"
122,"sw","brise",NA,"basem_d"
123,"sw","trois",NA,"basem_d"
124,"sw","repartira",NA,"basem_d"
125,"sw","bon",NA,"basem_d"
126,"sw","ces",NA,"basem_d"
127,"sw","ail",NA,"basem_d"
128,"sw","délivrer",NA,"basem_d"
129,"sw","édition",NA,"basem_d"
130,"sw","larguer",NA,"basem_d"
131,"sw","caillou",NA,"basem_d"
132,"sw","pari",NA,"basem_d"
133,"sw","raie",NA,"basem_d"
134,"sw","loin",NA,"basem_d"
135,"sw","pale",NA,"basem_d"
136,"sw","poli",NA,"basem_d"
