"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"crystele_p"
2,"sw","onze",NA,"crystele_p"
3,"sw","grand",NA,"crystele_p"
4,"sw","race",NA,"crystele_p"
5,"sw","rose",NA,"crystele_p"
6,"sw","scie",NA,"crystele_p"
7,"sw","base","bas","crystele_p"
8,"sw","orge","org","crystele_p"
9,"sw","enfer",NA,"crystele_p"
10,"sw","maire",NA,"crystele_p"
11,"sw","chacun",NA,"crystele_p"
12,"sw","signe",NA,"crystele_p"
13,"sw","brun",NA,"crystele_p"
14,"sw","congé",NA,"crystele_p"
15,"sw","patient",NA,"crystele_p"
16,"sw","payé",NA,"crystele_p"
17,"sw","pantin","pat5","crystele_p"
18,"sw","compte",NA,"crystele_p"
19,"sw","cesse",NA,"crystele_p"
20,"sw","bille",NA,"crystele_p"
21,"sw","maîtresse",NA,"crystele_p"
22,"sw","piler","pije","crystele_p"
23,"sw","femme",NA,"crystele_p"
24,"sw","parfum",NA,"crystele_p"
25,"sw","doigt",NA,"crystele_p"
26,"sw","lapin",NA,"crystele_p"
27,"sw","linge",NA,"crystele_p"
28,"sw","coup",NA,"crystele_p"
29,"sw","vers",NA,"crystele_p"
30,"sw","volé",NA,"crystele_p"
31,"sw","mars",NA,"crystele_p"
32,"sw","frime",NA,"crystele_p"
33,"sw","monsieur",NA,"crystele_p"
34,"sw","jeunesse",NA,"crystele_p"
35,"sw","marcherions",NA,"crystele_p"
36,"sw","canton",NA,"crystele_p"
37,"sw","tentait",NA,"crystele_p"
38,"sw","cracher",NA,"crystele_p"
39,"sw","crique",NA,"crystele_p"
40,"sw","retrouverez",NA,"crystele_p"
41,"sw","suave","sayv","crystele_p"
42,"sw","près",NA,"crystele_p"
43,"sw","automne",NA,"crystele_p"
44,"sw","client",NA,"crystele_p"
45,"sw","soixante-dix",NA,"crystele_p"
46,"sw","sien",NA,"crystele_p"
47,"sw","rond",NA,"crystele_p"
48,"sw","deux",NA,"crystele_p"
49,"sw","pire",NA,"crystele_p"
50,"sw","sens",NA,"crystele_p"
51,"sw","rien",NA,"crystele_p"
52,"sw","gare",NA,"crystele_p"
53,"sw","chez",NA,"crystele_p"
54,"sw","directeur",NA,"crystele_p"
55,"sw","douzième",NA,"crystele_p"
56,"sw","slave",NA,"crystele_p"
57,"sw","pincera",NA,"crystele_p"
58,"sw","montagne",NA,"crystele_p"
59,"sw","igloo",NA,"crystele_p"
60,"sw","rogner",NA,"crystele_p"
61,"sw","fille",NA,"crystele_p"
62,"sw","morte",NA,"crystele_p"
63,"sw","paire",NA,"crystele_p"
64,"sw","varie",NA,"crystele_p"
65,"sw","cœur",NA,"crystele_p"
66,"sw","chandail","S@dEl","crystele_p"
67,"sw","magner",NA,"crystele_p"
68,"sw","mais",NA,"crystele_p"
69,"sw","ruse","rys","crystele_p"
70,"sw","rasé",NA,"crystele_p"
71,"sw","album",NA,"crystele_p"
72,"sw","glisserai",NA,"crystele_p"
73,"sw","qui",NA,"crystele_p"
74,"sw","partons",NA,"crystele_p"
75,"sw","rebondirons",NA,"crystele_p"
76,"sw","librairie",NA,"crystele_p"
77,"sw","voilent","viol@","crystele_p"
78,"sw","roue",NA,"crystele_p"
79,"sw","case","kas","crystele_p"
80,"sw","prie",NA,"crystele_p"
81,"sw","mois",NA,"crystele_p"
82,"sw","dans",NA,"crystele_p"
83,"sw","coule",NA,"crystele_p"
84,"sw","poêle",NA,"crystele_p"
85,"sw","saule",NA,"crystele_p"
86,"sw","œil",NA,"crystele_p"
87,"sw","tant",NA,"crystele_p"
88,"sw","clamer",NA,"crystele_p"
89,"sw","pensant",NA,"crystele_p"
90,"sw","finie",NA,"crystele_p"
91,"sw","poison","pwas§","crystele_p"
92,"sw","mairie",NA,"crystele_p"
93,"sw","boulangerie",NA,"crystele_p"
94,"sw","cousin",NA,"crystele_p"
95,"sw","boulette",NA,"crystele_p"
96,"sw","revolver","r*volve","crystele_p"
97,"sw","grade",NA,"crystele_p"
98,"sw","gens",NA,"crystele_p"
99,"sw","porche",NA,"crystele_p"
100,"sw","encore",NA,"crystele_p"
101,"sw","les",NA,"crystele_p"
102,"sw","sept",NA,"crystele_p"
103,"sw","patrie",NA,"crystele_p"
104,"sw","présent",NA,"crystele_p"
105,"sw","six",NA,"crystele_p"
106,"sw","teint",NA,"crystele_p"
107,"sw","cirer",NA,"crystele_p"
108,"sw","trier",NA,"crystele_p"
109,"sw","asie",NA,"crystele_p"
110,"sw","cale",NA,"crystele_p"
111,"sw","pipe",NA,"crystele_p"
112,"sw","cinquante",NA,"crystele_p"
113,"sw","ose",NA,"crystele_p"
114,"sw","emmener",NA,"crystele_p"
115,"sw","écrire",NA,"crystele_p"
116,"sw","portrait",NA,"crystele_p"
117,"sw","ration",NA,"crystele_p"
118,"sw","savant",NA,"crystele_p"
119,"sw","écho",NA,"crystele_p"
120,"sw","aisance","Es@s","crystele_p"
121,"sw","crie",NA,"crystele_p"
122,"sw","brise",NA,"crystele_p"
123,"sw","trois",NA,"crystele_p"
124,"sw","repartira",NA,"crystele_p"
125,"sw","bon",NA,"crystele_p"
126,"sw","ces",NA,"crystele_p"
127,"sw","ail","El","crystele_p"
128,"sw","délivrer",NA,"crystele_p"
129,"sw","édition",NA,"crystele_p"
130,"sw","larguer",NA,"crystele_p"
131,"sw","caillou",NA,"crystele_p"
132,"sw","pari",NA,"crystele_p"
133,"sw","raie",NA,"crystele_p"
134,"sw","loin",NA,"crystele_p"
135,"sw","pale",NA,"crystele_p"
136,"sw","poli",NA,"crystele_p"
137,"sw","bain",NA,"crystele_p"
138,"sw","lange",NA,"crystele_p"
139,"sw","gars",NA,"crystele_p"
140,"sw","long",NA,"crystele_p"
141,"sw","renifle",NA,"crystele_p"
142,"sw","chien",NA,"crystele_p"
143,"sw","criant",NA,"crystele_p"
144,"sw","agile",NA,"crystele_p"
145,"sw","lueur",NA,"crystele_p"
146,"sw","baiser","bese","crystele_p"
147,"sw","galet",NA,"crystele_p"
148,"sw","placer",NA,"crystele_p"
149,"sw","fiable",NA,"crystele_p"
150,"sw","désert",NA,"crystele_p"
151,"sw","aspect","aspEkt","crystele_p"
152,"sw","étiole",NA,"crystele_p"
153,"sw","accident",NA,"crystele_p"
154,"sw","quatorze",NA,"crystele_p"
155,"sw","oignon",NA,"crystele_p"
156,"sw","trot","trot","crystele_p"
157,"sw","pourquoi",NA,"crystele_p"
158,"sw","dix",NA,"crystele_p"
159,"sw","geler",NA,"crystele_p"
160,"sw","pelure",NA,"crystele_p"
161,"sw","calque","klak","crystele_p"
