"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"divine_n"
2,"sw","onze",NA,"divine_n"
3,"sw","grand",NA,"divine_n"
4,"sw","race",NA,"divine_n"
5,"sw","rose",NA,"divine_n"
6,"sw","scie",NA,"divine_n"
7,"sw","base",NA,"divine_n"
8,"sw","orge",NA,"divine_n"
9,"sw","enfer",NA,"divine_n"
10,"sw","maire","mEgr","divine_n"
11,"sw","chacun",NA,"divine_n"
12,"sw","signe",NA,"divine_n"
13,"sw","brun",NA,"divine_n"
14,"sw","congé",NA,"divine_n"
15,"sw","patient",NA,"divine_n"
16,"sw","payé",NA,"divine_n"
17,"sw","pantin",NA,"divine_n"
18,"sw","compte",NA,"divine_n"
19,"sw","cesse",NA,"divine_n"
20,"sw","bille",NA,"divine_n"
21,"sw","maîtresse",NA,"divine_n"
22,"sw","piler",NA,"divine_n"
23,"sw","femme",NA,"divine_n"
24,"sw","parfum",NA,"divine_n"
25,"sw","doigt",NA,"divine_n"
26,"sw","lapin",NA,"divine_n"
27,"sw","linge","liN","divine_n"
28,"sw","coup",NA,"divine_n"
29,"sw","vers",NA,"divine_n"
30,"sw","volé",NA,"divine_n"
31,"sw","mars",NA,"divine_n"
32,"sw","frime",NA,"divine_n"
33,"sw","monsieur",NA,"divine_n"
34,"sw","jeunesse",NA,"divine_n"
35,"sw","marcherions",NA,"divine_n"
36,"sw","canton","kart§","divine_n"
37,"sw","tentait",NA,"divine_n"
38,"sw","cracher",NA,"divine_n"
39,"sw","crique",NA,"divine_n"
40,"sw","retrouverez",NA,"divine_n"
41,"sw","suave",NA,"divine_n"
42,"sw","près",NA,"divine_n"
43,"sw","automne","otonom","divine_n"
44,"sw","client",NA,"divine_n"
45,"sw","soixante-dix",NA,"divine_n"
46,"sw","sien",NA,"divine_n"
47,"sw","rond",NA,"divine_n"
48,"sw","deux",NA,"divine_n"
49,"sw","pire",NA,"divine_n"
50,"sw","sens",NA,"divine_n"
51,"sw","rien",NA,"divine_n"
52,"sw","gare",NA,"divine_n"
53,"sw","chez",NA,"divine_n"
54,"sw","directeur",NA,"divine_n"
55,"sw","douzième",NA,"divine_n"
56,"sw","slave",NA,"divine_n"
57,"sw","pincera",NA,"divine_n"
58,"sw","montagne",NA,"divine_n"
59,"sw","igloo",NA,"divine_n"
60,"sw","rogner",NA,"divine_n"
61,"sw","fille",NA,"divine_n"
62,"sw","morte",NA,"divine_n"
63,"sw","paire",NA,"divine_n"
64,"sw","varie",NA,"divine_n"
65,"sw","cœur",NA,"divine_n"
66,"sw","chandail",NA,"divine_n"
67,"sw","magner",NA,"divine_n"
68,"sw","mais",NA,"divine_n"
69,"sw","ruse",NA,"divine_n"
70,"sw","rasé",NA,"divine_n"
71,"sw","album",NA,"divine_n"
72,"sw","glisserai",NA,"divine_n"
73,"sw","qui",NA,"divine_n"
74,"sw","partons",NA,"divine_n"
75,"sw","rebondirons",NA,"divine_n"
76,"sw","librairie",NA,"divine_n"
77,"sw","voilent","vol","divine_n"
78,"sw","roue",NA,"divine_n"
79,"sw","case","kas","divine_n"
80,"sw","prie",NA,"divine_n"
81,"sw","mois",NA,"divine_n"
82,"sw","dans",NA,"divine_n"
83,"sw","coule",NA,"divine_n"
84,"sw","poêle","poEl","divine_n"
85,"sw","saule",NA,"divine_n"
86,"sw","œil",NA,"divine_n"
87,"sw","tant",NA,"divine_n"
88,"sw","clamer",NA,"divine_n"
89,"sw","pensant",NA,"divine_n"
90,"sw","finie",NA,"divine_n"
91,"sw","poison","pwas§","divine_n"
92,"sw","mairie",NA,"divine_n"
93,"sw","boulangerie",NA,"divine_n"
94,"sw","cousin",NA,"divine_n"
95,"sw","boulette",NA,"divine_n"
96,"sw","revolver","r*volve","divine_n"
97,"sw","grade",NA,"divine_n"
98,"sw","gens",NA,"divine_n"
99,"sw","porche",NA,"divine_n"
100,"sw","encore",NA,"divine_n"
101,"sw","les",NA,"divine_n"
102,"sw","sept",NA,"divine_n"
103,"sw","patrie","parti","divine_n"
104,"sw","présent",NA,"divine_n"
105,"sw","six",NA,"divine_n"
106,"sw","teint",NA,"divine_n"
107,"sw","cirer",NA,"divine_n"
108,"sw","trier","tire","divine_n"
109,"sw","asie","asi","divine_n"
110,"sw","cale",NA,"divine_n"
111,"sw","pipe",NA,"divine_n"
112,"sw","cinquante",NA,"divine_n"
113,"sw","ose",NA,"divine_n"
114,"sw","emmener",NA,"divine_n"
115,"sw","écrire","krie","divine_n"
116,"sw","portrait",NA,"divine_n"
117,"sw","ration",NA,"divine_n"
118,"sw","savant","saj@","divine_n"
119,"sw","écho","eSo","divine_n"
120,"sw","aisance","es@s","divine_n"
121,"sw","crie",NA,"divine_n"
122,"sw","brise",NA,"divine_n"
123,"sw","trois",NA,"divine_n"
124,"sw","repartira",NA,"divine_n"
125,"sw","bon",NA,"divine_n"
126,"sw","ces",NA,"divine_n"
127,"sw","ail",NA,"divine_n"
128,"sw","délivrer",NA,"divine_n"
129,"sw","édition",NA,"divine_n"
130,"sw","larguer",NA,"divine_n"
