"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"elinathan_mk"
2,"sw","onze",NA,"elinathan_mk"
3,"sw","grand",NA,"elinathan_mk"
4,"sw","race",NA,"elinathan_mk"
5,"sw","rose",NA,"elinathan_mk"
6,"sw","scie",NA,"elinathan_mk"
7,"sw","base",NA,"elinathan_mk"
8,"sw","orge","or","elinathan_mk"
9,"sw","enfer",NA,"elinathan_mk"
10,"sw","maire",NA,"elinathan_mk"
11,"sw","chacun",NA,"elinathan_mk"
12,"sw","signe",NA,"elinathan_mk"
13,"sw","brun",NA,"elinathan_mk"
14,"sw","congé",NA,"elinathan_mk"
15,"sw","patient",NA,"elinathan_mk"
16,"sw","payé",NA,"elinathan_mk"
17,"sw","pantin",NA,"elinathan_mk"
18,"sw","compte",NA,"elinathan_mk"
19,"sw","cesse",NA,"elinathan_mk"
20,"sw","bille",NA,"elinathan_mk"
21,"sw","maîtresse",NA,"elinathan_mk"
22,"sw","piler",NA,"elinathan_mk"
23,"sw","femme",NA,"elinathan_mk"
24,"sw","parfum",NA,"elinathan_mk"
25,"sw","doigt",NA,"elinathan_mk"
26,"sw","lapin",NA,"elinathan_mk"
27,"sw","linge","liN","elinathan_mk"
28,"sw","coup",NA,"elinathan_mk"
29,"sw","vers",NA,"elinathan_mk"
30,"sw","volé",NA,"elinathan_mk"
31,"sw","mars",NA,"elinathan_mk"
32,"sw","frime",NA,"elinathan_mk"
33,"sw","monsieur",NA,"elinathan_mk"
34,"sw","jeunesse",NA,"elinathan_mk"
35,"sw","marcherions",NA,"elinathan_mk"
36,"sw","canton","kat§","elinathan_mk"
37,"sw","tentait",NA,"elinathan_mk"
38,"sw","cracher",NA,"elinathan_mk"
39,"sw","crique",NA,"elinathan_mk"
40,"sw","retrouverez",NA,"elinathan_mk"
41,"sw","suave",NA,"elinathan_mk"
42,"sw","près",NA,"elinathan_mk"
43,"sw","automne",NA,"elinathan_mk"
44,"sw","client",NA,"elinathan_mk"
45,"sw","soixante-dix",NA,"elinathan_mk"
46,"sw","sien","s5","elinathan_mk"
47,"sw","rond",NA,"elinathan_mk"
48,"sw","deux",NA,"elinathan_mk"
49,"sw","pire",NA,"elinathan_mk"
50,"sw","sens",NA,"elinathan_mk"
51,"sw","rien",NA,"elinathan_mk"
52,"sw","gare",NA,"elinathan_mk"
53,"sw","chez",NA,"elinathan_mk"
54,"sw","directeur",NA,"elinathan_mk"
55,"sw","douzième",NA,"elinathan_mk"
56,"sw","slave",NA,"elinathan_mk"
57,"sw","pincera",NA,"elinathan_mk"
58,"sw","montagne",NA,"elinathan_mk"
59,"sw","igloo",NA,"elinathan_mk"
60,"sw","rogner","r§Ze","elinathan_mk"
61,"sw","fille",NA,"elinathan_mk"
62,"sw","morte",NA,"elinathan_mk"
63,"sw","paire",NA,"elinathan_mk"
64,"sw","varie",NA,"elinathan_mk"
65,"sw","cœur",NA,"elinathan_mk"
66,"sw","chandail","S@dEl","elinathan_mk"
67,"sw","magner",NA,"elinathan_mk"
68,"sw","mais",NA,"elinathan_mk"
69,"sw","ruse",NA,"elinathan_mk"
70,"sw","rasé",NA,"elinathan_mk"
71,"sw","album",NA,"elinathan_mk"
72,"sw","glisserai",NA,"elinathan_mk"
73,"sw","qui",NA,"elinathan_mk"
74,"sw","partons",NA,"elinathan_mk"
75,"sw","rebondirons",NA,"elinathan_mk"
76,"sw","librairie",NA,"elinathan_mk"
77,"sw","voilent","vwaj","elinathan_mk"
78,"sw","roue",NA,"elinathan_mk"
79,"sw","case","kas","elinathan_mk"
80,"sw","prie",NA,"elinathan_mk"
81,"sw","mois",NA,"elinathan_mk"
82,"sw","dans",NA,"elinathan_mk"
83,"sw","coule",NA,"elinathan_mk"
84,"sw","poêle","poEl","elinathan_mk"
85,"sw","saule",NA,"elinathan_mk"
86,"sw","œil",NA,"elinathan_mk"
87,"sw","tant",NA,"elinathan_mk"
88,"sw","clamer",NA,"elinathan_mk"
89,"sw","pensant",NA,"elinathan_mk"
90,"sw","finie",NA,"elinathan_mk"
91,"sw","poison","pwas§","elinathan_mk"
92,"sw","mairie",NA,"elinathan_mk"
93,"sw","boulangerie",NA,"elinathan_mk"
94,"sw","cousin",NA,"elinathan_mk"
95,"sw","boulette",NA,"elinathan_mk"
96,"sw","revolver",NA,"elinathan_mk"
97,"sw","grade","gard","elinathan_mk"
98,"sw","gens",NA,"elinathan_mk"
99,"sw","porche",NA,"elinathan_mk"
100,"sw","encore",NA,"elinathan_mk"
101,"sw","les",NA,"elinathan_mk"
102,"sw","sept",NA,"elinathan_mk"
103,"sw","patrie",NA,"elinathan_mk"
104,"sw","présent",NA,"elinathan_mk"
105,"sw","six",NA,"elinathan_mk"
106,"sw","teint",NA,"elinathan_mk"
107,"sw","cirer",NA,"elinathan_mk"
108,"sw","trier",NA,"elinathan_mk"
109,"sw","asie",NA,"elinathan_mk"
110,"sw","cale",NA,"elinathan_mk"
111,"sw","pipe",NA,"elinathan_mk"
112,"sw","cinquante",NA,"elinathan_mk"
113,"sw","ose",NA,"elinathan_mk"
114,"sw","emmener",NA,"elinathan_mk"
115,"sw","écrire",NA,"elinathan_mk"
116,"sw","portrait",NA,"elinathan_mk"
117,"sw","ration",NA,"elinathan_mk"
