"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"elisei-daniel_j"
2,"sw","onze",NA,"elisei-daniel_j"
3,"sw","grand",NA,"elisei-daniel_j"
4,"sw","race",NA,"elisei-daniel_j"
5,"sw","rose",NA,"elisei-daniel_j"
6,"sw","scie",NA,"elisei-daniel_j"
7,"sw","base",NA,"elisei-daniel_j"
8,"sw","orge","org","elisei-daniel_j"
9,"sw","enfer",NA,"elisei-daniel_j"
10,"sw","maire",NA,"elisei-daniel_j"
11,"sw","chacun",NA,"elisei-daniel_j"
12,"sw","signe",NA,"elisei-daniel_j"
13,"sw","brun","bryn","elisei-daniel_j"
14,"sw","congé",NA,"elisei-daniel_j"
15,"sw","patient",NA,"elisei-daniel_j"
16,"sw","payé",NA,"elisei-daniel_j"
17,"sw","pantin",NA,"elisei-daniel_j"
18,"sw","compte",NA,"elisei-daniel_j"
19,"sw","cesse",NA,"elisei-daniel_j"
20,"sw","bille",NA,"elisei-daniel_j"
21,"sw","maîtresse",NA,"elisei-daniel_j"
22,"sw","piler",NA,"elisei-daniel_j"
23,"sw","femme",NA,"elisei-daniel_j"
24,"sw","parfum","parfym","elisei-daniel_j"
25,"sw","doigt",NA,"elisei-daniel_j"
26,"sw","lapin",NA,"elisei-daniel_j"
27,"sw","linge",NA,"elisei-daniel_j"
28,"sw","coup",NA,"elisei-daniel_j"
29,"sw","vers",NA,"elisei-daniel_j"
30,"sw","volé",NA,"elisei-daniel_j"
31,"sw","mars",NA,"elisei-daniel_j"
32,"sw","frime",NA,"elisei-daniel_j"
33,"sw","monsieur",NA,"elisei-daniel_j"
34,"sw","jeunesse",NA,"elisei-daniel_j"
35,"sw","marcherions",NA,"elisei-daniel_j"
36,"sw","canton",NA,"elisei-daniel_j"
37,"sw","tentait",NA,"elisei-daniel_j"
38,"sw","cracher",NA,"elisei-daniel_j"
39,"sw","crique",NA,"elisei-daniel_j"
40,"sw","retrouverez",NA,"elisei-daniel_j"
41,"sw","suave",NA,"elisei-daniel_j"
42,"sw","près",NA,"elisei-daniel_j"
43,"sw","automne",NA,"elisei-daniel_j"
44,"sw","client",NA,"elisei-daniel_j"
45,"sw","soixante-dix",NA,"elisei-daniel_j"
46,"sw","sien",NA,"elisei-daniel_j"
47,"sw","rond",NA,"elisei-daniel_j"
48,"sw","deux",NA,"elisei-daniel_j"
49,"sw","pire",NA,"elisei-daniel_j"
