"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"elyas_m"
2,"sw","onze",NA,"elyas_m"
3,"sw","grand",NA,"elyas_m"
4,"sw","race",NA,"elyas_m"
5,"sw","rose",NA,"elyas_m"
6,"sw","scie",NA,"elyas_m"
7,"sw","base",NA,"elyas_m"
8,"sw","orge",NA,"elyas_m"
9,"sw","enfer",NA,"elyas_m"
10,"sw","maire",NA,"elyas_m"
11,"sw","chacun",NA,"elyas_m"
12,"sw","signe",NA,"elyas_m"
13,"sw","brun",NA,"elyas_m"
14,"sw","congé",NA,"elyas_m"
15,"sw","patient",NA,"elyas_m"
16,"sw","payé",NA,"elyas_m"
17,"sw","pantin",NA,"elyas_m"
18,"sw","compte",NA,"elyas_m"
19,"sw","cesse",NA,"elyas_m"
20,"sw","bille",NA,"elyas_m"
21,"sw","maîtresse",NA,"elyas_m"
22,"sw","piler",NA,"elyas_m"
23,"sw","femme",NA,"elyas_m"
24,"sw","parfum",NA,"elyas_m"
25,"sw","doigt",NA,"elyas_m"
26,"sw","lapin",NA,"elyas_m"
27,"sw","linge",NA,"elyas_m"
28,"sw","coup",NA,"elyas_m"
29,"sw","vers",NA,"elyas_m"
30,"sw","volé",NA,"elyas_m"
31,"sw","mars",NA,"elyas_m"
32,"sw","frime",NA,"elyas_m"
33,"sw","monsieur",NA,"elyas_m"
34,"sw","jeunesse",NA,"elyas_m"
35,"sw","marcherions",NA,"elyas_m"
36,"sw","canton",NA,"elyas_m"
37,"sw","tentait",NA,"elyas_m"
38,"sw","cracher",NA,"elyas_m"
39,"sw","crique",NA,"elyas_m"
40,"sw","retrouverez",NA,"elyas_m"
41,"sw","suave",NA,"elyas_m"
42,"sw","près",NA,"elyas_m"
43,"sw","automne",NA,"elyas_m"
44,"sw","client",NA,"elyas_m"
45,"sw","soixante-dix",NA,"elyas_m"
46,"sw","sien",NA,"elyas_m"
47,"sw","rond",NA,"elyas_m"
48,"sw","deux",NA,"elyas_m"
49,"sw","pire",NA,"elyas_m"
50,"sw","sens",NA,"elyas_m"
51,"sw","rien",NA,"elyas_m"
52,"sw","gare",NA,"elyas_m"
53,"sw","chez",NA,"elyas_m"
54,"sw","directeur",NA,"elyas_m"
55,"sw","douzième",NA,"elyas_m"
56,"sw","slave",NA,"elyas_m"
57,"sw","pincera",NA,"elyas_m"
58,"sw","montagne",NA,"elyas_m"
59,"sw","igloo",NA,"elyas_m"
60,"sw","rogner",NA,"elyas_m"
61,"sw","fille",NA,"elyas_m"
62,"sw","morte",NA,"elyas_m"
63,"sw","paire",NA,"elyas_m"
64,"sw","varie",NA,"elyas_m"
65,"sw","cœur",NA,"elyas_m"
66,"sw","chandail",NA,"elyas_m"
67,"sw","magner",NA,"elyas_m"
68,"sw","mais",NA,"elyas_m"
69,"sw","ruse",NA,"elyas_m"
70,"sw","rasé",NA,"elyas_m"
71,"sw","album",NA,"elyas_m"
72,"sw","glisserai",NA,"elyas_m"
73,"sw","qui",NA,"elyas_m"
74,"sw","partons",NA,"elyas_m"
75,"sw","rebondirons",NA,"elyas_m"
76,"sw","librairie",NA,"elyas_m"
77,"sw","voilent",NA,"elyas_m"
78,"sw","roue",NA,"elyas_m"
79,"sw","case",NA,"elyas_m"
80,"sw","prie",NA,"elyas_m"
81,"sw","mois",NA,"elyas_m"
82,"sw","dans",NA,"elyas_m"
83,"sw","coule",NA,"elyas_m"
84,"sw","poêle",NA,"elyas_m"
85,"sw","saule",NA,"elyas_m"
86,"sw","œil",NA,"elyas_m"
87,"sw","tant",NA,"elyas_m"
88,"sw","clamer",NA,"elyas_m"
89,"sw","pensant",NA,"elyas_m"
90,"sw","finie",NA,"elyas_m"
91,"sw","poison",NA,"elyas_m"
92,"sw","mairie",NA,"elyas_m"
93,"sw","boulangerie",NA,"elyas_m"
94,"sw","cousin",NA,"elyas_m"
95,"sw","boulette",NA,"elyas_m"
96,"sw","revolver",NA,"elyas_m"
97,"sw","grade",NA,"elyas_m"
98,"sw","gens",NA,"elyas_m"
99,"sw","porche",NA,"elyas_m"
100,"sw","encore",NA,"elyas_m"
101,"sw","les",NA,"elyas_m"
102,"sw","sept",NA,"elyas_m"
103,"sw","patrie",NA,"elyas_m"
104,"sw","présent",NA,"elyas_m"
105,"sw","six",NA,"elyas_m"
106,"sw","teint",NA,"elyas_m"
107,"sw","cirer",NA,"elyas_m"
108,"sw","trier",NA,"elyas_m"
109,"sw","asie",NA,"elyas_m"
110,"sw","cale",NA,"elyas_m"
111,"sw","pipe",NA,"elyas_m"
112,"sw","cinquante",NA,"elyas_m"
113,"sw","ose",NA,"elyas_m"
114,"sw","emmener",NA,"elyas_m"
115,"sw","écrire",NA,"elyas_m"
116,"sw","portrait",NA,"elyas_m"
117,"sw","ration",NA,"elyas_m"
118,"sw","savant",NA,"elyas_m"
119,"sw","écho",NA,"elyas_m"
120,"sw","aisance",NA,"elyas_m"
121,"sw","crie",NA,"elyas_m"
122,"sw","brise",NA,"elyas_m"
123,"sw","trois",NA,"elyas_m"
124,"sw","repartira",NA,"elyas_m"
125,"sw","bon",NA,"elyas_m"
