"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"fatou_m"
2,"sw","onze",NA,"fatou_m"
3,"sw","grand",NA,"fatou_m"
4,"sw","race",NA,"fatou_m"
5,"sw","rose",NA,"fatou_m"
6,"sw","scie",NA,"fatou_m"
7,"sw","base","bas","fatou_m"
8,"sw","orge",NA,"fatou_m"
9,"sw","enfer",NA,"fatou_m"
10,"sw","maire",NA,"fatou_m"
11,"sw","chacun",NA,"fatou_m"
12,"sw","signe",NA,"fatou_m"
13,"sw","brun",NA,"fatou_m"
14,"sw","congé",NA,"fatou_m"
15,"sw","patient","pat@","fatou_m"
16,"sw","payé",NA,"fatou_m"
17,"sw","pantin","patin","fatou_m"
18,"sw","compte",NA,"fatou_m"
19,"sw","cesse",NA,"fatou_m"
20,"sw","bille",NA,"fatou_m"
21,"sw","maîtresse",NA,"fatou_m"
22,"sw","piler",NA,"fatou_m"
23,"sw","femme",NA,"fatou_m"
24,"sw","parfum",NA,"fatou_m"
25,"sw","doigt",NA,"fatou_m"
26,"sw","lapin",NA,"fatou_m"
27,"sw","linge","liN","fatou_m"
28,"sw","coup",NA,"fatou_m"
29,"sw","vers",NA,"fatou_m"
30,"sw","volé",NA,"fatou_m"
31,"sw","mars",NA,"fatou_m"
32,"sw","frime",NA,"fatou_m"
33,"sw","monsieur",NA,"fatou_m"
34,"sw","jeunesse",NA,"fatou_m"
35,"sw","marcherions","marS*r§","fatou_m"
36,"sw","canton","kat§","fatou_m"
37,"sw","tentait",NA,"fatou_m"
38,"sw","cracher",NA,"fatou_m"
39,"sw","crique","sirk","fatou_m"
40,"sw","retrouverez","r*truve","fatou_m"
41,"sw","suave","sav","fatou_m"
42,"sw","près",NA,"fatou_m"
43,"sw","automne",NA,"fatou_m"
44,"sw","client",NA,"fatou_m"
45,"sw","soixante-dix",NA,"fatou_m"
46,"sw","sien",NA,"fatou_m"
47,"sw","rond",NA,"fatou_m"
48,"sw","deux",NA,"fatou_m"
49,"sw","pire",NA,"fatou_m"
50,"sw","sens",NA,"fatou_m"
51,"sw","rien",NA,"fatou_m"
52,"sw","gare",NA,"fatou_m"
53,"sw","chez",NA,"fatou_m"
54,"sw","directeur",NA,"fatou_m"
55,"sw","douzième","d*zjEm","fatou_m"
56,"sw","slave",NA,"fatou_m"
57,"sw","pincera",NA,"fatou_m"
58,"sw","montagne",NA,"fatou_m"
59,"sw","igloo",NA,"fatou_m"
60,"sw","rogner","r§Ne","fatou_m"
61,"sw","fille",NA,"fatou_m"
62,"sw","morte",NA,"fatou_m"
63,"sw","paire",NA,"fatou_m"
64,"sw","varie",NA,"fatou_m"
65,"sw","cœur",NA,"fatou_m"
66,"sw","chandail","S@dEl","fatou_m"
67,"sw","magner",NA,"fatou_m"
68,"sw","mais",NA,"fatou_m"
69,"sw","ruse","ryze","fatou_m"
70,"sw","rasé",NA,"fatou_m"
71,"sw","album",NA,"fatou_m"
72,"sw","glisserai",NA,"fatou_m"
73,"sw","qui",NA,"fatou_m"
74,"sw","partons",NA,"fatou_m"
75,"sw","rebondirons",NA,"fatou_m"
76,"sw","librairie",NA,"fatou_m"
77,"sw","voilent","vwal@","fatou_m"
78,"sw","roue",NA,"fatou_m"
79,"sw","case","kas","fatou_m"
80,"sw","prie",NA,"fatou_m"
81,"sw","mois",NA,"fatou_m"
82,"sw","dans",NA,"fatou_m"
83,"sw","coule",NA,"fatou_m"
84,"sw","poêle",NA,"fatou_m"
85,"sw","saule","s*l","fatou_m"
86,"sw","œil",NA,"fatou_m"
87,"sw","tant",NA,"fatou_m"
88,"sw","clamer","kalme","fatou_m"
89,"sw","pensant",NA,"fatou_m"
90,"sw","finie",NA,"fatou_m"
91,"sw","poison","bwas§","fatou_m"
92,"sw","mairie",NA,"fatou_m"
93,"sw","boulangerie",NA,"fatou_m"
94,"sw","cousin",NA,"fatou_m"
95,"sw","boulette",NA,"fatou_m"
96,"sw","revolver","r*vole","fatou_m"
97,"sw","grade","gard","fatou_m"
98,"sw","gens",NA,"fatou_m"
99,"sw","porche",NA,"fatou_m"
100,"sw","encore",NA,"fatou_m"
101,"sw","les",NA,"fatou_m"
102,"sw","sept",NA,"fatou_m"
103,"sw","patrie",NA,"fatou_m"
104,"sw","présent",NA,"fatou_m"
105,"sw","six",NA,"fatou_m"
106,"sw","teint","tj5","fatou_m"
107,"sw","cirer","krije","fatou_m"
108,"sw","trier",NA,"fatou_m"
109,"sw","asie","asi","fatou_m"
110,"sw","cale",NA,"fatou_m"
111,"sw","pipe",NA,"fatou_m"
112,"sw","cinquante",NA,"fatou_m"
113,"sw","ose","os","fatou_m"
114,"sw","emmener",NA,"fatou_m"
115,"sw","écrire",NA,"fatou_m"
116,"sw","portrait",NA,"fatou_m"
117,"sw","ration",NA,"fatou_m"
118,"sw","savant",NA,"fatou_m"
119,"sw","écho",NA,"fatou_m"
120,"sw","aisance",NA,"fatou_m"
121,"sw","crie",NA,"fatou_m"
122,"sw","brise","priz","fatou_m"
123,"sw","trois",NA,"fatou_m"
124,"sw","repartira",NA,"fatou_m"
125,"sw","bon",NA,"fatou_m"
126,"sw","ces",NA,"fatou_m"
127,"sw","ail","El","fatou_m"
128,"sw","délivrer",NA,"fatou_m"
129,"sw","édition",NA,"fatou_m"
130,"sw","larguer",NA,"fatou_m"
131,"sw","caillou",NA,"fatou_m"
132,"sw","pari",NA,"fatou_m"
133,"sw","raie",NA,"fatou_m"
134,"sw","loin",NA,"fatou_m"
135,"sw","pale",NA,"fatou_m"
136,"sw","poli",NA,"fatou_m"
137,"sw","bain",NA,"fatou_m"
138,"sw","lange",NA,"fatou_m"
139,"sw","gars","gar","fatou_m"
140,"sw","long",NA,"fatou_m"
141,"sw","renifle",NA,"fatou_m"
142,"sw","chien",NA,"fatou_m"
143,"sw","criant",NA,"fatou_m"
144,"sw","agile","EZil","fatou_m"
145,"sw","lueur",NA,"fatou_m"
146,"sw","baiser","bese","fatou_m"
147,"sw","galet",NA,"fatou_m"
148,"sw","placer",NA,"fatou_m"
149,"sw","fiable",NA,"fatou_m"
150,"sw","désert",NA,"fatou_m"
151,"sw","aspect","aspEkt","fatou_m"
152,"sw","étiole","etwal","fatou_m"
153,"sw","accident",NA,"fatou_m"
154,"sw","quatorze",NA,"fatou_m"
155,"sw","oignon",NA,"fatou_m"
156,"sw","trot",NA,"fatou_m"
157,"sw","pourquoi",NA,"fatou_m"
158,"sw","dix",NA,"fatou_m"
159,"sw","geler","gele","fatou_m"
160,"sw","pelure",NA,"fatou_m"
161,"sw","calque","kalk*","fatou_m"
