"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"felix_b"
2,"sw","onze",NA,"felix_b"
3,"sw","grand",NA,"felix_b"
4,"sw","race",NA,"felix_b"
5,"sw","rose",NA,"felix_b"
6,"sw","scie",NA,"felix_b"
7,"sw","base",NA,"felix_b"
8,"sw","orge",NA,"felix_b"
9,"sw","enfer",NA,"felix_b"
10,"sw","maire",NA,"felix_b"
11,"sw","chacun",NA,"felix_b"
12,"sw","signe",NA,"felix_b"
13,"sw","brun",NA,"felix_b"
14,"sw","congé",NA,"felix_b"
15,"sw","patient",NA,"felix_b"
16,"sw","payé",NA,"felix_b"
17,"sw","pantin",NA,"felix_b"
18,"sw","compte",NA,"felix_b"
19,"sw","cesse",NA,"felix_b"
20,"sw","bille",NA,"felix_b"
21,"sw","maîtresse",NA,"felix_b"
22,"sw","piler",NA,"felix_b"
23,"sw","femme",NA,"felix_b"
24,"sw","parfum",NA,"felix_b"
25,"sw","doigt",NA,"felix_b"
26,"sw","lapin",NA,"felix_b"
27,"sw","linge",NA,"felix_b"
28,"sw","coup",NA,"felix_b"
29,"sw","vers",NA,"felix_b"
30,"sw","volé",NA,"felix_b"
31,"sw","mars",NA,"felix_b"
32,"sw","frime",NA,"felix_b"
33,"sw","monsieur",NA,"felix_b"
34,"sw","jeunesse",NA,"felix_b"
35,"sw","marcherions",NA,"felix_b"
36,"sw","canton",NA,"felix_b"
37,"sw","tentait",NA,"felix_b"
38,"sw","cracher",NA,"felix_b"
39,"sw","crique",NA,"felix_b"
40,"sw","retrouverez",NA,"felix_b"
41,"sw","suave",NA,"felix_b"
42,"sw","près",NA,"felix_b"
43,"sw","automne",NA,"felix_b"
44,"sw","client",NA,"felix_b"
45,"sw","soixante-dix",NA,"felix_b"
46,"sw","sien",NA,"felix_b"
47,"sw","rond",NA,"felix_b"
48,"sw","deux",NA,"felix_b"
49,"sw","pire",NA,"felix_b"
50,"sw","sens",NA,"felix_b"
51,"sw","rien",NA,"felix_b"
52,"sw","gare",NA,"felix_b"
53,"sw","chez",NA,"felix_b"
54,"sw","directeur",NA,"felix_b"
55,"sw","douzième",NA,"felix_b"
56,"sw","slave",NA,"felix_b"
57,"sw","pincera",NA,"felix_b"
58,"sw","montagne",NA,"felix_b"
59,"sw","igloo",NA,"felix_b"
60,"sw","rogner",NA,"felix_b"
61,"sw","fille",NA,"felix_b"
62,"sw","morte",NA,"felix_b"
63,"sw","paire",NA,"felix_b"
64,"sw","varie",NA,"felix_b"
65,"sw","cœur",NA,"felix_b"
66,"sw","chandail",NA,"felix_b"
67,"sw","magner",NA,"felix_b"
68,"sw","mais",NA,"felix_b"
69,"sw","ruse",NA,"felix_b"
70,"sw","rasé",NA,"felix_b"
71,"sw","album",NA,"felix_b"
72,"sw","glisserai",NA,"felix_b"
73,"sw","qui",NA,"felix_b"
74,"sw","partons",NA,"felix_b"
75,"sw","rebondirons",NA,"felix_b"
76,"sw","librairie",NA,"felix_b"
77,"sw","voilent",NA,"felix_b"
78,"sw","roue",NA,"felix_b"
79,"sw","case","kas","felix_b"
80,"sw","prie",NA,"felix_b"
81,"sw","mois",NA,"felix_b"
82,"sw","dans",NA,"felix_b"
83,"sw","coule",NA,"felix_b"
84,"sw","poêle",NA,"felix_b"
85,"sw","saule",NA,"felix_b"
86,"sw","œil",NA,"felix_b"
87,"sw","tant",NA,"felix_b"
88,"sw","clamer",NA,"felix_b"
89,"sw","pensant",NA,"felix_b"
90,"sw","finie",NA,"felix_b"
91,"sw","poison",NA,"felix_b"
92,"sw","mairie",NA,"felix_b"
93,"sw","boulangerie",NA,"felix_b"
94,"sw","cousin",NA,"felix_b"
95,"sw","boulette",NA,"felix_b"
