"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"guillaume_o"
2,"sw","onze",NA,"guillaume_o"
3,"sw","grand",NA,"guillaume_o"
4,"sw","race",NA,"guillaume_o"
5,"sw","rose",NA,"guillaume_o"
6,"sw","scie",NA,"guillaume_o"
7,"sw","base",NA,"guillaume_o"
8,"sw","orge",NA,"guillaume_o"
9,"sw","enfer",NA,"guillaume_o"
10,"sw","maire",NA,"guillaume_o"
11,"sw","chacun","Sakyn","guillaume_o"
12,"sw","signe",NA,"guillaume_o"
13,"sw","brun",NA,"guillaume_o"
14,"sw","congé",NA,"guillaume_o"
15,"sw","patient",NA,"guillaume_o"
16,"sw","payé",NA,"guillaume_o"
17,"sw","pantin","patin","guillaume_o"
18,"sw","compte",NA,"guillaume_o"
19,"sw","cesse",NA,"guillaume_o"
20,"sw","bille",NA,"guillaume_o"
21,"sw","maîtresse",NA,"guillaume_o"
22,"sw","piler",NA,"guillaume_o"
23,"sw","femme",NA,"guillaume_o"
24,"sw","parfum",NA,"guillaume_o"
25,"sw","doigt",NA,"guillaume_o"
26,"sw","lapin",NA,"guillaume_o"
27,"sw","linge",NA,"guillaume_o"
28,"sw","coup",NA,"guillaume_o"
29,"sw","vers",NA,"guillaume_o"
30,"sw","volé",NA,"guillaume_o"
31,"sw","mars","mar","guillaume_o"
32,"sw","frime","frime","guillaume_o"
33,"sw","monsieur",NA,"guillaume_o"
34,"sw","jeunesse",NA,"guillaume_o"
35,"sw","marcherions",NA,"guillaume_o"
36,"sw","canton",NA,"guillaume_o"
37,"sw","tentait",NA,"guillaume_o"
38,"sw","cracher",NA,"guillaume_o"
39,"sw","crique",NA,"guillaume_o"
40,"sw","retrouverez","r*truve","guillaume_o"
41,"sw","suave",NA,"guillaume_o"
42,"sw","près",NA,"guillaume_o"
43,"sw","automne","otomn*","guillaume_o"
44,"sw","client",NA,"guillaume_o"
45,"sw","soixante-dix",NA,"guillaume_o"
46,"sw","sien",NA,"guillaume_o"
47,"sw","rond",NA,"guillaume_o"
48,"sw","deux",NA,"guillaume_o"
49,"sw","pire",NA,"guillaume_o"
50,"sw","sens",NA,"guillaume_o"
51,"sw","rien",NA,"guillaume_o"
52,"sw","gare",NA,"guillaume_o"
53,"sw","chez",NA,"guillaume_o"
54,"sw","directeur",NA,"guillaume_o"
55,"sw","douzième",NA,"guillaume_o"
56,"sw","slave",NA,"guillaume_o"
57,"sw","pincera",NA,"guillaume_o"
58,"sw","montagne",NA,"guillaume_o"
59,"sw","igloo",NA,"guillaume_o"
60,"sw","rogner",NA,"guillaume_o"
61,"sw","fille",NA,"guillaume_o"
62,"sw","morte",NA,"guillaume_o"
63,"sw","paire",NA,"guillaume_o"
64,"sw","varie",NA,"guillaume_o"
65,"sw","cœur",NA,"guillaume_o"
66,"sw","chandail","S@dEl","guillaume_o"
67,"sw","magner",NA,"guillaume_o"
68,"sw","mais",NA,"guillaume_o"
69,"sw","ruse",NA,"guillaume_o"
70,"sw","rasé",NA,"guillaume_o"
71,"sw","album",NA,"guillaume_o"
72,"sw","glisserai",NA,"guillaume_o"
73,"sw","qui",NA,"guillaume_o"
74,"sw","partons",NA,"guillaume_o"
75,"sw","rebondirons","r*b§dir","guillaume_o"
76,"sw","librairie",NA,"guillaume_o"
77,"sw","voilent","vwal@","guillaume_o"
78,"sw","roue",NA,"guillaume_o"
79,"sw","case",NA,"guillaume_o"
80,"sw","prie",NA,"guillaume_o"
81,"sw","mois",NA,"guillaume_o"
82,"sw","dans",NA,"guillaume_o"
83,"sw","coule",NA,"guillaume_o"
84,"sw","poêle","poEl","guillaume_o"
85,"sw","saule",NA,"guillaume_o"
86,"sw","œil",NA,"guillaume_o"
87,"sw","tant",NA,"guillaume_o"
88,"sw","clamer",NA,"guillaume_o"
89,"sw","pensant","p@se","guillaume_o"
90,"sw","finie",NA,"guillaume_o"
91,"sw","poison","pwas§","guillaume_o"
92,"sw","mairie",NA,"guillaume_o"
93,"sw","boulangerie",NA,"guillaume_o"
