"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"hadetou_c"
2,"sw","onze",NA,"hadetou_c"
3,"sw","grand",NA,"hadetou_c"
4,"sw","race",NA,"hadetou_c"
5,"sw","rose",NA,"hadetou_c"
6,"sw","scie","sis","hadetou_c"
7,"sw","base","bas","hadetou_c"
8,"sw","orge",NA,"hadetou_c"
9,"sw","enfer",NA,"hadetou_c"
10,"sw","maire",NA,"hadetou_c"
11,"sw","chacun",NA,"hadetou_c"
12,"sw","signe","sinZ","hadetou_c"
13,"sw","brun",NA,"hadetou_c"
14,"sw","congé",NA,"hadetou_c"
15,"sw","patient",NA,"hadetou_c"
16,"sw","payé",NA,"hadetou_c"
17,"sw","pantin","pat5","hadetou_c"
18,"sw","compte",NA,"hadetou_c"
19,"sw","cesse",NA,"hadetou_c"
20,"sw","bille",NA,"hadetou_c"
21,"sw","maîtresse",NA,"hadetou_c"
22,"sw","piler","pilie","hadetou_c"
23,"sw","femme",NA,"hadetou_c"
24,"sw","parfum",NA,"hadetou_c"
25,"sw","doigt",NA,"hadetou_c"
26,"sw","lapin",NA,"hadetou_c"
27,"sw","linge",NA,"hadetou_c"
28,"sw","coup",NA,"hadetou_c"
29,"sw","vers",NA,"hadetou_c"
30,"sw","volé",NA,"hadetou_c"
31,"sw","mars",NA,"hadetou_c"
32,"sw","frime",NA,"hadetou_c"
33,"sw","monsieur",NA,"hadetou_c"
34,"sw","jeunesse","Z*n","hadetou_c"
35,"sw","marcherions",NA,"hadetou_c"
36,"sw","canton","katr§","hadetou_c"
37,"sw","tentait",NA,"hadetou_c"
38,"sw","cracher",NA,"hadetou_c"
39,"sw","crique",NA,"hadetou_c"
40,"sw","retrouverez","r*truve","hadetou_c"
41,"sw","suave","sav","hadetou_c"
42,"sw","près",NA,"hadetou_c"
43,"sw","automne",NA,"hadetou_c"
44,"sw","client",NA,"hadetou_c"
45,"sw","soixante-dix",NA,"hadetou_c"
46,"sw","sien",NA,"hadetou_c"
47,"sw","rond",NA,"hadetou_c"
48,"sw","deux",NA,"hadetou_c"
49,"sw","pire",NA,"hadetou_c"
50,"sw","sens",NA,"hadetou_c"
51,"sw","rien","r5","hadetou_c"
52,"sw","gare",NA,"hadetou_c"
53,"sw","chez",NA,"hadetou_c"
54,"sw","directeur",NA,"hadetou_c"
55,"sw","douzième",NA,"hadetou_c"
56,"sw","slave",NA,"hadetou_c"
57,"sw","pincera",NA,"hadetou_c"
58,"sw","montagne",NA,"hadetou_c"
59,"sw","igloo",NA,"hadetou_c"
60,"sw","rogner",NA,"hadetou_c"
61,"sw","fille",NA,"hadetou_c"
62,"sw","morte",NA,"hadetou_c"
63,"sw","paire",NA,"hadetou_c"
64,"sw","varie","varie","hadetou_c"
65,"sw","cœur",NA,"hadetou_c"
66,"sw","chandail","S@dEl","hadetou_c"
67,"sw","magner",NA,"hadetou_c"
68,"sw","mais",NA,"hadetou_c"
69,"sw","ruse",NA,"hadetou_c"
70,"sw","rasé",NA,"hadetou_c"
71,"sw","album",NA,"hadetou_c"
72,"sw","glisserai","glis*ra","hadetou_c"
73,"sw","qui",NA,"hadetou_c"
74,"sw","partons",NA,"hadetou_c"
75,"sw","rebondirons",NA,"hadetou_c"
76,"sw","librairie",NA,"hadetou_c"
77,"sw","voilent","vwale","hadetou_c"
78,"sw","roue",NA,"hadetou_c"
79,"sw","case","kas","hadetou_c"
80,"sw","prie","pir","hadetou_c"
81,"sw","mois",NA,"hadetou_c"
82,"sw","dans",NA,"hadetou_c"
83,"sw","coule",NA,"hadetou_c"
84,"sw","poêle",NA,"hadetou_c"
85,"sw","saule",NA,"hadetou_c"
86,"sw","œil",NA,"hadetou_c"
87,"sw","tant",NA,"hadetou_c"
88,"sw","clamer",NA,"hadetou_c"
89,"sw","pensant",NA,"hadetou_c"
90,"sw","finie",NA,"hadetou_c"
91,"sw","poison","pwas§","hadetou_c"
92,"sw","mairie","mEr","hadetou_c"
93,"sw","boulangerie",NA,"hadetou_c"
94,"sw","cousin",NA,"hadetou_c"
95,"sw","boulette",NA,"hadetou_c"
96,"sw","revolver","r*volte","hadetou_c"
97,"sw","grade",NA,"hadetou_c"
98,"sw","gens",NA,"hadetou_c"
99,"sw","porche",NA,"hadetou_c"
100,"sw","encore",NA,"hadetou_c"
101,"sw","les",NA,"hadetou_c"
102,"sw","sept",NA,"hadetou_c"
103,"sw","patrie","patrie","hadetou_c"
104,"sw","présent",NA,"hadetou_c"
105,"sw","six",NA,"hadetou_c"
106,"sw","teint","si5","hadetou_c"
107,"sw","cirer",NA,"hadetou_c"
108,"sw","trier","tri","hadetou_c"
109,"sw","asie",NA,"hadetou_c"
110,"sw","cale","klal","hadetou_c"
111,"sw","pipe",NA,"hadetou_c"
112,"sw","cinquante",NA,"hadetou_c"
113,"sw","ose","os","hadetou_c"
114,"sw","emmener",NA,"hadetou_c"
115,"sw","écrire","ekrie","hadetou_c"
116,"sw","portrait",NA,"hadetou_c"
117,"sw","ration","razion","hadetou_c"
118,"sw","savant",NA,"hadetou_c"
119,"sw","écho","eSu","hadetou_c"
120,"sw","aisance","anis@","hadetou_c"
121,"sw","crie",NA,"hadetou_c"
122,"sw","brise","bris","hadetou_c"
123,"sw","trois",NA,"hadetou_c"
124,"sw","repartira",NA,"hadetou_c"
125,"sw","bon",NA,"hadetou_c"
126,"sw","ces",NA,"hadetou_c"
127,"sw","ail",NA,"hadetou_c"
128,"sw","délivrer",NA,"hadetou_c"
129,"sw","édition",NA,"hadetou_c"
130,"sw","larguer","largEr","hadetou_c"
131,"sw","caillou",NA,"hadetou_c"
132,"sw","pari","parir","hadetou_c"
133,"sw","raie",NA,"hadetou_c"
134,"sw","loin",NA,"hadetou_c"
135,"sw","pale",NA,"hadetou_c"
136,"sw","poli","pwal","hadetou_c"
137,"sw","bain",NA,"hadetou_c"
138,"sw","lange",NA,"hadetou_c"
139,"sw","gars",NA,"hadetou_c"
140,"sw","long",NA,"hadetou_c"
141,"sw","renifle","r*nifle","hadetou_c"
142,"sw","chien",NA,"hadetou_c"
143,"sw","criant",NA,"hadetou_c"
144,"sw","agile",NA,"hadetou_c"
145,"sw","lueur",NA,"hadetou_c"
146,"sw","baiser",NA,"hadetou_c"
147,"sw","galet",NA,"hadetou_c"
148,"sw","placer",NA,"hadetou_c"
149,"sw","fiable",NA,"hadetou_c"
150,"sw","désert",NA,"hadetou_c"
151,"sw","aspect","apset","hadetou_c"
152,"sw","étiole","etwal","hadetou_c"
153,"sw","accident",NA,"hadetou_c"
154,"sw","quatorze",NA,"hadetou_c"
155,"sw","oignon",NA,"hadetou_c"
156,"sw","trot","trwa","hadetou_c"
157,"sw","pourquoi",NA,"hadetou_c"
158,"sw","dix",NA,"hadetou_c"
159,"sw","geler",NA,"hadetou_c"
160,"sw","pelure",NA,"hadetou_c"
161,"sw","calque","kale","hadetou_c"
