"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"hedi_b"
2,"sw","onze",NA,"hedi_b"
3,"sw","grand",NA,"hedi_b"
4,"sw","race",NA,"hedi_b"
5,"sw","rose",NA,"hedi_b"
6,"sw","scie",NA,"hedi_b"
7,"sw","base",NA,"hedi_b"
8,"sw","orge",NA,"hedi_b"
9,"sw","enfer",NA,"hedi_b"
10,"sw","maire",NA,"hedi_b"
11,"sw","chacun",NA,"hedi_b"
12,"sw","signe",NA,"hedi_b"
13,"sw","brun",NA,"hedi_b"
14,"sw","congé",NA,"hedi_b"
15,"sw","patient",NA,"hedi_b"
16,"sw","payé",NA,"hedi_b"
17,"sw","pantin",NA,"hedi_b"
18,"sw","compte",NA,"hedi_b"
19,"sw","cesse",NA,"hedi_b"
20,"sw","bille",NA,"hedi_b"
21,"sw","maîtresse",NA,"hedi_b"
22,"sw","piler",NA,"hedi_b"
23,"sw","femme",NA,"hedi_b"
24,"sw","parfum",NA,"hedi_b"
25,"sw","doigt",NA,"hedi_b"
26,"sw","lapin",NA,"hedi_b"
27,"sw","linge",NA,"hedi_b"
28,"sw","coup",NA,"hedi_b"
29,"sw","vers",NA,"hedi_b"
30,"sw","volé",NA,"hedi_b"
31,"sw","mars",NA,"hedi_b"
32,"sw","frime",NA,"hedi_b"
33,"sw","monsieur",NA,"hedi_b"
34,"sw","jeunesse",NA,"hedi_b"
35,"sw","marcherions",NA,"hedi_b"
36,"sw","canton",NA,"hedi_b"
37,"sw","tentait",NA,"hedi_b"
38,"sw","cracher",NA,"hedi_b"
39,"sw","crique",NA,"hedi_b"
40,"sw","retrouverez","r*truve","hedi_b"
41,"sw","suave",NA,"hedi_b"
42,"sw","près",NA,"hedi_b"
43,"sw","automne",NA,"hedi_b"
44,"sw","client",NA,"hedi_b"
45,"sw","soixante-dix",NA,"hedi_b"
46,"sw","sien",NA,"hedi_b"
47,"sw","rond",NA,"hedi_b"
48,"sw","deux",NA,"hedi_b"
49,"sw","pire",NA,"hedi_b"
50,"sw","sens",NA,"hedi_b"
51,"sw","rien",NA,"hedi_b"
52,"sw","gare",NA,"hedi_b"
53,"sw","chez",NA,"hedi_b"
54,"sw","directeur",NA,"hedi_b"
55,"sw","douzième",NA,"hedi_b"
56,"sw","slave",NA,"hedi_b"
57,"sw","pincera",NA,"hedi_b"
58,"sw","montagne",NA,"hedi_b"
59,"sw","igloo",NA,"hedi_b"
60,"sw","rogner",NA,"hedi_b"
61,"sw","fille",NA,"hedi_b"
62,"sw","morte",NA,"hedi_b"
63,"sw","paire",NA,"hedi_b"
64,"sw","varie",NA,"hedi_b"
65,"sw","cœur",NA,"hedi_b"
66,"sw","chandail",NA,"hedi_b"
67,"sw","magner",NA,"hedi_b"
68,"sw","mais",NA,"hedi_b"
69,"sw","ruse",NA,"hedi_b"
70,"sw","rasé",NA,"hedi_b"
71,"sw","album",NA,"hedi_b"
72,"sw","glisserai",NA,"hedi_b"
73,"sw","qui",NA,"hedi_b"
74,"sw","partons",NA,"hedi_b"
75,"sw","rebondirons",NA,"hedi_b"
76,"sw","librairie",NA,"hedi_b"
77,"sw","voilent","vol","hedi_b"
78,"sw","roue",NA,"hedi_b"
79,"sw","case",NA,"hedi_b"
80,"sw","prie",NA,"hedi_b"
81,"sw","mois",NA,"hedi_b"
82,"sw","dans",NA,"hedi_b"
83,"sw","coule",NA,"hedi_b"
84,"sw","poêle","pwEl","hedi_b"
85,"sw","saule",NA,"hedi_b"
86,"sw","œil",NA,"hedi_b"
87,"sw","tant",NA,"hedi_b"
88,"sw","clamer",NA,"hedi_b"
89,"sw","pensant",NA,"hedi_b"
90,"sw","finie",NA,"hedi_b"
91,"sw","poison",NA,"hedi_b"
92,"sw","mairie",NA,"hedi_b"
93,"sw","boulangerie",NA,"hedi_b"
94,"sw","cousin",NA,"hedi_b"
95,"sw","boulette",NA,"hedi_b"
96,"sw","revolver","r*vole","hedi_b"
97,"sw","grade",NA,"hedi_b"
98,"sw","gens",NA,"hedi_b"
99,"sw","porche",NA,"hedi_b"
100,"sw","encore",NA,"hedi_b"
101,"sw","les",NA,"hedi_b"
102,"sw","sept",NA,"hedi_b"
103,"sw","patrie",NA,"hedi_b"
104,"sw","présent",NA,"hedi_b"
105,"sw","six",NA,"hedi_b"
106,"sw","teint",NA,"hedi_b"
107,"sw","cirer",NA,"hedi_b"
108,"sw","trier",NA,"hedi_b"
109,"sw","asie",NA,"hedi_b"
110,"sw","cale",NA,"hedi_b"
111,"sw","pipe",NA,"hedi_b"
112,"sw","cinquante",NA,"hedi_b"
113,"sw","ose",NA,"hedi_b"
114,"sw","emmener",NA,"hedi_b"
115,"sw","écrire",NA,"hedi_b"
116,"sw","portrait",NA,"hedi_b"
117,"sw","ration",NA,"hedi_b"
118,"sw","savant",NA,"hedi_b"
119,"sw","écho","eSo","hedi_b"
120,"sw","aisance","Es@s","hedi_b"
121,"sw","crie",NA,"hedi_b"
122,"sw","brise",NA,"hedi_b"
