"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"henoc_s"
2,"sw","onze",NA,"henoc_s"
3,"sw","grand",NA,"henoc_s"
4,"sw","race",NA,"henoc_s"
5,"sw","rose",NA,"henoc_s"
6,"sw","scie",NA,"henoc_s"
7,"sw","base",NA,"henoc_s"
8,"sw","orge",NA,"henoc_s"
9,"sw","enfer",NA,"henoc_s"
10,"sw","maire",NA,"henoc_s"
11,"sw","chacun",NA,"henoc_s"
12,"sw","signe",NA,"henoc_s"
13,"sw","brun",NA,"henoc_s"
14,"sw","congé",NA,"henoc_s"
15,"sw","patient",NA,"henoc_s"
16,"sw","payé",NA,"henoc_s"
17,"sw","pantin",NA,"henoc_s"
18,"sw","compte",NA,"henoc_s"
19,"sw","cesse",NA,"henoc_s"
20,"sw","bille",NA,"henoc_s"
21,"sw","maîtresse",NA,"henoc_s"
22,"sw","piler",NA,"henoc_s"
23,"sw","femme",NA,"henoc_s"
24,"sw","parfum",NA,"henoc_s"
25,"sw","doigt",NA,"henoc_s"
26,"sw","lapin",NA,"henoc_s"
27,"sw","linge",NA,"henoc_s"
28,"sw","coup",NA,"henoc_s"
29,"sw","vers",NA,"henoc_s"
30,"sw","volé",NA,"henoc_s"
31,"sw","mars",NA,"henoc_s"
32,"sw","frime",NA,"henoc_s"
33,"sw","monsieur",NA,"henoc_s"
34,"sw","jeunesse",NA,"henoc_s"
35,"sw","marcherions",NA,"henoc_s"
36,"sw","canton",NA,"henoc_s"
37,"sw","tentait",NA,"henoc_s"
38,"sw","cracher",NA,"henoc_s"
39,"sw","crique","krike","henoc_s"
40,"sw","retrouverez","r*truve","henoc_s"
41,"sw","suave","suave","henoc_s"
42,"sw","près",NA,"henoc_s"
43,"sw","automne",NA,"henoc_s"
44,"sw","client",NA,"henoc_s"
45,"sw","soixante-dix",NA,"henoc_s"
46,"sw","sien",NA,"henoc_s"
47,"sw","rond",NA,"henoc_s"
48,"sw","deux",NA,"henoc_s"
49,"sw","pire",NA,"henoc_s"
50,"sw","sens",NA,"henoc_s"
51,"sw","rien",NA,"henoc_s"
52,"sw","gare",NA,"henoc_s"
53,"sw","chez",NA,"henoc_s"
54,"sw","directeur",NA,"henoc_s"
55,"sw","douzième",NA,"henoc_s"
56,"sw","slave",NA,"henoc_s"
57,"sw","pincera",NA,"henoc_s"
58,"sw","montagne",NA,"henoc_s"
59,"sw","igloo",NA,"henoc_s"
60,"sw","rogner",NA,"henoc_s"
61,"sw","fille",NA,"henoc_s"
62,"sw","morte",NA,"henoc_s"
63,"sw","paire",NA,"henoc_s"
64,"sw","varie",NA,"henoc_s"
65,"sw","cœur",NA,"henoc_s"
66,"sw","chandail",NA,"henoc_s"
67,"sw","magner",NA,"henoc_s"
68,"sw","mais",NA,"henoc_s"
69,"sw","ruse",NA,"henoc_s"
70,"sw","rasé",NA,"henoc_s"
71,"sw","album",NA,"henoc_s"
72,"sw","glisserai",NA,"henoc_s"
73,"sw","qui",NA,"henoc_s"
74,"sw","partons",NA,"henoc_s"
75,"sw","rebondirons",NA,"henoc_s"
76,"sw","librairie",NA,"henoc_s"
77,"sw","voilent",NA,"henoc_s"
78,"sw","roue",NA,"henoc_s"
79,"sw","case","kas","henoc_s"
80,"sw","prie",NA,"henoc_s"
81,"sw","mois",NA,"henoc_s"
82,"sw","dans",NA,"henoc_s"
83,"sw","coule",NA,"henoc_s"
84,"sw","poêle",NA,"henoc_s"
85,"sw","saule",NA,"henoc_s"
86,"sw","œil",NA,"henoc_s"
87,"sw","tant",NA,"henoc_s"
88,"sw","clamer",NA,"henoc_s"
89,"sw","pensant",NA,"henoc_s"
90,"sw","finie",NA,"henoc_s"
91,"sw","poison","pwas§","henoc_s"
92,"sw","mairie",NA,"henoc_s"
93,"sw","boulangerie",NA,"henoc_s"
94,"sw","cousin","kus5","henoc_s"
95,"sw","boulette",NA,"henoc_s"
96,"sw","revolver",NA,"henoc_s"
97,"sw","grade",NA,"henoc_s"
98,"sw","gens",NA,"henoc_s"
99,"sw","porche",NA,"henoc_s"
100,"sw","encore",NA,"henoc_s"
101,"sw","les",NA,"henoc_s"
102,"sw","sept",NA,"henoc_s"
103,"sw","patrie",NA,"henoc_s"
104,"sw","présent",NA,"henoc_s"
105,"sw","six",NA,"henoc_s"
106,"sw","teint",NA,"henoc_s"
107,"sw","cirer",NA,"henoc_s"
108,"sw","trier",NA,"henoc_s"
109,"sw","asie",NA,"henoc_s"
110,"sw","cale",NA,"henoc_s"
111,"sw","pipe",NA,"henoc_s"
112,"sw","cinquante",NA,"henoc_s"
113,"sw","ose",NA,"henoc_s"
114,"sw","emmener",NA,"henoc_s"
115,"sw","écrire",NA,"henoc_s"
116,"sw","portrait",NA,"henoc_s"
117,"sw","ration","rasio","henoc_s"
118,"sw","savant",NA,"henoc_s"
119,"sw","écho",NA,"henoc_s"
120,"sw","aisance",NA,"henoc_s"
121,"sw","crie",NA,"henoc_s"
122,"sw","brise",NA,"henoc_s"
123,"sw","trois",NA,"henoc_s"
124,"sw","repartira",NA,"henoc_s"
125,"sw","bon",NA,"henoc_s"
126,"sw","ces",NA,"henoc_s"
127,"sw","ail",NA,"henoc_s"
128,"sw","délivrer",NA,"henoc_s"
129,"sw","édition",NA,"henoc_s"
130,"sw","larguer",NA,"henoc_s"
131,"sw","caillou",NA,"henoc_s"
132,"sw","pari",NA,"henoc_s"
133,"sw","raie",NA,"henoc_s"
134,"sw","loin",NA,"henoc_s"
135,"sw","pale",NA,"henoc_s"
136,"sw","poli",NA,"henoc_s"
137,"sw","bain",NA,"henoc_s"
138,"sw","lange","l@","henoc_s"
139,"sw","gars",NA,"henoc_s"
140,"sw","long",NA,"henoc_s"
141,"sw","renifle",NA,"henoc_s"
142,"sw","chien",NA,"henoc_s"
143,"sw","criant",NA,"henoc_s"
144,"sw","agile",NA,"henoc_s"
145,"sw","lueur",NA,"henoc_s"
146,"sw","baiser","bese","henoc_s"
147,"sw","galet",NA,"henoc_s"
148,"sw","placer",NA,"henoc_s"
149,"sw","fiable",NA,"henoc_s"
150,"sw","désert",NA,"henoc_s"
151,"sw","aspect",NA,"henoc_s"
152,"sw","étiole",NA,"henoc_s"
153,"sw","accident",NA,"henoc_s"
154,"sw","quatorze",NA,"henoc_s"
155,"sw","oignon",NA,"henoc_s"
156,"sw","trot",NA,"henoc_s"
157,"sw","pourquoi",NA,"henoc_s"
158,"sw","dix",NA,"henoc_s"
159,"sw","geler",NA,"henoc_s"
160,"sw","pelure",NA,"henoc_s"
161,"sw","calque",NA,"henoc_s"
