"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"hichem_b"
2,"sw","onze",NA,"hichem_b"
3,"sw","grand",NA,"hichem_b"
4,"sw","race",NA,"hichem_b"
5,"sw","rose",NA,"hichem_b"
6,"sw","scie",NA,"hichem_b"
7,"sw","base",NA,"hichem_b"
8,"sw","orge","org","hichem_b"
9,"sw","enfer",NA,"hichem_b"
10,"sw","maire",NA,"hichem_b"
11,"sw","chacun",NA,"hichem_b"
12,"sw","signe",NA,"hichem_b"
13,"sw","brun","bryn","hichem_b"
14,"sw","congé",NA,"hichem_b"
15,"sw","patient",NA,"hichem_b"
16,"sw","payé",NA,"hichem_b"
17,"sw","pantin",NA,"hichem_b"
18,"sw","compte",NA,"hichem_b"
19,"sw","cesse",NA,"hichem_b"
20,"sw","bille",NA,"hichem_b"
21,"sw","maîtresse",NA,"hichem_b"
22,"sw","piler","pije","hichem_b"
23,"sw","femme",NA,"hichem_b"
24,"sw","parfum",NA,"hichem_b"
25,"sw","doigt",NA,"hichem_b"
26,"sw","lapin",NA,"hichem_b"
27,"sw","linge",NA,"hichem_b"
28,"sw","coup",NA,"hichem_b"
29,"sw","vers",NA,"hichem_b"
30,"sw","volé",NA,"hichem_b"
31,"sw","mars",NA,"hichem_b"
32,"sw","frime",NA,"hichem_b"
33,"sw","monsieur",NA,"hichem_b"
34,"sw","jeunesse",NA,"hichem_b"
35,"sw","marcherions","mark*rij§","hichem_b"
36,"sw","canton",NA,"hichem_b"
37,"sw","tentait",NA,"hichem_b"
38,"sw","cracher",NA,"hichem_b"
39,"sw","crique",NA,"hichem_b"
40,"sw","retrouverez",NA,"hichem_b"
41,"sw","suave","suav","hichem_b"
42,"sw","près",NA,"hichem_b"
43,"sw","automne",NA,"hichem_b"
44,"sw","client",NA,"hichem_b"
45,"sw","soixante-dix",NA,"hichem_b"
46,"sw","sien","sjEn","hichem_b"
47,"sw","rond",NA,"hichem_b"
48,"sw","deux",NA,"hichem_b"
49,"sw","pire",NA,"hichem_b"
50,"sw","sens",NA,"hichem_b"
51,"sw","rien",NA,"hichem_b"
52,"sw","gare",NA,"hichem_b"
53,"sw","chez",NA,"hichem_b"
54,"sw","directeur",NA,"hichem_b"
55,"sw","douzième",NA,"hichem_b"
56,"sw","slave",NA,"hichem_b"
57,"sw","pincera",NA,"hichem_b"
58,"sw","montagne",NA,"hichem_b"
59,"sw","igloo",NA,"hichem_b"
60,"sw","rogner",NA,"hichem_b"
61,"sw","fille",NA,"hichem_b"
62,"sw","morte",NA,"hichem_b"
63,"sw","paire",NA,"hichem_b"
64,"sw","varie",NA,"hichem_b"
65,"sw","cœur",NA,"hichem_b"
66,"sw","chandail","S@dEl","hichem_b"
67,"sw","magner",NA,"hichem_b"
68,"sw","mais",NA,"hichem_b"
69,"sw","ruse","rys","hichem_b"
70,"sw","rasé",NA,"hichem_b"
71,"sw","album",NA,"hichem_b"
72,"sw","glisserai",NA,"hichem_b"
73,"sw","qui",NA,"hichem_b"
74,"sw","partons",NA,"hichem_b"
75,"sw","rebondirons",NA,"hichem_b"
76,"sw","librairie",NA,"hichem_b"
77,"sw","voilent",NA,"hichem_b"
78,"sw","roue",NA,"hichem_b"
79,"sw","case","kas","hichem_b"
80,"sw","prie",NA,"hichem_b"
81,"sw","mois",NA,"hichem_b"
82,"sw","dans",NA,"hichem_b"
83,"sw","coule",NA,"hichem_b"
84,"sw","poêle",NA,"hichem_b"
85,"sw","saule",NA,"hichem_b"
86,"sw","œil",NA,"hichem_b"
87,"sw","tant",NA,"hichem_b"
88,"sw","clamer",NA,"hichem_b"
89,"sw","pensant",NA,"hichem_b"
90,"sw","finie",NA,"hichem_b"
91,"sw","poison","pwas§","hichem_b"
92,"sw","mairie",NA,"hichem_b"
93,"sw","boulangerie",NA,"hichem_b"
94,"sw","cousin","kus5","hichem_b"
95,"sw","boulette",NA,"hichem_b"
96,"sw","revolver","r*volve","hichem_b"
97,"sw","grade",NA,"hichem_b"
98,"sw","gens",NA,"hichem_b"
99,"sw","porche",NA,"hichem_b"
100,"sw","encore",NA,"hichem_b"
101,"sw","les",NA,"hichem_b"
102,"sw","sept",NA,"hichem_b"
103,"sw","patrie",NA,"hichem_b"
104,"sw","présent",NA,"hichem_b"
105,"sw","six",NA,"hichem_b"
106,"sw","teint",NA,"hichem_b"
107,"sw","cirer",NA,"hichem_b"
108,"sw","trier",NA,"hichem_b"
109,"sw","asie",NA,"hichem_b"
110,"sw","cale",NA,"hichem_b"
111,"sw","pipe",NA,"hichem_b"
112,"sw","cinquante",NA,"hichem_b"
113,"sw","ose",NA,"hichem_b"
114,"sw","emmener",NA,"hichem_b"
115,"sw","écrire",NA,"hichem_b"
116,"sw","portrait","portE","hichem_b"
117,"sw","ration",NA,"hichem_b"
118,"sw","savant",NA,"hichem_b"
119,"sw","écho",NA,"hichem_b"
120,"sw","aisance",NA,"hichem_b"
121,"sw","crie",NA,"hichem_b"
122,"sw","brise",NA,"hichem_b"
123,"sw","trois",NA,"hichem_b"
124,"sw","repartira",NA,"hichem_b"
125,"sw","bon",NA,"hichem_b"
126,"sw","ces",NA,"hichem_b"
127,"sw","ail","El","hichem_b"
128,"sw","délivrer",NA,"hichem_b"
129,"sw","édition",NA,"hichem_b"
130,"sw","larguer",NA,"hichem_b"
131,"sw","caillou",NA,"hichem_b"
132,"sw","pari",NA,"hichem_b"
133,"sw","raie",NA,"hichem_b"
134,"sw","loin",NA,"hichem_b"
135,"sw","pale",NA,"hichem_b"
136,"sw","poli",NA,"hichem_b"
137,"sw","bain",NA,"hichem_b"
138,"sw","lange","l§Z","hichem_b"
139,"sw","gars",NA,"hichem_b"
140,"sw","long",NA,"hichem_b"
141,"sw","renifle",NA,"hichem_b"
142,"sw","chien",NA,"hichem_b"
143,"sw","criant",NA,"hichem_b"
144,"sw","agile",NA,"hichem_b"
145,"sw","lueur",NA,"hichem_b"
146,"sw","baiser","bese","hichem_b"
147,"sw","galet",NA,"hichem_b"
148,"sw","placer",NA,"hichem_b"
149,"sw","fiable",NA,"hichem_b"
150,"sw","désert","desEr","hichem_b"
151,"sw","aspect",NA,"hichem_b"
152,"sw","étiole",NA,"hichem_b"
153,"sw","accident",NA,"hichem_b"
154,"sw","quatorze",NA,"hichem_b"
155,"sw","oignon",NA,"hichem_b"
156,"sw","trot",NA,"hichem_b"
157,"sw","pourquoi",NA,"hichem_b"
158,"sw","dix",NA,"hichem_b"
159,"sw","geler",NA,"hichem_b"
160,"sw","pelure",NA,"hichem_b"
161,"sw","calque",NA,"hichem_b"
