"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"hugo_w"
2,"sw","onze",NA,"hugo_w"
3,"sw","grand",NA,"hugo_w"
4,"sw","race",NA,"hugo_w"
5,"sw","rose",NA,"hugo_w"
6,"sw","scie",NA,"hugo_w"
7,"sw","base",NA,"hugo_w"
8,"sw","orge","org","hugo_w"
9,"sw","enfer",NA,"hugo_w"
10,"sw","maire",NA,"hugo_w"
11,"sw","chacun",NA,"hugo_w"
12,"sw","signe",NA,"hugo_w"
13,"sw","brun",NA,"hugo_w"
14,"sw","congé",NA,"hugo_w"
15,"sw","patient",NA,"hugo_w"
16,"sw","payé",NA,"hugo_w"
17,"sw","pantin",NA,"hugo_w"
18,"sw","compte",NA,"hugo_w"
19,"sw","cesse",NA,"hugo_w"
20,"sw","bille","bil","hugo_w"
21,"sw","maîtresse",NA,"hugo_w"
22,"sw","piler","pilje","hugo_w"
23,"sw","femme",NA,"hugo_w"
24,"sw","parfum",NA,"hugo_w"
25,"sw","doigt",NA,"hugo_w"
26,"sw","lapin",NA,"hugo_w"
27,"sw","linge",NA,"hugo_w"
28,"sw","coup",NA,"hugo_w"
29,"sw","vers",NA,"hugo_w"
30,"sw","volé",NA,"hugo_w"
31,"sw","mars",NA,"hugo_w"
32,"sw","frime",NA,"hugo_w"
33,"sw","monsieur",NA,"hugo_w"
34,"sw","jeunesse",NA,"hugo_w"
35,"sw","marcherions",NA,"hugo_w"
36,"sw","canton",NA,"hugo_w"
37,"sw","tentait",NA,"hugo_w"
38,"sw","cracher",NA,"hugo_w"
39,"sw","crique",NA,"hugo_w"
40,"sw","retrouverez","r*truve","hugo_w"
41,"sw","suave",NA,"hugo_w"
42,"sw","près",NA,"hugo_w"
43,"sw","automne",NA,"hugo_w"
44,"sw","client",NA,"hugo_w"
45,"sw","soixante-dix",NA,"hugo_w"
46,"sw","sien",NA,"hugo_w"
47,"sw","rond",NA,"hugo_w"
48,"sw","deux",NA,"hugo_w"
49,"sw","pire",NA,"hugo_w"
50,"sw","sens",NA,"hugo_w"
51,"sw","rien",NA,"hugo_w"
52,"sw","gare",NA,"hugo_w"
53,"sw","chez",NA,"hugo_w"
54,"sw","directeur",NA,"hugo_w"
55,"sw","douzième",NA,"hugo_w"
56,"sw","slave",NA,"hugo_w"
57,"sw","pincera",NA,"hugo_w"
58,"sw","montagne",NA,"hugo_w"
59,"sw","igloo",NA,"hugo_w"
60,"sw","rogner",NA,"hugo_w"
61,"sw","fille",NA,"hugo_w"
62,"sw","morte",NA,"hugo_w"
63,"sw","paire",NA,"hugo_w"
64,"sw","varie",NA,"hugo_w"
65,"sw","cœur",NA,"hugo_w"
66,"sw","chandail","S@dEl","hugo_w"
67,"sw","magner",NA,"hugo_w"
68,"sw","mais",NA,"hugo_w"
69,"sw","ruse",NA,"hugo_w"
70,"sw","rasé",NA,"hugo_w"
71,"sw","album",NA,"hugo_w"
72,"sw","glisserai",NA,"hugo_w"
73,"sw","qui",NA,"hugo_w"
74,"sw","partons",NA,"hugo_w"
75,"sw","rebondirons",NA,"hugo_w"
76,"sw","librairie",NA,"hugo_w"
77,"sw","voilent","vjol@","hugo_w"
78,"sw","roue",NA,"hugo_w"
79,"sw","case",NA,"hugo_w"
80,"sw","prie",NA,"hugo_w"
81,"sw","mois",NA,"hugo_w"
82,"sw","dans",NA,"hugo_w"
83,"sw","coule",NA,"hugo_w"
84,"sw","poêle",NA,"hugo_w"
85,"sw","saule",NA,"hugo_w"
86,"sw","œil",NA,"hugo_w"
87,"sw","tant",NA,"hugo_w"
88,"sw","clamer",NA,"hugo_w"
89,"sw","pensant",NA,"hugo_w"
90,"sw","finie",NA,"hugo_w"
91,"sw","poison","pwas§","hugo_w"
92,"sw","mairie",NA,"hugo_w"
93,"sw","boulangerie",NA,"hugo_w"
94,"sw","cousin","kus5","hugo_w"
95,"sw","boulette",NA,"hugo_w"
96,"sw","revolver","r*volve","hugo_w"
97,"sw","grade",NA,"hugo_w"
98,"sw","gens",NA,"hugo_w"
99,"sw","porche",NA,"hugo_w"
100,"sw","encore",NA,"hugo_w"
101,"sw","les",NA,"hugo_w"
102,"sw","sept",NA,"hugo_w"
103,"sw","patrie",NA,"hugo_w"
104,"sw","présent",NA,"hugo_w"
105,"sw","six",NA,"hugo_w"
106,"sw","teint",NA,"hugo_w"
107,"sw","cirer",NA,"hugo_w"
108,"sw","trier",NA,"hugo_w"
109,"sw","asie",NA,"hugo_w"
110,"sw","cale",NA,"hugo_w"
111,"sw","pipe",NA,"hugo_w"
112,"sw","cinquante",NA,"hugo_w"
113,"sw","ose",NA,"hugo_w"
114,"sw","emmener",NA,"hugo_w"
115,"sw","écrire",NA,"hugo_w"
116,"sw","portrait",NA,"hugo_w"
117,"sw","ration",NA,"hugo_w"
118,"sw","savant",NA,"hugo_w"
119,"sw","écho",NA,"hugo_w"
120,"sw","aisance","es@s","hugo_w"
121,"sw","crie",NA,"hugo_w"
122,"sw","brise",NA,"hugo_w"
123,"sw","trois",NA,"hugo_w"
124,"sw","repartira",NA,"hugo_w"
125,"sw","bon",NA,"hugo_w"
126,"sw","ces",NA,"hugo_w"
127,"sw","ail","El","hugo_w"
128,"sw","délivrer",NA,"hugo_w"
129,"sw","édition",NA,"hugo_w"
130,"sw","larguer",NA,"hugo_w"
131,"sw","caillou",NA,"hugo_w"
132,"sw","pari",NA,"hugo_w"
133,"sw","raie",NA,"hugo_w"
134,"sw","loin",NA,"hugo_w"
135,"sw","pale",NA,"hugo_w"
136,"sw","poli",NA,"hugo_w"
137,"sw","bain",NA,"hugo_w"
138,"sw","lange",NA,"hugo_w"
139,"sw","gars",NA,"hugo_w"
140,"sw","long",NA,"hugo_w"
141,"sw","renifle",NA,"hugo_w"
142,"sw","chien",NA,"hugo_w"
143,"sw","criant",NA,"hugo_w"
144,"sw","agile",NA,"hugo_w"
145,"sw","lueur",NA,"hugo_w"
146,"sw","baiser",NA,"hugo_w"
147,"sw","galet",NA,"hugo_w"
148,"sw","placer",NA,"hugo_w"
149,"sw","fiable",NA,"hugo_w"
150,"sw","désert",NA,"hugo_w"
151,"sw","aspect",NA,"hugo_w"
152,"sw","étiole","esjol","hugo_w"
153,"sw","accident",NA,"hugo_w"
154,"sw","quatorze",NA,"hugo_w"
155,"sw","oignon",NA,"hugo_w"
156,"sw","trot",NA,"hugo_w"
157,"sw","pourquoi",NA,"hugo_w"
158,"sw","dix",NA,"hugo_w"
159,"sw","geler",NA,"hugo_w"
160,"sw","pelure",NA,"hugo_w"
161,"sw","calque",NA,"hugo_w"
