"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"ines_ek"
2,"sw","onze",NA,"ines_ek"
3,"sw","grand",NA,"ines_ek"
4,"sw","race",NA,"ines_ek"
5,"sw","rose",NA,"ines_ek"
6,"sw","scie",NA,"ines_ek"
7,"sw","base","bas","ines_ek"
8,"sw","orge",NA,"ines_ek"
9,"sw","enfer",NA,"ines_ek"
10,"sw","maire",NA,"ines_ek"
11,"sw","chacun",NA,"ines_ek"
12,"sw","signe",NA,"ines_ek"
13,"sw","brun",NA,"ines_ek"
14,"sw","congé",NA,"ines_ek"
15,"sw","patient",NA,"ines_ek"
16,"sw","payé",NA,"ines_ek"
17,"sw","pantin","pat5","ines_ek"
18,"sw","compte",NA,"ines_ek"
19,"sw","cesse",NA,"ines_ek"
20,"sw","bille",NA,"ines_ek"
21,"sw","maîtresse",NA,"ines_ek"
22,"sw","piler",NA,"ines_ek"
23,"sw","femme",NA,"ines_ek"
24,"sw","parfum",NA,"ines_ek"
25,"sw","doigt",NA,"ines_ek"
26,"sw","lapin",NA,"ines_ek"
27,"sw","linge",NA,"ines_ek"
28,"sw","coup",NA,"ines_ek"
29,"sw","vers",NA,"ines_ek"
30,"sw","volé",NA,"ines_ek"
31,"sw","mars",NA,"ines_ek"
32,"sw","frime",NA,"ines_ek"
33,"sw","monsieur",NA,"ines_ek"
34,"sw","jeunesse",NA,"ines_ek"
35,"sw","marcherions","marS*r§","ines_ek"
36,"sw","canton",NA,"ines_ek"
37,"sw","tentait",NA,"ines_ek"
38,"sw","cracher",NA,"ines_ek"
39,"sw","crique",NA,"ines_ek"
40,"sw","retrouverez","r*truve","ines_ek"
41,"sw","suave",NA,"ines_ek"
42,"sw","près",NA,"ines_ek"
43,"sw","automne",NA,"ines_ek"
44,"sw","client",NA,"ines_ek"
45,"sw","soixante-dix",NA,"ines_ek"
46,"sw","sien","s5","ines_ek"
47,"sw","rond",NA,"ines_ek"
48,"sw","deux",NA,"ines_ek"
49,"sw","pire",NA,"ines_ek"
50,"sw","sens",NA,"ines_ek"
51,"sw","rien",NA,"ines_ek"
52,"sw","gare",NA,"ines_ek"
53,"sw","chez",NA,"ines_ek"
54,"sw","directeur",NA,"ines_ek"
55,"sw","douzième",NA,"ines_ek"
56,"sw","slave",NA,"ines_ek"
57,"sw","pincera",NA,"ines_ek"
58,"sw","montagne",NA,"ines_ek"
59,"sw","igloo",NA,"ines_ek"
60,"sw","rogner","r§Ze","ines_ek"
61,"sw","fille",NA,"ines_ek"
62,"sw","morte",NA,"ines_ek"
63,"sw","paire",NA,"ines_ek"
64,"sw","varie",NA,"ines_ek"
65,"sw","cœur",NA,"ines_ek"
66,"sw","chandail","S@dEj","ines_ek"
67,"sw","magner",NA,"ines_ek"
68,"sw","mais",NA,"ines_ek"
69,"sw","ruse","rys","ines_ek"
70,"sw","rasé",NA,"ines_ek"
71,"sw","album",NA,"ines_ek"
