"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"ines_v"
2,"sw","onze",NA,"ines_v"
3,"sw","grand",NA,"ines_v"
4,"sw","race",NA,"ines_v"
5,"sw","rose",NA,"ines_v"
6,"sw","scie",NA,"ines_v"
7,"sw","base",NA,"ines_v"
8,"sw","orge",NA,"ines_v"
9,"sw","enfer",NA,"ines_v"
10,"sw","maire",NA,"ines_v"
11,"sw","chacun",NA,"ines_v"
12,"sw","signe",NA,"ines_v"
13,"sw","brun",NA,"ines_v"
14,"sw","congé",NA,"ines_v"
15,"sw","patient",NA,"ines_v"
16,"sw","payé",NA,"ines_v"
17,"sw","pantin",NA,"ines_v"
18,"sw","compte",NA,"ines_v"
19,"sw","cesse",NA,"ines_v"
20,"sw","bille",NA,"ines_v"
21,"sw","maîtresse",NA,"ines_v"
22,"sw","piler","pije","ines_v"
23,"sw","femme",NA,"ines_v"
24,"sw","parfum",NA,"ines_v"
25,"sw","doigt",NA,"ines_v"
26,"sw","lapin",NA,"ines_v"
27,"sw","linge",NA,"ines_v"
28,"sw","coup",NA,"ines_v"
29,"sw","vers",NA,"ines_v"
30,"sw","volé",NA,"ines_v"
31,"sw","mars",NA,"ines_v"
32,"sw","frime",NA,"ines_v"
33,"sw","monsieur",NA,"ines_v"
34,"sw","jeunesse",NA,"ines_v"
35,"sw","marcherions",NA,"ines_v"
36,"sw","canton",NA,"ines_v"
37,"sw","tentait",NA,"ines_v"
38,"sw","cracher",NA,"ines_v"
39,"sw","crique",NA,"ines_v"
40,"sw","retrouverez","r*truve","ines_v"
41,"sw","suave",NA,"ines_v"
42,"sw","près",NA,"ines_v"
43,"sw","automne",NA,"ines_v"
44,"sw","client",NA,"ines_v"
45,"sw","soixante-dix",NA,"ines_v"
46,"sw","sien",NA,"ines_v"
47,"sw","rond",NA,"ines_v"
48,"sw","deux",NA,"ines_v"
49,"sw","pire",NA,"ines_v"
50,"sw","sens",NA,"ines_v"
51,"sw","rien",NA,"ines_v"
52,"sw","gare",NA,"ines_v"
53,"sw","chez",NA,"ines_v"
54,"sw","directeur",NA,"ines_v"
55,"sw","douzième",NA,"ines_v"
56,"sw","slave",NA,"ines_v"
57,"sw","pincera",NA,"ines_v"
58,"sw","montagne",NA,"ines_v"
59,"sw","igloo",NA,"ines_v"
60,"sw","rogner",NA,"ines_v"
61,"sw","fille",NA,"ines_v"
62,"sw","morte",NA,"ines_v"
63,"sw","paire",NA,"ines_v"
64,"sw","varie",NA,"ines_v"
65,"sw","cœur",NA,"ines_v"
66,"sw","chandail",NA,"ines_v"
67,"sw","magner",NA,"ines_v"
68,"sw","mais",NA,"ines_v"
69,"sw","ruse",NA,"ines_v"
70,"sw","rasé",NA,"ines_v"
71,"sw","album",NA,"ines_v"
72,"sw","glisserai",NA,"ines_v"
73,"sw","qui",NA,"ines_v"
74,"sw","partons",NA,"ines_v"
75,"sw","rebondirons",NA,"ines_v"
76,"sw","librairie",NA,"ines_v"
77,"sw","voilent","vwal@","ines_v"
78,"sw","roue",NA,"ines_v"
79,"sw","case",NA,"ines_v"
80,"sw","prie",NA,"ines_v"
81,"sw","mois",NA,"ines_v"
82,"sw","dans",NA,"ines_v"
83,"sw","coule","ku","ines_v"
84,"sw","poêle",NA,"ines_v"
85,"sw","saule",NA,"ines_v"
86,"sw","œil",NA,"ines_v"
87,"sw","tant",NA,"ines_v"
88,"sw","clamer",NA,"ines_v"
89,"sw","pensant",NA,"ines_v"
90,"sw","finie",NA,"ines_v"
91,"sw","poison",NA,"ines_v"
92,"sw","mairie",NA,"ines_v"
93,"sw","boulangerie",NA,"ines_v"
94,"sw","cousin",NA,"ines_v"
95,"sw","boulette",NA,"ines_v"
96,"sw","revolver",NA,"ines_v"
97,"sw","grade",NA,"ines_v"
98,"sw","gens",NA,"ines_v"
99,"sw","porche",NA,"ines_v"
100,"sw","encore",NA,"ines_v"
101,"sw","les",NA,"ines_v"
102,"sw","sept",NA,"ines_v"
103,"sw","patrie",NA,"ines_v"
104,"sw","présent",NA,"ines_v"
105,"sw","six",NA,"ines_v"
106,"sw","teint",NA,"ines_v"
107,"sw","cirer",NA,"ines_v"
108,"sw","trier",NA,"ines_v"
109,"sw","asie",NA,"ines_v"
110,"sw","cale",NA,"ines_v"
111,"sw","pipe",NA,"ines_v"
112,"sw","cinquante",NA,"ines_v"
113,"sw","ose",NA,"ines_v"
114,"sw","emmener",NA,"ines_v"
115,"sw","écrire",NA,"ines_v"
116,"sw","portrait",NA,"ines_v"
117,"sw","ration",NA,"ines_v"
118,"sw","savant",NA,"ines_v"
119,"sw","écho",NA,"ines_v"
120,"sw","aisance",NA,"ines_v"
121,"sw","crie",NA,"ines_v"
122,"sw","brise",NA,"ines_v"
123,"sw","trois",NA,"ines_v"
124,"sw","repartira",NA,"ines_v"
125,"sw","bon",NA,"ines_v"
126,"sw","ces",NA,"ines_v"
127,"sw","ail",NA,"ines_v"
128,"sw","délivrer",NA,"ines_v"
129,"sw","édition",NA,"ines_v"
130,"sw","larguer",NA,"ines_v"
131,"sw","caillou",NA,"ines_v"
132,"sw","pari",NA,"ines_v"
133,"sw","raie",NA,"ines_v"
134,"sw","loin",NA,"ines_v"
135,"sw","pale",NA,"ines_v"
136,"sw","poli",NA,"ines_v"
137,"sw","bain",NA,"ines_v"
138,"sw","lange",NA,"ines_v"
139,"sw","gars",NA,"ines_v"
