"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"james_a"
2,"sw","onze",NA,"james_a"
3,"sw","grand",NA,"james_a"
4,"sw","race",NA,"james_a"
5,"sw","rose",NA,"james_a"
6,"sw","scie",NA,"james_a"
7,"sw","base",NA,"james_a"
8,"sw","orge",NA,"james_a"
9,"sw","enfer",NA,"james_a"
10,"sw","maire",NA,"james_a"
11,"sw","chacun",NA,"james_a"
12,"sw","signe",NA,"james_a"
13,"sw","brun",NA,"james_a"
14,"sw","congé",NA,"james_a"
15,"sw","patient",NA,"james_a"
16,"sw","payé",NA,"james_a"
17,"sw","pantin",NA,"james_a"
18,"sw","compte",NA,"james_a"
19,"sw","cesse",NA,"james_a"
20,"sw","bille",NA,"james_a"
21,"sw","maîtresse",NA,"james_a"
22,"sw","piler","pilie","james_a"
23,"sw","femme",NA,"james_a"
24,"sw","parfum",NA,"james_a"
25,"sw","doigt",NA,"james_a"
26,"sw","lapin",NA,"james_a"
27,"sw","linge",NA,"james_a"
28,"sw","coup",NA,"james_a"
29,"sw","vers",NA,"james_a"
30,"sw","volé",NA,"james_a"
31,"sw","mars",NA,"james_a"
32,"sw","frime",NA,"james_a"
33,"sw","monsieur",NA,"james_a"
34,"sw","jeunesse",NA,"james_a"
35,"sw","marcherions","marS*r§","james_a"
36,"sw","canton",NA,"james_a"
37,"sw","tentait",NA,"james_a"
38,"sw","cracher",NA,"james_a"
39,"sw","crique",NA,"james_a"
40,"sw","retrouverez","r*truve","james_a"
41,"sw","suave",NA,"james_a"
42,"sw","près",NA,"james_a"
43,"sw","automne",NA,"james_a"
44,"sw","client",NA,"james_a"
45,"sw","soixante-dix",NA,"james_a"
46,"sw","sien","s5","james_a"
47,"sw","rond",NA,"james_a"
48,"sw","deux",NA,"james_a"
49,"sw","pire",NA,"james_a"
50,"sw","sens",NA,"james_a"
51,"sw","rien",NA,"james_a"
52,"sw","gare",NA,"james_a"
53,"sw","chez",NA,"james_a"
54,"sw","directeur",NA,"james_a"
55,"sw","douzième","duz","james_a"
