"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"kevin_t"
2,"sw","onze",NA,"kevin_t"
3,"sw","grand",NA,"kevin_t"
4,"sw","race",NA,"kevin_t"
5,"sw","rose",NA,"kevin_t"
6,"sw","scie",NA,"kevin_t"
7,"sw","base","bas","kevin_t"
8,"sw","orge",NA,"kevin_t"
9,"sw","enfer",NA,"kevin_t"
10,"sw","maire","mari","kevin_t"
11,"sw","chacun",NA,"kevin_t"
12,"sw","signe",NA,"kevin_t"
13,"sw","brun",NA,"kevin_t"
14,"sw","congé",NA,"kevin_t"
15,"sw","patient",NA,"kevin_t"
16,"sw","payé",NA,"kevin_t"
17,"sw","pantin","patj5","kevin_t"
18,"sw","compte",NA,"kevin_t"
19,"sw","cesse",NA,"kevin_t"
20,"sw","bille","bije","kevin_t"
21,"sw","maîtresse",NA,"kevin_t"
22,"sw","piler",NA,"kevin_t"
23,"sw","femme",NA,"kevin_t"
24,"sw","parfum",NA,"kevin_t"
25,"sw","doigt",NA,"kevin_t"
26,"sw","lapin",NA,"kevin_t"
27,"sw","linge",NA,"kevin_t"
28,"sw","coup",NA,"kevin_t"
29,"sw","vers",NA,"kevin_t"
30,"sw","volé",NA,"kevin_t"
31,"sw","mars",NA,"kevin_t"
32,"sw","frime",NA,"kevin_t"
33,"sw","monsieur",NA,"kevin_t"
34,"sw","jeunesse","Z*n","kevin_t"
35,"sw","marcherions",NA,"kevin_t"
36,"sw","canton","kat§","kevin_t"
37,"sw","tentait",NA,"kevin_t"
38,"sw","cracher",NA,"kevin_t"
39,"sw","crique","krie","kevin_t"
40,"sw","retrouverez","r*truve","kevin_t"
41,"sw","suave","suave","kevin_t"
42,"sw","près",NA,"kevin_t"
43,"sw","automne",NA,"kevin_t"
44,"sw","client",NA,"kevin_t"
45,"sw","soixante-dix",NA,"kevin_t"
46,"sw","sien","sj@§","kevin_t"
47,"sw","rond",NA,"kevin_t"
48,"sw","deux",NA,"kevin_t"
49,"sw","pire",NA,"kevin_t"
50,"sw","sens",NA,"kevin_t"
51,"sw","rien",NA,"kevin_t"
52,"sw","gare",NA,"kevin_t"
53,"sw","chez",NA,"kevin_t"
54,"sw","directeur",NA,"kevin_t"
55,"sw","douzième",NA,"kevin_t"
56,"sw","slave","sal","kevin_t"
57,"sw","pincera",NA,"kevin_t"
58,"sw","montagne",NA,"kevin_t"
59,"sw","igloo",NA,"kevin_t"
60,"sw","rogner",NA,"kevin_t"
61,"sw","fille",NA,"kevin_t"
62,"sw","morte","m§tr","kevin_t"
63,"sw","paire",NA,"kevin_t"
64,"sw","varie",NA,"kevin_t"
65,"sw","cœur",NA,"kevin_t"
66,"sw","chandail",NA,"kevin_t"
67,"sw","magner","meNe","kevin_t"
68,"sw","mais",NA,"kevin_t"
69,"sw","ruse",NA,"kevin_t"
70,"sw","rasé",NA,"kevin_t"
71,"sw","album",NA,"kevin_t"
72,"sw","glisserai",NA,"kevin_t"
73,"sw","qui",NA,"kevin_t"
74,"sw","partons",NA,"kevin_t"
75,"sw","rebondirons","r*b§dis§","kevin_t"
76,"sw","librairie",NA,"kevin_t"
77,"sw","voilent","viol@","kevin_t"
78,"sw","roue",NA,"kevin_t"
79,"sw","case","kas","kevin_t"
80,"sw","prie","pir","kevin_t"
81,"sw","mois",NA,"kevin_t"
82,"sw","dans",NA,"kevin_t"
83,"sw","coule",NA,"kevin_t"
84,"sw","poêle","pwale","kevin_t"
85,"sw","saule",NA,"kevin_t"
86,"sw","œil",NA,"kevin_t"
87,"sw","tant",NA,"kevin_t"
88,"sw","clamer","kalme","kevin_t"
89,"sw","pensant",NA,"kevin_t"
90,"sw","finie",NA,"kevin_t"
91,"sw","poison","pwas§","kevin_t"
92,"sw","mairie",NA,"kevin_t"
93,"sw","boulangerie",NA,"kevin_t"
94,"sw","cousin",NA,"kevin_t"
95,"sw","boulette",NA,"kevin_t"
96,"sw","revolver","r*volve","kevin_t"
97,"sw","grade",NA,"kevin_t"
98,"sw","gens",NA,"kevin_t"
99,"sw","porche",NA,"kevin_t"
100,"sw","encore",NA,"kevin_t"
101,"sw","les",NA,"kevin_t"
102,"sw","sept",NA,"kevin_t"
103,"sw","patrie",NA,"kevin_t"
104,"sw","présent",NA,"kevin_t"
105,"sw","six",NA,"kevin_t"
106,"sw","teint",NA,"kevin_t"
