"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"lallah"
2,"sw","onze",NA,"lallah"
3,"sw","grand",NA,"lallah"
4,"sw","race",NA,"lallah"
5,"sw","rose",NA,"lallah"
6,"sw","scie","siEl","lallah"
7,"sw","base","bas","lallah"
8,"sw","orge",NA,"lallah"
9,"sw","enfer",NA,"lallah"
10,"sw","maire",NA,"lallah"
11,"sw","chacun",NA,"lallah"
12,"sw","signe",NA,"lallah"
13,"sw","brun",NA,"lallah"
14,"sw","congé","k§Zj5","lallah"
15,"sw","patient",NA,"lallah"
16,"sw","payé",NA,"lallah"
17,"sw","pantin",NA,"lallah"
18,"sw","compte",NA,"lallah"
19,"sw","cesse","kas","lallah"
20,"sw","bille","pil","lallah"
21,"sw","maîtresse",NA,"lallah"
22,"sw","piler","piEr","lallah"
23,"sw","femme",NA,"lallah"
24,"sw","parfum","parfym","lallah"
25,"sw","doigt",NA,"lallah"
26,"sw","lapin",NA,"lallah"
27,"sw","linge",NA,"lallah"
28,"sw","coup",NA,"lallah"
29,"sw","vers",NA,"lallah"
30,"sw","volé","velo","lallah"
31,"sw","mars",NA,"lallah"
32,"sw","frime",NA,"lallah"
33,"sw","monsieur",NA,"lallah"
34,"sw","jeunesse",NA,"lallah"
35,"sw","marcherions",NA,"lallah"
36,"sw","canton","k§t@","lallah"
37,"sw","tentait","t@t5","lallah"
38,"sw","cracher",NA,"lallah"
39,"sw","crique",NA,"lallah"
40,"sw","retrouverez","r*truve","lallah"
41,"sw","suave","suave","lallah"
42,"sw","près","aprEs","lallah"
43,"sw","automne","otonom","lallah"
44,"sw","client","kliN","lallah"
45,"sw","soixante-dix",NA,"lallah"
46,"sw","sien","s5","lallah"
47,"sw","rond",NA,"lallah"
48,"sw","deux",NA,"lallah"
49,"sw","pire","piEr","lallah"
50,"sw","sens",NA,"lallah"
51,"sw","rien",NA,"lallah"
52,"sw","gare","bar","lallah"
53,"sw","chez",NA,"lallah"
54,"sw","directeur",NA,"lallah"
55,"sw","douzième","duz","lallah"
56,"sw","slave",NA,"lallah"
57,"sw","pincera",NA,"lallah"
58,"sw","montagne",NA,"lallah"
59,"sw","igloo",NA,"lallah"
60,"sw","rogner","groNe","lallah"
61,"sw","fille",NA,"lallah"
62,"sw","morte",NA,"lallah"
63,"sw","paire",NA,"lallah"
64,"sw","varie","varie","lallah"
65,"sw","cœur",NA,"lallah"
66,"sw","chandail","S@dEl","lallah"
67,"sw","magner","m@Ze","lallah"
68,"sw","mais",NA,"lallah"
69,"sw","ruse","rys","lallah"
70,"sw","rasé","ras","lallah"
71,"sw","album",NA,"lallah"
72,"sw","glisserai","glis*ra","lallah"
73,"sw","qui",NA,"lallah"
74,"sw","partons",NA,"lallah"
75,"sw","rebondirons",NA,"lallah"
76,"sw","librairie","libr","lallah"
77,"sw","voilent","vol@","lallah"
78,"sw","roue",NA,"lallah"
79,"sw","case","kase","lallah"
80,"sw","prie",NA,"lallah"
81,"sw","mois",NA,"lallah"
82,"sw","dans",NA,"lallah"
83,"sw","coule",NA,"lallah"
84,"sw","poêle","pwEl","lallah"
85,"sw","saule",NA,"lallah"
86,"sw","œil",NA,"lallah"
87,"sw","tant",NA,"lallah"
88,"sw","clamer","klam","lallah"
89,"sw","pensant","p@se","lallah"
90,"sw","finie",NA,"lallah"
91,"sw","poison","pwas§","lallah"
92,"sw","mairie","mari","lallah"
93,"sw","boulangerie","bul@ZEr","lallah"
94,"sw","cousin","kuizin","lallah"
95,"sw","boulette",NA,"lallah"
96,"sw","revolver","r*volte","lallah"
97,"sw","grade",NA,"lallah"
98,"sw","gens",NA,"lallah"
99,"sw","porche","proS","lallah"
100,"sw","encore",NA,"lallah"
101,"sw","les",NA,"lallah"
102,"sw","sept",NA,"lallah"
103,"sw","patrie",NA,"lallah"
104,"sw","présent",NA,"lallah"
105,"sw","six",NA,"lallah"
106,"sw","teint","si5","lallah"
107,"sw","cirer",NA,"lallah"
108,"sw","trier","pri","lallah"
109,"sw","asie",NA,"lallah"
110,"sw","cale",NA,"lallah"
111,"sw","pipe",NA,"lallah"
