"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"lindsay_md"
2,"sw","onze",NA,"lindsay_md"
3,"sw","grand",NA,"lindsay_md"
4,"sw","race",NA,"lindsay_md"
5,"sw","rose",NA,"lindsay_md"
6,"sw","scie",NA,"lindsay_md"
7,"sw","base",NA,"lindsay_md"
8,"sw","orge","org","lindsay_md"
9,"sw","enfer",NA,"lindsay_md"
10,"sw","maire",NA,"lindsay_md"
11,"sw","chacun",NA,"lindsay_md"
12,"sw","signe",NA,"lindsay_md"
13,"sw","brun",NA,"lindsay_md"
14,"sw","congé",NA,"lindsay_md"
15,"sw","patient",NA,"lindsay_md"
16,"sw","payé",NA,"lindsay_md"
17,"sw","pantin",NA,"lindsay_md"
18,"sw","compte",NA,"lindsay_md"
19,"sw","cesse",NA,"lindsay_md"
20,"sw","bille",NA,"lindsay_md"
21,"sw","maîtresse",NA,"lindsay_md"
22,"sw","piler",NA,"lindsay_md"
23,"sw","femme",NA,"lindsay_md"
24,"sw","parfum",NA,"lindsay_md"
25,"sw","doigt",NA,"lindsay_md"
26,"sw","lapin",NA,"lindsay_md"
27,"sw","linge",NA,"lindsay_md"
28,"sw","coup",NA,"lindsay_md"
29,"sw","vers",NA,"lindsay_md"
30,"sw","volé",NA,"lindsay_md"
31,"sw","mars",NA,"lindsay_md"
32,"sw","frime",NA,"lindsay_md"
33,"sw","monsieur",NA,"lindsay_md"
34,"sw","jeunesse",NA,"lindsay_md"
35,"sw","marcherions",NA,"lindsay_md"
36,"sw","canton",NA,"lindsay_md"
37,"sw","tentait",NA,"lindsay_md"
38,"sw","cracher",NA,"lindsay_md"
39,"sw","crique",NA,"lindsay_md"
40,"sw","retrouverez","r*truve","lindsay_md"
41,"sw","suave",NA,"lindsay_md"
42,"sw","près",NA,"lindsay_md"
43,"sw","automne",NA,"lindsay_md"
44,"sw","client",NA,"lindsay_md"
45,"sw","soixante-dix",NA,"lindsay_md"
46,"sw","sien",NA,"lindsay_md"
47,"sw","rond",NA,"lindsay_md"
48,"sw","deux",NA,"lindsay_md"
49,"sw","pire",NA,"lindsay_md"
50,"sw","sens",NA,"lindsay_md"
51,"sw","rien",NA,"lindsay_md"
52,"sw","gare",NA,"lindsay_md"
53,"sw","chez",NA,"lindsay_md"
54,"sw","directeur",NA,"lindsay_md"
55,"sw","douzième",NA,"lindsay_md"
56,"sw","slave",NA,"lindsay_md"
57,"sw","pincera",NA,"lindsay_md"
58,"sw","montagne",NA,"lindsay_md"
59,"sw","igloo",NA,"lindsay_md"
60,"sw","rogner",NA,"lindsay_md"
61,"sw","fille",NA,"lindsay_md"
62,"sw","morte",NA,"lindsay_md"
63,"sw","paire",NA,"lindsay_md"
64,"sw","varie","varie","lindsay_md"
65,"sw","cœur",NA,"lindsay_md"
66,"sw","chandail",NA,"lindsay_md"
67,"sw","magner",NA,"lindsay_md"
68,"sw","mais",NA,"lindsay_md"
69,"sw","ruse",NA,"lindsay_md"
70,"sw","rasé",NA,"lindsay_md"
71,"sw","album",NA,"lindsay_md"
72,"sw","glisserai",NA,"lindsay_md"
73,"sw","qui",NA,"lindsay_md"
74,"sw","partons",NA,"lindsay_md"
75,"sw","rebondirons",NA,"lindsay_md"
76,"sw","librairie",NA,"lindsay_md"
77,"sw","voilent","viol@","lindsay_md"
78,"sw","roue",NA,"lindsay_md"
79,"sw","case",NA,"lindsay_md"
80,"sw","prie",NA,"lindsay_md"
81,"sw","mois",NA,"lindsay_md"
82,"sw","dans",NA,"lindsay_md"
83,"sw","coule",NA,"lindsay_md"
84,"sw","poêle",NA,"lindsay_md"
