"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"lorna-jire_m"
2,"sw","onze",NA,"lorna-jire_m"
3,"sw","grand",NA,"lorna-jire_m"
4,"sw","race",NA,"lorna-jire_m"
5,"sw","rose",NA,"lorna-jire_m"
6,"sw","scie",NA,"lorna-jire_m"
7,"sw","base",NA,"lorna-jire_m"
8,"sw","orge","ogr","lorna-jire_m"
9,"sw","enfer",NA,"lorna-jire_m"
10,"sw","maire",NA,"lorna-jire_m"
11,"sw","chacun",NA,"lorna-jire_m"
12,"sw","signe",NA,"lorna-jire_m"
13,"sw","brun",NA,"lorna-jire_m"
14,"sw","congé",NA,"lorna-jire_m"
15,"sw","patient",NA,"lorna-jire_m"
16,"sw","payé",NA,"lorna-jire_m"
17,"sw","pantin",NA,"lorna-jire_m"
18,"sw","compte",NA,"lorna-jire_m"
19,"sw","cesse",NA,"lorna-jire_m"
20,"sw","bille",NA,"lorna-jire_m"
21,"sw","maîtresse",NA,"lorna-jire_m"
22,"sw","piler","plije","lorna-jire_m"
23,"sw","femme",NA,"lorna-jire_m"
24,"sw","parfum",NA,"lorna-jire_m"
25,"sw","doigt",NA,"lorna-jire_m"
26,"sw","lapin",NA,"lorna-jire_m"
27,"sw","linge","s5Z","lorna-jire_m"
28,"sw","coup",NA,"lorna-jire_m"
29,"sw","vers",NA,"lorna-jire_m"
30,"sw","volé",NA,"lorna-jire_m"
31,"sw","mars",NA,"lorna-jire_m"
32,"sw","frime","firm","lorna-jire_m"
33,"sw","monsieur",NA,"lorna-jire_m"
34,"sw","jeunesse",NA,"lorna-jire_m"
35,"sw","marcherions","marS*r§","lorna-jire_m"
36,"sw","canton","kat§","lorna-jire_m"
37,"sw","tentait",NA,"lorna-jire_m"
38,"sw","cracher",NA,"lorna-jire_m"
39,"sw","crique","krike","lorna-jire_m"
40,"sw","retrouverez","r*truve","lorna-jire_m"
41,"sw","suave","suave","lorna-jire_m"
42,"sw","près",NA,"lorna-jire_m"
43,"sw","automne",NA,"lorna-jire_m"
44,"sw","client",NA,"lorna-jire_m"
45,"sw","soixante-dix",NA,"lorna-jire_m"
46,"sw","sien",NA,"lorna-jire_m"
47,"sw","rond",NA,"lorna-jire_m"
48,"sw","deux",NA,"lorna-jire_m"
49,"sw","pire",NA,"lorna-jire_m"
50,"sw","sens",NA,"lorna-jire_m"
51,"sw","rien",NA,"lorna-jire_m"
52,"sw","gare",NA,"lorna-jire_m"
53,"sw","chez",NA,"lorna-jire_m"
54,"sw","directeur",NA,"lorna-jire_m"
55,"sw","douzième",NA,"lorna-jire_m"
56,"sw","slave",NA,"lorna-jire_m"
57,"sw","pincera","p5s*rE","lorna-jire_m"
58,"sw","montagne",NA,"lorna-jire_m"
59,"sw","igloo",NA,"lorna-jire_m"
60,"sw","rogner",NA,"lorna-jire_m"
61,"sw","fille",NA,"lorna-jire_m"
62,"sw","morte",NA,"lorna-jire_m"
63,"sw","paire",NA,"lorna-jire_m"
64,"sw","varie",NA,"lorna-jire_m"
65,"sw","cœur",NA,"lorna-jire_m"
66,"sw","chandail","S@dEl","lorna-jire_m"
67,"sw","magner",NA,"lorna-jire_m"
68,"sw","mais",NA,"lorna-jire_m"
69,"sw","ruse","rys","lorna-jire_m"
70,"sw","rasé",NA,"lorna-jire_m"
71,"sw","album",NA,"lorna-jire_m"
72,"sw","glisserai",NA,"lorna-jire_m"
73,"sw","qui",NA,"lorna-jire_m"
74,"sw","partons",NA,"lorna-jire_m"
75,"sw","rebondirons",NA,"lorna-jire_m"
76,"sw","librairie",NA,"lorna-jire_m"
77,"sw","voilent","vwale","lorna-jire_m"
78,"sw","roue",NA,"lorna-jire_m"
79,"sw","case","kase","lorna-jire_m"
80,"sw","prie",NA,"lorna-jire_m"
81,"sw","mois",NA,"lorna-jire_m"
82,"sw","dans",NA,"lorna-jire_m"
83,"sw","coule",NA,"lorna-jire_m"
84,"sw","poêle","pwElE","lorna-jire_m"
85,"sw","saule","sule","lorna-jire_m"
86,"sw","œil",NA,"lorna-jire_m"
87,"sw","tant","t@t","lorna-jire_m"
88,"sw","clamer",NA,"lorna-jire_m"
89,"sw","pensant","p@se","lorna-jire_m"
90,"sw","finie","fin","lorna-jire_m"
91,"sw","poison","pwas§","lorna-jire_m"
92,"sw","mairie",NA,"lorna-jire_m"
93,"sw","boulangerie",NA,"lorna-jire_m"
94,"sw","cousin",NA,"lorna-jire_m"
95,"sw","boulette",NA,"lorna-jire_m"
96,"sw","revolver","r*vole","lorna-jire_m"
97,"sw","grade",NA,"lorna-jire_m"
98,"sw","gens",NA,"lorna-jire_m"
99,"sw","porche","proS","lorna-jire_m"
100,"sw","encore",NA,"lorna-jire_m"
101,"sw","les",NA,"lorna-jire_m"
102,"sw","sept",NA,"lorna-jire_m"
103,"sw","patrie",NA,"lorna-jire_m"
104,"sw","présent",NA,"lorna-jire_m"
105,"sw","six",NA,"lorna-jire_m"
106,"sw","teint","t@t","lorna-jire_m"
107,"sw","cirer",NA,"lorna-jire_m"
108,"sw","trier",NA,"lorna-jire_m"
109,"sw","asie",NA,"lorna-jire_m"
110,"sw","cale","kale","lorna-jire_m"
111,"sw","pipe",NA,"lorna-jire_m"
112,"sw","cinquante","swas@t","lorna-jire_m"
113,"sw","ose",NA,"lorna-jire_m"
114,"sw","emmener",NA,"lorna-jire_m"
115,"sw","écrire",NA,"lorna-jire_m"
116,"sw","portrait",NA,"lorna-jire_m"
117,"sw","ration",NA,"lorna-jire_m"
118,"sw","savant",NA,"lorna-jire_m"
119,"sw","écho","eSo","lorna-jire_m"
120,"sw","aisance","as@s","lorna-jire_m"
121,"sw","crie",NA,"lorna-jire_m"
122,"sw","brise",NA,"lorna-jire_m"
123,"sw","trois",NA,"lorna-jire_m"
124,"sw","repartira",NA,"lorna-jire_m"
125,"sw","bon",NA,"lorna-jire_m"
126,"sw","ces",NA,"lorna-jire_m"
127,"sw","ail",NA,"lorna-jire_m"
128,"sw","délivrer",NA,"lorna-jire_m"
129,"sw","édition",NA,"lorna-jire_m"
130,"sw","larguer",NA,"lorna-jire_m"
131,"sw","caillou",NA,"lorna-jire_m"
132,"sw","pari",NA,"lorna-jire_m"
133,"sw","raie",NA,"lorna-jire_m"
134,"sw","loin",NA,"lorna-jire_m"
135,"sw","pale",NA,"lorna-jire_m"
136,"sw","poli",NA,"lorna-jire_m"
137,"sw","bain",NA,"lorna-jire_m"
138,"sw","lange","l@g","lorna-jire_m"
139,"sw","gars",NA,"lorna-jire_m"
140,"sw","long",NA,"lorna-jire_m"
141,"sw","renifle",NA,"lorna-jire_m"
142,"sw","chien",NA,"lorna-jire_m"
143,"sw","criant",NA,"lorna-jire_m"
144,"sw","agile",NA,"lorna-jire_m"
145,"sw","lueur",NA,"lorna-jire_m"
146,"sw","baiser",NA,"lorna-jire_m"
147,"sw","galet",NA,"lorna-jire_m"
148,"sw","placer","plas","lorna-jire_m"
149,"sw","fiable",NA,"lorna-jire_m"
150,"sw","désert","desEr","lorna-jire_m"
151,"sw","aspect",NA,"lorna-jire_m"
152,"sw","étiole","etol","lorna-jire_m"
153,"sw","accident","aks@","lorna-jire_m"
154,"sw","quatorze",NA,"lorna-jire_m"
