"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"lou-ann_d"
2,"sw","onze",NA,"lou-ann_d"
3,"sw","grand",NA,"lou-ann_d"
4,"sw","race",NA,"lou-ann_d"
5,"sw","rose",NA,"lou-ann_d"
6,"sw","scie",NA,"lou-ann_d"
7,"sw","base",NA,"lou-ann_d"
8,"sw","orge","org","lou-ann_d"
9,"sw","enfer",NA,"lou-ann_d"
10,"sw","maire",NA,"lou-ann_d"
11,"sw","chacun",NA,"lou-ann_d"
12,"sw","signe",NA,"lou-ann_d"
13,"sw","brun",NA,"lou-ann_d"
14,"sw","congé",NA,"lou-ann_d"
15,"sw","patient",NA,"lou-ann_d"
16,"sw","payé",NA,"lou-ann_d"
17,"sw","pantin","pat5","lou-ann_d"
18,"sw","compte",NA,"lou-ann_d"
19,"sw","cesse",NA,"lou-ann_d"
20,"sw","bille",NA,"lou-ann_d"
21,"sw","maîtresse",NA,"lou-ann_d"
22,"sw","piler","pije","lou-ann_d"
23,"sw","femme",NA,"lou-ann_d"
24,"sw","parfum",NA,"lou-ann_d"
25,"sw","doigt",NA,"lou-ann_d"
26,"sw","lapin",NA,"lou-ann_d"
27,"sw","linge",NA,"lou-ann_d"
28,"sw","coup",NA,"lou-ann_d"
29,"sw","vers",NA,"lou-ann_d"
30,"sw","volé",NA,"lou-ann_d"
31,"sw","mars",NA,"lou-ann_d"
32,"sw","frime",NA,"lou-ann_d"
33,"sw","monsieur",NA,"lou-ann_d"
34,"sw","jeunesse",NA,"lou-ann_d"
35,"sw","marcherions",NA,"lou-ann_d"
36,"sw","canton",NA,"lou-ann_d"
37,"sw","tentait",NA,"lou-ann_d"
38,"sw","cracher",NA,"lou-ann_d"
39,"sw","crique","krije","lou-ann_d"
40,"sw","retrouverez",NA,"lou-ann_d"
41,"sw","suave","suave","lou-ann_d"
42,"sw","près",NA,"lou-ann_d"
43,"sw","automne",NA,"lou-ann_d"
44,"sw","client",NA,"lou-ann_d"
45,"sw","soixante-dix",NA,"lou-ann_d"
46,"sw","sien",NA,"lou-ann_d"
47,"sw","rond",NA,"lou-ann_d"
48,"sw","deux",NA,"lou-ann_d"
49,"sw","pire",NA,"lou-ann_d"
50,"sw","sens",NA,"lou-ann_d"
51,"sw","rien",NA,"lou-ann_d"
52,"sw","gare",NA,"lou-ann_d"
53,"sw","chez",NA,"lou-ann_d"
54,"sw","directeur",NA,"lou-ann_d"
55,"sw","douzième",NA,"lou-ann_d"
56,"sw","slave",NA,"lou-ann_d"
57,"sw","pincera",NA,"lou-ann_d"
58,"sw","montagne",NA,"lou-ann_d"
59,"sw","igloo",NA,"lou-ann_d"
60,"sw","rogner",NA,"lou-ann_d"
