"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"maelys_p"
2,"sw","onze",NA,"maelys_p"
3,"sw","grand",NA,"maelys_p"
4,"sw","race",NA,"maelys_p"
5,"sw","rose",NA,"maelys_p"
6,"sw","scie",NA,"maelys_p"
7,"sw","base",NA,"maelys_p"
8,"sw","orge",NA,"maelys_p"
9,"sw","enfer",NA,"maelys_p"
10,"sw","maire",NA,"maelys_p"
11,"sw","chacun",NA,"maelys_p"
12,"sw","signe",NA,"maelys_p"
13,"sw","brun",NA,"maelys_p"
14,"sw","congé",NA,"maelys_p"
15,"sw","patient","p@sj@","maelys_p"
16,"sw","payé",NA,"maelys_p"
17,"sw","pantin",NA,"maelys_p"
18,"sw","compte",NA,"maelys_p"
19,"sw","cesse",NA,"maelys_p"
20,"sw","bille",NA,"maelys_p"
21,"sw","maîtresse",NA,"maelys_p"
22,"sw","piler",NA,"maelys_p"
23,"sw","femme",NA,"maelys_p"
24,"sw","parfum",NA,"maelys_p"
25,"sw","doigt",NA,"maelys_p"
26,"sw","lapin",NA,"maelys_p"
27,"sw","linge",NA,"maelys_p"
28,"sw","coup",NA,"maelys_p"
29,"sw","vers",NA,"maelys_p"
30,"sw","volé",NA,"maelys_p"
31,"sw","mars",NA,"maelys_p"
32,"sw","frime",NA,"maelys_p"
33,"sw","monsieur",NA,"maelys_p"
34,"sw","jeunesse",NA,"maelys_p"
35,"sw","marcherions",NA,"maelys_p"
36,"sw","canton",NA,"maelys_p"
37,"sw","tentait",NA,"maelys_p"
38,"sw","cracher",NA,"maelys_p"
39,"sw","crique",NA,"maelys_p"
40,"sw","retrouverez","r*truve","maelys_p"
41,"sw","suave",NA,"maelys_p"
42,"sw","près",NA,"maelys_p"
43,"sw","automne",NA,"maelys_p"
44,"sw","client",NA,"maelys_p"
45,"sw","soixante-dix",NA,"maelys_p"
46,"sw","sien",NA,"maelys_p"
47,"sw","rond",NA,"maelys_p"
48,"sw","deux",NA,"maelys_p"
49,"sw","pire",NA,"maelys_p"
50,"sw","sens",NA,"maelys_p"
51,"sw","rien",NA,"maelys_p"
52,"sw","gare",NA,"maelys_p"
53,"sw","chez",NA,"maelys_p"
54,"sw","directeur",NA,"maelys_p"
55,"sw","douzième",NA,"maelys_p"
56,"sw","slave",NA,"maelys_p"
57,"sw","pincera",NA,"maelys_p"
58,"sw","montagne",NA,"maelys_p"
